,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,Connecticut,12,108,974,9.0,81.2
1,2,Tulsa,12,98,948,8.2,79.0
2,3,East Carolina,12,93,931,7.8,77.6
3,4,Arizona,13,107,993,8.2,76.4
4,5,UCF,13,108,967,8.3,74.4
5,6,Massachusetts,12,89,877,7.4,73.1
6,7,Nevada,12,91,873,7.6,72.8
7,8,Ohio,13,100,898,7.7,69.1
8,9,California,12,91,815,7.6,67.9
9,10,Iowa State,13,93,877,7.2,67.5
10,11,South Florida,12,95,809,7.9,67.4
11,12,UCLA,13,98,872,7.5,67.1
12,13,Cincinnati,12,86,802,7.2,66.8
13,14,Indiana,12,91,796,7.6,66.3
14,15,SMU,13,94,861,7.2,66.2
15,16,Louisiana-Monroe,12,85,791,7.1,65.9
16,17,Baylor,12,79,787,6.6,65.6
17,18,West Virginia,13,93,850,7.2,65.4
18,19,Texas State,12,88,780,7.3,65.0
19,20,Memphis,13,98,840,7.5,64.6
20,21,Eastern Michigan,12,88,757,7.3,63.1
21,22,Temple,13,92,819,7.1,63.0
22,23,Central Michigan,13,90,816,6.9,62.8
23,24,Akron,14,90,877,6.4,62.6
24,25,UAB,13,89,807,6.8,62.1
25,25,Northern Illinois,13,78,807,6.0,62.1
26,27,Stanford,14,93,866,6.6,61.9
27,28,Western Michigan,12,81,741,6.8,61.8
28,29,Appalachian State,13,93,789,7.2,60.7
29,30,Kentucky,13,91,787,7.0,60.5
30,31,Oregon State,12,75,724,6.3,60.3
31,32,Arkansas State,12,83,721,6.9,60.1
32,33,Purdue,13,90,778,6.9,59.8
33,34,Syracuse,12,79,715,6.6,59.6
34,35,New Mexico State,13,89,772,6.8,59.4
35,36,Western Kentucky,13,76,767,5.8,59.0
36,37,Illinois,12,75,703,6.3,58.6
37,38,UTEP,12,77,693,6.4,57.8
38,38,Penn State,13,80,751,6.2,57.8
39,40,Middle Tennessee,13,75,747,5.8,57.5
40,40,Maryland,12,70,690,5.8,57.5
41,42,Rutgers,12,82,687,6.8,57.3
42,42,Texas Tech,13,76,745,5.8,57.3
43,44,Arizona State,13,88,744,6.8,57.2
44,45,Troy,13,83,735,6.4,56.5
45,46,Tulane,12,74,675,6.2,56.3
46,47,Utah State,13,92,730,7.1,56.2
47,48,Marshall,13,72,729,5.5,56.1
48,49,USC,14,94,784,6.7,56.0
49,50,Louisville,13,74,719,5.7,55.3
50,51,Notre Dame,13,85,717,6.5,55.2
51,51,Miami (Ohio),12,68,662,5.7,55.2
52,53,Iowa,13,79,711,6.1,54.7
53,54,UTSA,11,57,595,5.2,54.1
54,55,Oregon,13,68,701,5.2,53.9
55,56,Mississippi,12,68,643,5.7,53.6
56,56,Buffalo,12,68,643,5.7,53.6
57,58,Duke,13,74,695,5.7,53.5
58,59,Kent State,12,79,641,6.6,53.4
59,59,San Jose State,13,83,694,6.4,53.4
60,61,Minnesota,12,64,640,5.3,53.3
61,62,Nebraska,12,72,638,6.0,53.2
62,63,Houston,12,79,637,6.6,53.1
63,64,Tennessee,12,79,636,6.6,53.0
64,65,Coastal Carolina,12,67,625,5.6,52.1
65,66,Texas,13,89,676,6.8,52.0
66,67,North Texas,14,81,724,5.8,51.7
67,67,UNLV,12,65,620,5.4,51.7
