,Rank,Name,G,Kicks/Punts Blocked,Kicks/Punts Blocked/G
0,1,Texas A&M,13,8,0.62
1,2,Arizona State,13,6,0.46
2,2,Florida State,13,6,0.46
3,2,Northern Illinois,13,6,0.46
4,2,Virginia Tech,13,6,0.46
5,6,Tulsa,12,5,0.42
6,6,Hawai'i,12,5,0.42
7,6,South Florida,12,5,0.42
8,6,North Carolina State,13,5,0.38
9,6,Army,13,5,0.38
10,11,Maryland,12,4,0.33
11,11,Idaho,12,4,0.33
12,11,SMU,13,4,0.31
13,11,Utah State,13,4,0.31
14,11,Toledo,14,4,0.29
15,11,USC,14,4,0.29
16,11,North Texas,14,4,0.29
17,11,Georgia,15,4,0.27
18,19,Texas State,12,3,0.25
19,19,Illinois,12,3,0.25
20,19,Old Dominion,12,3,0.25
21,19,Buffalo,12,3,0.25
22,19,Troy,13,3,0.23
23,19,Mississippi State,13,3,0.23
24,19,Middle Tennessee,13,3,0.23
25,19,Ohio,13,3,0.23
26,19,Louisiana Tech,13,3,0.23
27,19,Wake Forest,13,3,0.23
28,19,Kentucky,13,3,0.23
29,19,Ohio State,14,3,0.21
30,31,Tulane,12,2,0.17
31,31,Baylor,12,2,0.17
32,31,Air Force,12,2,0.17
33,31,Houston,12,2,0.17
34,31,Minnesota,12,2,0.17
35,31,Colorado,12,2,0.17
36,31,Arkansas State,12,2,0.17
37,31,Coastal Carolina,12,2,0.17
38,31,Pittsburgh,12,2,0.17
39,31,Indiana,12,2,0.17
40,31,Oregon State,12,2,0.17
41,31,Georgia State,12,2,0.17
42,31,Vanderbilt,12,2,0.17
43,31,UNLV,12,2,0.17
44,31,Rutgers,12,2,0.17
45,31,Tennessee,12,2,0.17
46,31,North Carolina,12,2,0.17
47,31,Texas,13,2,0.15
48,31,Purdue,13,2,0.15
49,31,Iowa,13,2,0.15
50,31,Michigan,13,2,0.15
51,31,South Carolina,13,2,0.15
52,31,UCF,13,2,0.15
53,31,UAB,13,2,0.15
54,31,Central Michigan,13,2,0.15
55,31,Memphis,13,2,0.15
56,31,Louisville,13,2,0.15
57,31,Oklahoma State,13,2,0.15
58,31,Duke,13,2,0.15
59,31,BYU,13,2,0.15
60,31,Virginia,13,2,0.15
61,31,Utah,13,2,0.15
62,31,Stanford,14,2,0.14
63,31,Auburn,14,2,0.14
64,31,Fresno State,14,2,0.14
65,31,Alabama,14,2,0.14
66,67,Georgia Tech,11,1,0.09
67,67,Florida,11,1,0.09
68,67,Connecticut,12,1,0.08
69,67,Eastern Michigan,12,1,0.08
70,67,Syracuse,12,1,0.08
71,67,Kansas,12,1,0.08
72,67,Kansas State,13,1,0.08
73,67,Ball State,12,1,0.08
74,67,Mississippi,12,1,0.08
75,67,Penn State,13,1,0.08
76,67,Texas Tech,13,1,0.08
77,67,Marshall,13,1,0.08
78,67,Southern Mississippi,13,1,0.08
79,67,Oregon,13,1,0.08
80,67,Appalachian State,13,1,0.08
81,67,Miami (Ohio),12,1,0.08
82,67,Miami (Florida),13,1,0.08
83,67,Louisiana-Monroe,12,1,0.08
84,67,Western Kentucky,13,1,0.08
85,67,West Virginia,13,1,0.08
86,67,South Alabama,12,1,0.08
87,67,Massachusetts,12,1,0.08
88,67,UCLA,13,1,0.08
89,67,Florida International,13,1,0.08
90,67,Washington,13,1,0.08
91,67,San Jose State,13,1,0.08
92,67,Nevada,12,1,0.08
93,67,Boston College,13,1,0.08
94,67,Kent State,12,1,0.08
95,67,Temple,13,1,0.08
96,67,Rice,12,1,0.08
97,67,Wisconsin,14,1,0.07
98,67,Oklahoma,14,1,0.07
99,67,Akron,14,1,0.07
100,67,Florida Atlantic,14,1,0.07
101,67,Boise State,14,1,0.07
102,67,TCU,14,1,0.07
