,Rank,Name,G,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Stanford,14,13,4,0,0,0,0,0
1,2,Louisiana-Monroe,12,12,7,4,4,4,4,3
2,2,Memphis,13,12,7,6,5,4,4,4
3,4,Georgia Southern,12,11,4,1,1,1,0,0
4,4,Virginia,13,11,7,4,3,2,2,2
5,6,Charlotte,12,10,3,2,2,0,0,0
6,7,Ball State,12,9,2,1,1,1,1,1
7,7,Mississippi,12,9,3,2,1,1,1,1
8,7,Syracuse,12,9,2,1,1,0,0,0
9,10,Boston College,13,8,2,1,0,0,0,0
10,10,Bowling Green,12,8,2,2,1,0,0,0
11,10,Kansas State,13,8,6,5,3,3,3,2
12,10,Kentucky,13,8,2,1,1,1,1,1
13,10,Louisiana-Lafayette,12,8,2,2,2,2,2,2
14,10,Ohio,13,8,1,1,1,0,0,0
15,10,San Diego State,13,8,5,4,4,4,3,3
16,10,TCU,14,8,4,2,1,1,1,1
17,10,Texas,13,8,1,0,0,0,0,0
18,10,UCF,13,8,3,3,2,2,2,2
19,20,Boise State,14,7,3,1,0,0,0,0
20,20,Duke,13,7,3,1,1,1,0,0
21,20,Iowa,13,7,4,3,2,2,0,0
22,20,Kansas,12,7,3,0,0,0,0,0
23,20,Marshall,13,7,2,2,2,2,2,2
24,20,Nevada,12,7,1,0,0,0,0,0
25,20,Penn State,13,7,3,3,2,2,2,2
26,20,Texas Tech,13,7,3,1,1,1,1,1
27,20,USC,14,7,1,1,0,0,0,0
28,29,Arizona,13,6,3,2,1,0,0,0
29,29,Arkansas,12,6,4,1,1,1,1,1
30,29,Coastal Carolina,12,6,4,2,1,1,1,0
31,29,Connecticut,12,6,2,1,1,0,0,0
32,29,Houston,12,6,4,2,1,1,1,0
33,29,Maryland,12,6,3,3,3,2,2,1
34,29,Minnesota,12,6,3,1,1,1,1,1
35,29,Nebraska,12,6,3,2,1,1,1,1
36,29,New Mexico State,13,6,3,2,2,2,2,2
37,29,North Carolina State,13,6,3,2,0,0,0,0
38,29,Northern Illinois,13,6,2,0,0,0,0,0
39,29,Notre Dame,13,6,1,1,0,0,0,0
40,29,Ohio State,14,6,3,2,1,1,1,0
41,29,Oregon,13,6,2,1,1,1,1,1
42,29,Temple,13,6,3,1,1,1,1,1
43,29,Tennessee,12,6,3,2,1,1,1,1
44,29,Troy,13,6,4,3,3,3,3,2
45,29,UAB,13,6,3,1,0,0,0,0
46,29,UTEP,12,6,4,2,0,0,0,0
47,29,West Virginia,13,6,3,1,1,1,1,0
48,29,Wyoming,13,6,2,2,2,2,2,2
49,50,Appalachian State,13,5,4,0,0,0,0,0
50,50,Arkansas State,12,5,2,2,0,0,0,0
51,50,Central Michigan,13,5,3,1,1,1,1,1
52,50,Florida State,13,5,2,1,1,1,1,0
53,50,Georgia,15,5,1,0,0,0,0,0
54,50,Hawai'i,12,5,0,0,0,0,0,0
55,50,Miami (Florida),13,5,0,0,0,0,0,0
56,50,Michigan State,13,5,1,1,0,0,0,0
57,50,Mississippi State,13,5,1,1,0,0,0,0
58,50,Missouri,13,5,1,1,0,0,0,0
59,50,Navy,13,5,1,1,0,0,0,0
60,50,New Mexico,12,5,2,1,1,1,1,1
61,50,North Carolina,12,5,4,2,2,2,2,2
62,50,SMU,13,5,1,1,0,0,0,0
63,50,Toledo,14,5,3,2,1,1,1,1
64,50,Tulane,12,5,2,1,0,0,0,0
65,50,Western Kentucky,13,5,2,0,0,0,0,0
66,50,Western Michigan,12,5,3,3,2,2,2,2
67,68,Army,13,4,2,0,0,0,0,0
68,68,Colorado State,13,4,1,0,0,0,0,0
69,68,East Carolina,12,4,1,0,0,0,0,0
70,68,Florida,11,4,1,0,0,0,0,0
71,68,Florida Atlantic,14,4,1,1,1,1,1,1
72,68,Fresno State,14,4,2,2,2,1,0,0
73,68,Illinois,12,4,2,1,0,0,0,0
74,68,Louisiana Tech,13,4,2,2,1,0,0,0
75,68,Middle Tennessee,13,4,2,1,1,0,0,0
76,68,North Texas,14,4,3,2,1,0,0,0
77,68,Old Dominion,12,4,3,3,3,3,3,3
78,68,Rice,12,4,0,0,0,0,0,0
79,68,Texas A&M,13,4,3,3,3,3,1,1
80,68,UCLA,13,4,1,1,0,0,0,0
81,68,UTSA,11,4,3,1,0,0,0,0
82,68,Utah State,13,4,2,2,2,1,1,1
83,68,Vanderbilt,12,4,1,0,0,0,0,0
84,68,Virginia Tech,13,4,2,1,1,1,0,0
85,86,Auburn,14,3,2,2,2,2,0,0
86,86,BYU,13,3,1,0,0,0,0,0
87,86,California,12,3,2,0,0,0,0,0
88,86,Colorado,12,3,0,0,0,0,0,0
89,86,Florida International,13,3,1,0,0,0,0,0
90,86,Georgia State,12,3,2,1,1,1,1,1
91,86,Indiana,12,3,0,0,0,0,0,0
92,86,Kent State,12,3,1,1,0,0,0,0
93,86,Louisville,13,3,1,0,0,0,0,0
94,86,Massachusetts,12,3,2,1,1,1,1,0
