,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Army,13,45,1612,35.82,3.5,124.0
1,2,Navy,13,46,1710,37.17,3.5,131.5
2,3,Oregon,13,73,2742,37.56,5.6,210.9
3,4,Charlotte,12,57,2144,37.61,4.8,178.7
4,5,Rutgers,12,62,2350,37.90,5.2,195.8
5,6,Tulsa,12,46,1749,38.02,3.8,145.8
6,7,Akron,14,55,2112,38.40,3.9,150.9
7,8,Arizona State,13,60,2308,38.47,4.6,177.5
8,9,North Texas,14,65,2512,38.65,4.6,179.4
9,10,San Jose State,13,66,2554,38.70,5.1,196.5
10,11,Purdue,13,87,3372,38.76,6.7,259.4
11,12,Northern Illinois,13,101,3918,38.79,7.8,301.4
12,13,Stanford,14,54,2097,38.83,3.9,149.8
13,14,Ohio,13,77,2991,38.84,5.9,230.1
14,15,Toledo,14,77,2996,38.91,5.5,214.0
15,16,Troy,13,71,2763,38.92,5.5,212.5
16,17,Iowa,13,66,2572,38.97,5.1,197.8
17,18,Virginia,13,71,2768,38.99,5.5,212.9
18,19,Miami (Florida),13,74,2916,39.41,5.7,224.3
19,20,Maryland,12,50,1978,39.56,4.2,164.8
20,21,Kansas State,13,63,2495,39.60,4.8,191.9
21,22,UTEP,12,46,1824,39.65,3.8,152.0
22,22,Nebraska,12,52,2062,39.65,4.3,171.8
23,24,Western Michigan,12,74,2935,39.66,6.2,244.6
24,25,Miami (Ohio),12,59,2341,39.68,4.9,195.1
25,26,South Florida,12,86,3423,39.80,7.2,285.3
26,27,Colorado,12,58,2310,39.83,4.8,192.5
27,28,California,12,46,1840,40.00,3.8,153.3
28,28,Arkansas State,12,83,3320,40.00,6.9,276.7
29,30,Arkansas,12,46,1842,40.04,3.8,153.5
30,31,Vanderbilt,12,56,2243,40.05,4.7,186.9
31,32,SMU,13,47,1886,40.13,3.6,145.1
32,33,Utah State,13,81,3254,40.17,6.2,250.3
33,34,Boise State,14,83,3343,40.28,5.9,238.8
34,35,UTSA,11,59,2379,40.32,5.4,216.3
35,36,Hawai'i,12,44,1776,40.36,3.7,148.0
36,37,Kansas,12,60,2422,40.37,5.0,201.8
37,38,Penn State,13,88,3553,40.38,6.8,273.3
