,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Missouri,13,37.0,158,2.85
1,2,Army,13,40.0,87,3.08
2,3,Miami (Ohio),12,46.0,181,3.83
3,3,Fresno State,14,46.0,191,3.29
4,5,Buffalo,12,47.0,184,3.92
5,6,BYU,13,49.0,229,3.77
6,7,Vanderbilt,12,52.0,189,4.33
7,8,New Mexico,12,53.0,198,4.42
8,8,West Virginia,13,53.0,206,4.08
9,10,Troy,13,55.0,187,4.23
10,10,Iowa State,13,55.0,248,4.23
11,12,Nevada,12,56.0,203,4.67
12,12,Alabama,14,56.0,236,4.00
13,14,Mississippi State,13,58.0,174,4.46
14,14,Navy,13,58.0,175,4.46
15,14,Louisiana-Monroe,12,58.0,204,4.83
16,14,Ohio State,14,58.0,218,4.14
17,18,Colorado State,13,59.0,186,4.54
18,18,Hawai'i,12,59.0,248,4.92
19,20,Toledo,14,61.0,219,4.36
20,20,Eastern Michigan,12,61.0,240,5.08
21,22,Oregon State,12,62.0,204,5.17
22,22,Cincinnati,12,62.0,236,5.17
23,22,Nebraska,12,62.0,251,5.17
24,22,Minnesota,12,62.0,260,5.17
25,26,UNLV,12,64.0,242,5.33
26,26,Air Force,12,64.0,315,5.33
27,28,Miami (Florida),13,65.0,235,5.00
28,29,Georgia Tech,11,66.0,217,6.00
29,29,Marshall,13,66.0,218,5.08
30,29,Arizona,13,66.0,231,5.08
31,29,UTEP,12,66.0,234,5.50
32,29,Purdue,13,66.0,298,5.08
33,34,East Carolina,12,67.0,210,5.58
34,34,Louisville,13,67.0,262,5.15
35,34,Oklahoma,14,67.0,265,4.79
36,34,LSU,13,67.0,270,5.15
37,34,Arkansas State,12,67.0,289,5.58
38,34,Mississippi,12,67.0,339,5.58
39,40,Virginia Tech,13,68.0,250,5.23
40,41,UCF,13,69.0,190,5.31
41,41,UAB,13,69.0,286,5.31
42,43,Wisconsin,14,70.0,203,5.00
43,44,Western Michigan,12,71.0,225,5.92
44,44,Tulsa,12,71.0,257,5.92
45,46,Appalachian State,13,72.0,207,5.54
46,46,Rutgers,12,72.0,221,6.00
47,46,Wake Forest,13,72.0,231,5.54
48,46,SMU,13,72.0,246,5.54
49,46,Georgia,15,72.0,255,4.80
50,46,Michigan State,13,72.0,259,5.54
51,46,Ball State,12,72.0,287,6.00
