,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,Minnesota,12,39,340,3.3,28.3
1,2,Boston College,13,47,388,3.6,29.8
2,3,Washington,13,54,445,4.2,34.2
3,4,Georgia Tech,11,44,394,4.0,35.8
4,4,Old Dominion,12,48,430,4.0,35.8
5,6,Army,13,55,472,4.2,36.3
6,7,Arizona State,13,50,487,3.8,37.5
7,8,Penn State,13,54,490,4.2,37.7
8,9,South Carolina,13,62,494,4.8,38.0
9,10,Pittsburgh,12,46,458,3.8,38.2
10,10,Texas State,12,53,458,4.4,38.2
11,12,Rice,12,53,460,4.4,38.3
12,13,Auburn,14,63,537,4.5,38.4
13,14,Air Force,12,48,465,4.0,38.8
14,15,BYU,13,59,509,4.5,39.2
15,16,Iowa State,13,57,516,4.4,39.7
16,17,Ball State,12,49,479,4.1,39.9
17,17,UNLV,12,56,479,4.7,39.9
18,19,Wyoming,13,55,522,4.2,40.2
19,20,Louisiana Tech,13,61,527,4.7,40.5
20,21,Navy,13,53,528,4.1,40.6
21,21,Louisiana-Lafayette,12,58,487,4.8,40.6
22,21,Alabama,14,70,569,5.0,40.6
23,24,Iowa,13,66,534,5.1,41.1
24,25,Tennessee,12,67,497,5.6,41.4
25,26,Duke,13,62,541,4.8,41.6
26,27,Wake Forest,13,69,544,5.3,41.8
27,28,Arkansas,12,58,505,4.8,42.1
28,29,Virginia Tech,13,60,548,4.6,42.2
29,30,Nevada,12,58,519,4.8,43.3
30,31,Clemson,14,69,608,4.9,43.4
31,32,Fresno State,14,74,610,5.3,43.6
32,33,North Texas,14,69,613,4.9,43.8
33,34,Louisiana-Monroe,12,64,531,5.3,44.3
34,35,Texas A&M,13,67,588,5.2,45.2
35,36,Ohio,13,67,590,5.2,45.4
36,37,Virginia,13,63,592,4.8,45.5
37,37,Oklahoma State,13,66,592,5.1,45.5
38,39,Kansas State,13,67,596,5.2,45.8
39,40,Kansas,12,66,553,5.5,46.1
40,41,Stanford,14,81,662,5.8,47.3
41,42,Georgia State,12,62,569,5.2,47.4
42,43,Idaho,12,64,571,5.3,47.6
43,44,Kentucky,13,71,626,5.5,48.2
