,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Texas,13,84,3984,47.43,6.5,306.5
1,2,New Mexico,12,67,3170,47.31,5.6,264.2
2,3,Florida,11,65,3068,47.20,5.9,278.9
3,4,Tennessee,12,71,3323,46.80,5.9,276.9
4,5,Stanford,14,57,2586,45.37,4.1,184.7
5,6,South Alabama,12,71,3196,45.01,5.9,266.3
6,7,Texas A&M,13,84,3776,44.95,6.5,290.5
7,8,Idaho,12,66,2943,44.59,5.5,245.3
8,9,Georgia,15,62,2763,44.56,4.1,184.2
9,10,Rutgers,12,79,3508,44.41,6.6,292.3
10,11,Missouri,13,58,2570,44.31,4.5,197.7
11,12,Ohio State,14,51,2256,44.24,3.6,161.1
12,13,North Carolina,12,72,3183,44.21,6.0,265.3
13,13,Rice,12,57,2520,44.21,4.8,210.0
14,15,Georgia Tech,11,50,2205,44.10,4.5,200.5
15,16,Pittsburgh,12,60,2644,44.07,5.0,220.3
16,17,Bowling Green,12,60,2641,44.02,5.0,220.1
17,17,Marshall,13,59,2597,44.02,4.5,199.8
18,19,Colorado State,13,48,2111,43.98,3.7,162.4
19,20,Utah,13,52,2282,43.88,4.0,175.5
20,21,Kansas State,13,59,2586,43.83,4.5,198.9
21,22,UTEP,12,80,3502,43.78,6.7,291.8
22,23,East Carolina,12,53,2312,43.62,4.4,192.7
23,24,Louisville,13,44,1914,43.50,3.4,147.2
24,25,Charlotte,12,85,3695,43.47,7.1,307.9
25,26,South Carolina,13,55,2390,43.45,4.2,183.8
26,27,San Jose State,13,86,3726,43.33,6.6,286.6
27,28,Coastal Carolina,12,57,2460,43.16,4.8,205.0
28,29,Syracuse,12,58,2499,43.09,4.8,208.3
29,30,Wake Forest,13,71,3045,42.89,5.5,234.2
30,31,BYU,13,60,2572,42.87,4.6,197.8
31,31,North Carolina State,13,55,2358,42.87,4.2,181.4
32,33,Northwestern,13,69,2955,42.83,5.3,227.3
33,34,Massachusetts,12,65,2772,42.65,5.4,231.0
34,35,Notre Dame,13,65,2769,42.60,5.0,213.0
35,36,Minnesota,12,67,2849,42.52,5.6,237.4
36,36,Florida State,13,67,2849,42.52,5.2,219.2
37,38,Kent State,12,83,3528,42.51,6.9,294.0
38,39,Virginia,13,78,3315,42.50,6.0,255.0
39,40,Western Michigan,12,65,2756,42.40,5.4,229.7
40,40,Florida Atlantic,14,47,1993,42.40,3.4,142.4
41,42,Virginia Tech,13,66,2798,42.39,5.1,215.2
42,42,Penn State,13,54,2289,42.39,4.2,176.1
43,44,Colorado,12,58,2457,42.36,4.8,204.8
44,45,Oklahoma,14,43,1820,42.33,3.1,130.0
45,46,Army,13,27,1141,42.26,2.1,87.8
46,47,Fresno State,14,68,2873,42.25,4.9,205.2
47,48,Oklahoma State,13,41,1731,42.22,3.2,133.2
48,49,Central Michigan,13,90,3797,42.19,6.9,292.1
49,50,UCLA,13,57,2404,42.18,4.4,184.9
50,50,Alabama,14,55,2320,42.18,3.9,165.7
51,52,Air Force,12,41,1728,42.15,3.4,144.0
52,53,Nebraska,12,59,2486,42.14,4.9,207.2
53,54,Kentucky,13,67,2823,42.13,5.2,217.2
54,55,Texas State,12,83,3496,42.12,6.9,291.3
55,56,Hawai'i,12,58,2440,42.07,4.8,203.3
56,57,Baylor,12,60,2522,42.03,5.0,210.2
57,58,Cincinnati,12,64,2688,42.00,5.3,224.0
58,59,California,12,54,2267,41.98,4.5,188.9
59,60,Michigan State,13,69,2895,41.96,5.3,222.7
60,61,Louisiana-Monroe,12,58,2433,41.95,4.8,202.8
61,62,Illinois,12,78,3268,41.90,6.5,272.3
62,63,Mississippi State,13,55,2301,41.84,4.2,177.0
63,64,Houston,12,58,2423,41.78,4.8,201.9
64,65,Utah State,13,79,3294,41.70,6.1,253.4
65,66,Washington,13,46,1917,41.67,3.5,147.5
66,67,UTSA,11,47,1953,41.55,4.3,177.5
67,68,Tulsa,12,63,2617,41.54,5.3,218.1
68,69,South Florida,12,64,2653,41.45,5.3,221.1
69,70,Akron,14,88,3615,41.08,6.3,258.2
70,71,Duke,13,68,2791,41.04,5.2,214.7
71,72,Florida International,13,57,2337,41.00,4.4,179.8
72,73,New Mexico State,13,81,3316,40.94,6.2,255.1
73,74,USC,14,56,2289,40.88,4.0,163.5
74,75,Mississippi,12,57,2325,40.79,4.8,193.8
75,76,Memphis,13,50,2037,40.74,3.8,156.7
76,77,Louisiana-Lafayette,12,64,2606,40.72,5.3,217.2
77,78,Clemson,14,71,2886,40.65,5.1,206.1
78,79,Buffalo,12,56,2274,40.61,4.7,189.5
79,79,SMU,13,59,2396,40.61,4.5,184.3
80,81,Iowa State,13,66,2677,40.56,5.1,205.9
81,82,Miami (Ohio),12,64,2595,40.55,5.3,216.3
82,82,Ohio,13,58,2352,40.55,4.5,180.9
83,82,Navy,13,42,1703,40.55,3.2,131.0
84,85,Arkansas State,12,55,2227,40.49,4.6,185.6
85,86,Boise State,14,63,2549,40.46,4.5,182.1
86,87,Purdue,13,73,2953,40.45,5.6,227.2
87,88,Northern Illinois,13,86,3475,40.41,6.6,267.3
88,88,West Virginia,13,74,2990,40.41,5.7,230.0
89,90,Georgia Southern,12,69,2783,40.33,5.8,231.9
90,91,LSU,13,59,2375,40.25,4.5,182.7
91,92,Indiana,12,86,3459,40.22,7.2,288.3
92,93,Western Kentucky,13,57,2290,40.18,4.4,176.2
93,94,Texas Tech,13,62,2489,40.15,4.8,191.5
94,95,Georgia State,12,62,2488,40.13,5.2,207.3
95,96,Southern Mississippi,13,67,2687,40.10,5.2,206.7
96,97,Troy,13,59,2360,40.00,4.5,181.5
97,98,Vanderbilt,12,66,2624,39.76,5.5,218.7
98,99,North Texas,14,52,2061,39.63,3.7,147.2
99,100,UCF,13,46,1822,39.61,3.5,140.2
100,101,Michigan,13,78,3085,39.55,6.0,237.3
101,102,Kansas,12,87,3434,39.47,7.3,286.2
102,102,Auburn,14,57,2250,39.47,4.1,160.7
103,104,Old Dominion,12,68,2683,39.46,5.7,223.6
104,105,Middle Tennessee,13,65,2563,39.43,5.0,197.2
