,Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
0,1,Michigan,13,328,160,48.8,1951,5.9,11,10,103.71,25.2,150.1
1,2,UTSA,11,261,128,49.0,1761,6.7,13,13,112.19,23.7,160.1
2,3,Tennessee,12,279,154,55.2,1940,7.0,15,5,127.77,23.3,161.7
3,4,Clemson,14,396,208,52.5,2266,5.7,16,14,106.85,28.3,161.9
4,5,Wisconsin,14,395,192,48.6,2291,5.8,11,20,96.39,28.2,163.6
5,6,Alabama,14,426,229,53.8,2320,5.4,8,19,96.79,30.4,165.7
6,7,Virginia,13,322,172,53.4,2155,6.7,18,15,118.77,24.8,165.8
7,8,Georgia,15,437,244,55.8,2534,5.8,19,12,113.41,29.1,168.9
8,9,Washington State,13,351,190,54.1,2222,6.3,11,15,109.09,27.0,170.9
9,10,Air Force,12,243,135,55.6,2053,8.4,16,5,144.14,20.3,171.1
10,11,Minnesota,12,332,210,63.3,2094,6.3,16,8,127.31,27.7,174.5
11,12,Mississippi State,13,313,159,50.8,2271,7.3,13,13,117.14,24.1,174.7
12,13,Wyoming,13,334,189,56.6,2274,6.8,11,20,112.67,25.7,174.9
13,14,Army,13,304,190,62.5,2298,7.6,14,6,137.25,23.4,176.8
14,15,San Diego State,13,333,191,57.4,2323,7.0,14,14,121.42,25.6,178.7
15,16,Duke,13,330,167,50.6,2332,7.1,16,15,116.88,25.4,179.4
16,17,Indiana,12,332,181,54.5,2156,6.5,18,5,123.95,27.7,179.7
17,18,Auburn,14,428,232,54.2,2553,6.0,16,6,113.86,30.6,182.4
18,19,Utah State,13,376,209,55.6,2372,6.3,17,13,116.60,28.9,182.5
19,20,Central Michigan,13,402,220,54.7,2412,6.0,16,19,108.81,30.9,185.5
20,21,LSU,13,378,202,53.4,2439,6.5,11,12,110.89,29.1,187.6
21,22,UAB,13,388,202,52.1,2466,6.4,18,14,113.54,29.8,189.7
22,23,Eastern Michigan,12,336,195,58.0,2284,6.8,16,8,126.09,28.0,190.3
23,24,Boston College,13,410,211,51.5,2495,6.1,10,18,101.84,31.5,191.9
24,25,Southern Mississippi,13,377,198,52.5,2515,6.7,16,9,117.80,29.0,193.5
25,26,Vanderbilt,12,328,191,58.2,2335,7.1,16,7,129.86,27.3,194.6
26,27,Kent State,12,302,169,56.0,2341,7.8,19,12,133.89,25.2,195.1
27,28,Florida,11,270,148,54.8,2149,8.0,16,14,130.87,24.5,195.4
28,29,Florida State,13,440,243,55.2,2541,5.8,15,9,110.90,33.8,195.5
29,30,Ohio State,14,447,246,55.0,2742,6.1,16,13,112.55,31.9,195.9
30,31,UCLA,13,355,203,57.2,2552,7.2,19,8,130.72,27.3,196.3
31,32,Washington,13,417,272,65.2,2563,6.1,10,15,117.58,32.1,197.2
32,33,Virginia Tech,13,358,174,48.6,2597,7.3,16,13,117.02,27.5,199.8
33,34,Illinois,12,339,201,59.3,2399,7.1,20,9,132.90,28.3,199.9
34,35,Georgia Tech,11,333,196,58.9,2207,6.6,17,6,127.79,30.3,200.6
35,36,Miami (Ohio),12,365,192,52.6,2410,6.6,19,11,119.22,30.4,200.8
36,37,Michigan State,13,426,241,56.6,2630,6.2,15,14,113.48,32.8,202.3
37,38,Buffalo,12,336,199,59.2,2440,7.3,18,8,133.15,28.0,203.3
38,39,Appalachian State,13,380,219,57.6,2666,7.0,14,18,119.25,29.2,205.1
39,40,Western Kentucky,13,388,227,58.5,2689,6.9,11,10,120.93,29.8,206.8
40,40,Temple,13,387,221,57.1,2689,6.9,21,10,128.21,29.8,206.8
41,42,Massachusetts,12,364,194,53.3,2484,6.8,17,13,118.89,30.3,207.0
42,43,Utah,13,441,246,55.8,2692,6.1,17,14,113.42,33.9,207.1
43,43,Toledo,14,440,231,52.5,2900,6.6,20,15,116.04,31.4,207.1
44,43,Fresno State,14,461,275,59.7,2900,6.3,14,9,118.61,32.9,207.1
45,46,Louisiana Tech,13,406,237,58.4,2716,6.7,17,19,119.03,31.2,208.9
46,47,Penn State,13,449,262,58.4,2749,6.1,13,10,114.87,34.5,211.5
47,48,UTEP,12,339,215,63.4,2547,7.5,24,6,146.35,28.3,212.3
48,49,Boise State,14,470,280,59.6,2974,6.3,17,15,118.29,33.6,212.4
49,50,Iowa,13,459,257,56.0,2767,6.0,19,21,111.14,35.3,212.8
50,51,San Jose State,13,359,221,61.6,2781,7.7,25,6,146.27,27.6,213.9
51,52,Mississippi,12,345,199,57.7,2570,7.4,18,8,132.83,28.8,214.2
52,53,Notre Dame,13,445,252,56.6,2791,6.3,23,10,121.88,34.2,214.7
53,54,Navy,13,333,204,61.3,2805,8.4,23,7,150.60,25.6,215.8
54,55,Rutgers,12,361,206,57.1,2601,7.2,19,12,128.30,30.1,216.8
55,56,Miami (Florida),13,448,256,57.1,2822,6.3,19,17,116.46,34.5,217.1
56,57,Northern Illinois,13,427,242,56.7,2841,6.7,16,15,117.90,32.8,218.5
57,58,UNLV,12,348,215,61.8,2632,7.6,16,7,136.46,29.0,219.3
58,59,Marshall,13,432,240,55.6,2867,6.6,18,6,122.28,33.2,220.5
59,60,Nebraska,12,363,234,64.5,2657,7.3,19,9,138.26,30.3,221.4
60,61,Idaho,12,372,227,61.0,2668,7.2,16,9,130.61,31.0,222.3
61,62,Western Michigan,12,363,209,57.6,2669,7.4,18,10,130.20,30.3,222.4
62,63,North Carolina,12,363,201,55.4,2677,7.4,22,7,133.46,30.3,223.1
63,64,Middle Tennessee,13,435,269,61.8,2902,6.7,18,5,129.24,33.5,223.2
64,65,Old Dominion,12,356,220,61.8,2682,7.5,19,8,138.21,29.7,223.5
65,66,Louisville,13,385,224,58.2,2921,7.6,18,13,130.59,29.6,224.7
66,67,BYU,13,386,254,65.8,2928,7.6,19,8,141.60,29.7,225.2
67,68,Tulane,12,319,181,56.7,2708,8.5,19,13,139.55,26.6,225.7
68,69,South Carolina,13,440,259,58.9,2938,6.7,14,14,119.09,33.8,226.0
69,70,TCU,14,436,229,52.5,3185,7.3,23,13,125.33,31.1,227.5
70,71,Maryland,12,406,239,58.9,2743,6.8,23,10,129.38,33.8,228.6
71,72,North Texas,14,423,233,55.1,3205,7.6,24,8,133.67,30.2,228.9
72,73,Georgia Southern,12,332,184,55.4,2761,8.3,28,14,144.67,27.7,230.1
73,74,Florida Atlantic,14,494,276,55.9,3230,6.5,18,20,114.72,35.3,230.7
74,75,Troy,13,437,262,60.0,3007,6.9,20,17,125.07,33.6,231.3
75,76,South Florida,12,435,230,52.9,2794,6.4,17,20,110.52,36.3,232.8
76,77,Rice,12,333,232,69.7,2799,8.4,20,3,158.29,27.8,233.3
77,78,Ball State,12,316,186,58.9,2803,8.9,29,6,159.85,26.3,233.6
78,79,New Mexico State,13,452,264,58.4,3047,6.7,21,16,123.28,34.8,234.4
79,80,Stanford,14,433,274,63.3,3306,7.6,20,18,134.34,30.9,236.1
80,80,Cincinnati,12,353,219,62.0,2833,8.0,23,5,148.12,29.4,236.1
81,82,USC,14,475,258,54.3,3318,7.0,22,16,121.54,33.9,237.0
82,83,Oregon State,12,344,229,66.6,2848,8.3,29,7,159.86,28.7,237.3
83,84,Akron,14,458,283,61.8,3324,7.3,24,19,131.75,32.7,237.4
84,85,Texas A&M,13,413,247,59.8,3089,7.5,28,10,140.16,31.8,237.6
85,86,Iowa State,13,422,283,67.1,3096,7.3,23,12,140.98,32.5,238.2
86,87,Oklahoma,14,447,267,59.7,3338,7.5,23,8,135.86,31.9,238.4
87,88,Oregon,13,465,256,55.1,3128,6.7,25,15,122.85,35.8,240.6
88,88,New Mexico,12,373,222,59.5,2887,7.7,28,6,146.09,31.1,240.6
89,90,Coastal Carolina,12,346,219,63.3,2895,8.4,20,5,149.76,28.8,241.3
90,91,Arkansas State,12,397,204,51.4,2897,7.3,18,14,120.59,33.1,241.4
91,91,West Virginia,13,405,234,57.8,3138,7.7,24,11,136.99,31.2,241.4
92,93,Arkansas,12,346,205,59.2,2906,8.4,23,8,147.12,28.8,242.2
93,94,Purdue,13,437,248,56.8,3153,7.2,21,10,128.64,33.6,242.5
94,95,Colorado,12,407,227,55.8,2911,7.2,17,8,125.70,33.9,242.6
95,96,Florida International,13,418,273,65.3,3167,7.6,24,7,144.56,32.2,243.6
96,97,Colorado State,13,418,237,56.7,3179,7.6,21,12,131.42,32.2,244.5
97,98,Syracuse,12,381,232,60.9,2968,7.8,19,4,140.69,31.8,247.3
98,99,Hawai'i,12,334,213,63.8,2983,8.9,29,9,162.05,27.8,248.6
99,100,Charlotte,12,369,255,69.1,2985,8.1,18,2,152.08,30.8,248.8
100,101,Northwestern,13,495,283,57.2,3244,6.6,18,17,117.35,38.1,249.5
101,102,Georgia State,12,406,256,63.1,3017,7.4,23,10,139.23,33.8,251.4
102,103,Kentucky,13,427,274,64.2,3271,7.7,21,11,139.59,32.8,251.6
103,104,North Carolina State,13,463,261,56.4,3292,7.1,22,14,125.72,35.6,253.2
104,105,Bowling Green,12,376,221,58.8,3040,8.1,22,9,141.21,31.3,253.3
105,106,Pittsburgh,12,391,216,55.2,3050,7.8,24,9,136.43,32.6,254.2
106,107,Missouri,13,441,263,59.6,3308,7.5,20,12,132.18,33.9,254.5
107,108,Louisiana-Lafayette,12,362,236,65.2,3073,8.5,21,9,150.67,30.2,256.1
108,109,Texas,13,454,261,57.5,3364,7.4,17,16,125.04,34.9,258.8
109,110,Ohio,13,496,280,56.5,3395,6.8,25,9,126.95,38.2,261.2
110,111,Nevada,12,359,240,66.9,3157,8.8,24,8,158.32,29.9,263.1
111,112,Tulsa,12,325,213,65.5,3167,9.7,24,7,167.46,27.1,263.9
112,113,California,12,413,267,64.6,3190,7.7,18,14,137.13,34.4,265.8
113,114,South Alabama,12,421,262,62.2,3191,7.6,21,8,138.56,35.1,265.9
114,115,Baylor,12,386,255,66.1,3204,8.3,25,3,155.61,32.2,267.0
115,116,UCF,13,471,261,55.4,3485,7.4,24,20,125.89,36.2,268.1
116,117,Oklahoma State,13,460,265,57.6,3492,7.6,19,17,127.61,35.4,268.6
117,118,SMU,13,394,247,62.7,3497,8.9,26,12,152.94,30.3,269.0
118,119,Wake Forest,13,522,296,56.7,3530,6.8,20,14,120.79,40.2,271.5
119,120,Houston,12,473,295,62.4,3291,7.0,10,15,121.46,39.4,274.3
120,121,Arizona State,13,459,289,63.0,3574,7.8,20,11,137.95,35.3,274.9
121,122,Memphis,13,486,283,58.2,3667,7.5,31,16,136.08,37.4,282.1
122,123,Texas Tech,13,510,321,62.9,3668,7.2,33,14,139.21,39.2,282.2
123,124,Arizona,13,493,307,62.3,3719,7.5,25,19,134.66,37.9,286.1
124,125,East Carolina,12,341,227,66.6,3554,10.4,31,7,180.00,28.4,296.2
125,126,Kansas,12,382,265,69.4,3561,9.3,31,4,172.36,31.8,296.8
126,127,Texas State,12,397,250,63.0,3567,9.0,21,0,155.90,33.1,297.3
127,128,Louisiana-Monroe,12,381,236,61.9,3592,9.4,32,9,164.14,31.8,299.3
128,129,Kansas State,13,526,327,62.2,4018,7.6,23,12,136.21,40.5,309.1
129,130,Connecticut,12,473,318,67.2,4007,8.5,34,6,159.57,39.4,333.9
