,Rank,Name,G,Attempts,Conversions,Conversion %
0,1,Eastern Michigan,12,10,2,20.00
1,2,San Diego State,13,18,4,22.22
2,2,Duke,13,27,6,22.22
3,4,Texas State,12,16,4,25.00
4,5,Fresno State,14,24,7,29.17
5,6,Georgia,15,17,5,29.41
6,7,Texas,13,20,6,30.00
7,8,Ball State,12,12,4,33.33
8,9,Arkansas State,12,11,4,36.36
9,9,Northwestern,13,22,8,36.36
10,11,South Florida,12,19,7,36.84
11,11,Alabama,14,19,7,36.84
12,13,Mississippi State,13,16,6,37.50
13,13,Colorado,12,16,6,37.50
14,15,LSU,13,21,8,38.10
15,16,Stanford,14,18,7,38.89
16,16,Colorado State,13,18,7,38.89
17,16,Arizona State,13,18,7,38.89
18,19,Tennessee,12,10,4,40.00
19,19,UTSA,11,15,6,40.00
20,19,Charlotte,12,15,6,40.00
21,19,Miami (Ohio),12,25,10,40.00
22,19,Ohio,13,30,12,40.00
23,24,Miami (Florida),13,22,9,40.91
24,25,Minnesota,12,17,7,41.18
25,25,Boston College,13,17,7,41.18
26,27,Oregon,13,24,10,41.67
27,28,Washington State,13,19,8,42.11
28,29,Toledo,14,26,11,42.31
29,30,Massachusetts,12,21,9,42.86
30,30,Florida International,13,28,12,42.86
31,32,Connecticut,12,23,10,43.48
32,32,Virginia Tech,13,23,10,43.48
33,34,Georgia Southern,12,16,7,43.75
34,34,Florida Atlantic,14,32,14,43.75
35,36,Penn State,13,25,11,44.00
36,36,Marshall,13,25,11,44.00
37,38,Southern Mississippi,13,18,8,44.44
38,38,California,12,18,8,44.44
39,40,SMU,13,29,13,44.83
40,41,Michigan,13,11,5,45.45
41,41,Middle Tennessee,13,33,15,45.45
42,43,Notre Dame,13,24,11,45.83
43,44,Utah State,13,26,12,46.15
44,45,Troy,13,30,14,46.67
45,45,Auburn,14,30,14,46.67
46,47,Tulsa,12,17,8,47.06
47,47,Iowa State,13,17,8,47.06
48,47,Pittsburgh,12,17,8,47.06
49,50,UAB,13,19,9,47.37
50,50,Central Michigan,13,19,9,47.37
51,50,Bowling Green,12,19,9,47.37
52,53,North Carolina State,13,21,10,47.62
53,54,Tulane,12,23,11,47.83
54,54,Temple,13,23,11,47.83
55,56,Iowa,13,25,12,48.00
56,56,UCLA,13,25,12,48.00
57,56,TCU,14,25,12,48.00
58,59,Ohio State,14,27,13,48.15
59,59,Florida State,13,27,13,48.15
60,61,UCF,13,31,15,48.39
61,62,Appalachian State,13,12,6,50.00
62,62,Western Kentucky,13,12,6,50.00
63,62,Nebraska,12,14,7,50.00
64,62,Maryland,12,16,8,50.00
65,62,South Carolina,13,18,9,50.00
66,62,Navy,13,18,9,50.00
67,62,Syracuse,12,20,10,50.00
68,62,South Alabama,12,20,10,50.00
69,70,Wake Forest,13,33,17,51.52
70,71,Old Dominion,12,19,10,52.63
71,72,Missouri,13,17,9,52.94
72,72,Indiana,12,17,9,52.94
73,72,Oklahoma State,13,17,9,52.94
74,72,Vanderbilt,12,17,9,52.94
75,76,UNLV,12,26,14,53.85
76,77,Kansas State,13,24,13,54.17
77,78,New Mexico,12,11,6,54.55
78,78,Utah,13,11,6,54.55
79,78,Nevada,12,22,12,54.55
80,81,Buffalo,12,20,11,55.00
81,82,Air Force,12,9,5,55.56
82,82,Louisiana-Monroe,12,9,5,55.56
83,82,Georgia Tech,11,18,10,55.56
84,82,Northern Illinois,13,18,10,55.56
85,82,USC,14,27,15,55.56
86,87,North Texas,14,34,19,55.88
87,88,Arizona,13,25,14,56.00
88,88,BYU,13,25,14,56.00
89,90,Purdue,13,23,13,56.52
90,91,Clemson,14,26,15,57.69
91,91,Wyoming,13,26,15,57.69
92,91,Virginia,13,26,15,57.69
93,94,Louisville,13,19,11,57.89
94,94,New Mexico State,13,19,11,57.89
95,96,Georgia State,12,24,14,58.33
96,97,Louisiana-Lafayette,12,17,10,58.82
97,98,Oklahoma,14,22,13,59.09
98,99,Michigan State,13,15,9,60.00
99,99,Rutgers,12,15,9,60.00
100,101,Akron,14,28,17,60.71
101,102,Boise State,14,23,14,60.87
102,103,East Carolina,12,13,8,61.54
103,104,Kansas,12,21,13,61.90
104,105,Kentucky,13,29,18,62.07
105,106,Western Michigan,12,8,5,62.50
106,106,Baylor,12,16,10,62.50
107,106,Rice,12,16,10,62.50
108,106,Texas Tech,13,24,15,62.50
109,110,Mississippi,12,19,12,63.16
110,111,Coastal Carolina,12,11,7,63.64
111,111,Houston,12,22,14,63.64
112,113,UTEP,12,17,11,64.71
113,113,Wisconsin,14,17,11,64.71
114,115,Washington,13,20,13,65.00
115,116,Texas A&M,13,12,8,66.67
116,116,Arkansas,12,15,10,66.67
117,116,Louisiana Tech,13,15,10,66.67
118,116,Kent State,12,15,10,66.67
119,116,Hawai'i,12,18,12,66.67
120,116,Illinois,12,18,12,66.67
121,116,Memphis,13,30,20,66.67
122,123,North Carolina,12,24,17,70.83
123,124,Florida,11,7,5,71.43
124,124,Idaho,12,14,10,71.43
125,126,West Virginia,13,25,18,72.00
126,127,Oregon State,12,15,11,73.33
127,128,Army,13,19,14,73.68
128,129,Cincinnati,12,18,14,77.78
129,130,San Jose State,13,20,17,85.00
