,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,UCF,13,84,13,80,1,1,627,48.2
1,2,Memphis,13,79,14,76,0,0,592,45.5
2,3,Oklahoma,14,83,17,81,1,0,632,45.1
3,4,Oklahoma State,13,74,23,70,1,0,585,45.0
4,5,Arizona,13,71,14,67,1,0,537,41.3
5,6,Ohio State,14,75,17,71,1,1,576,41.1
6,6,Penn State,13,72,9,71,0,2,534,41.1
7,8,Florida Atlantic,14,75,15,65,4,0,568,40.6
8,9,Ohio,13,66,15,61,1,2,508,39.1
9,10,South Florida,12,57,21,52,1,0,459,38.3
10,11,Louisville,13,64,17,58,1,0,495,38.1
11,12,SMU,13,64,15,57,2,1,492,37.8
12,12,Arkansas State,12,59,16,48,1,1,454,37.8
13,14,Missouri,13,63,17,59,0,0,488,37.5
14,15,Alabama,14,66,19,64,1,0,519,37.1
15,16,Toledo,14,62,25,56,3,0,509,36.4
16,17,Washington,13,62,13,58,1,0,471,36.2
17,18,Oregon,13,63,9,63,0,0,468,36.0
18,19,North Texas,14,63,20,55,2,0,497,35.5
19,20,Georgia,15,67,21,64,1,0,531,35.4
20,21,Wake Forest,13,57,21,52,0,1,459,35.3
21,22,West Virginia,13,59,11,56,3,0,449,34.5
22,23,Texas Tech,13,59,12,56,0,0,446,34.3
23,24,Notre Dame,13,57,14,55,2,1,445,34.2
24,25,Auburn,14,58,23,57,0,0,474,33.9
25,25,Louisiana-Monroe,12,54,10,45,3,1,407,33.9
26,25,Western Michigan,12,52,15,46,2,0,407,33.9
27,28,Wisconsin,14,60,16,59,1,2,473,33.8
28,29,TCU,14,62,14,56,0,0,470,33.6
29,30,Appalachian State,13,55,17,52,0,1,435,33.5
30,31,Colorado State,13,56,15,53,0,0,434,33.4
31,32,Clemson,14,62,12,58,0,0,466,33.3
32,33,Mississippi,12,48,19,43,2,1,394,32.8
33,34,Texas A&M,13,53,18,51,0,1,425,32.7
34,35,USC,14,60,12,58,1,0,456,32.6
35,36,Boise State,14,57,18,57,0,1,455,32.5
36,36,UCLA,13,53,17,49,2,0,422,32.5
37,38,Stanford,14,56,21,54,0,0,453,32.4
38,39,Kansas State,13,51,21,49,1,0,420,32.3
39,40,North Carolina State,13,56,10,49,2,0,419,32.2
40,41,Mississippi State,13,53,14,50,1,2,416,32.0
41,42,Arizona State,13,51,19,49,0,1,414,31.8
42,43,Troy,13,54,11,47,3,0,410,31.5
43,44,Air Force,12,50,10,45,1,0,377,31.4
44,45,San Diego State,13,52,12,52,0,0,400,30.8
45,46,Army,13,56,3,50,2,0,399,30.7
46,47,Massachusetts,12,47,13,42,1,1,367,30.6
47,48,Navy,13,52,10,48,1,2,396,30.5
48,48,Louisiana Tech,13,46,25,43,1,0,396,30.5
49,50,Washington State,13,48,20,46,0,0,394,30.3
50,51,Utah State,13,48,19,47,0,0,392,30.2
51,52,Utah,13,42,30,40,1,0,384,29.5
52,52,Texas,13,50,11,48,0,1,383,29.5
53,54,New Mexico State,13,50,13,40,1,0,381,29.3
54,54,Tulsa,12,45,12,44,1,0,352,29.3
55,56,Northwestern,13,49,13,45,1,0,380,29.2
56,56,Iowa State,13,47,17,45,1,0,380,29.2
57,56,Southern Mississippi,13,47,17,42,2,0,379,29.2
58,59,Miami (Florida),13,47,17,45,0,0,378,29.1
59,60,Northern Illinois,13,50,9,49,0,0,376,28.9
60,61,UNLV,12,40,22,38,1,0,346,28.8
61,61,Arkansas,12,46,8,41,2,0,345,28.8
62,63,Central Michigan,13,50,7,45,1,1,370,28.5
63,63,Buffalo,12,43,15,37,1,0,342,28.5
64,65,Houston,12,43,12,43,0,1,339,28.3
65,66,Iowa,13,48,11,44,0,1,367,28.2
66,66,Virginia Tech,13,45,18,42,0,0,366,28.2
67,66,Louisiana-Lafayette,12,45,10,36,1,0,338,28.2
68,66,Nevada,12,45,8,40,2,0,338,28.2
69,70,Georgia Tech,11,42,7,34,1,0,309,28.1
70,71,Florida State,13,44,18,42,0,1,362,27.8
71,71,UAB,13,46,13,40,2,1,361,27.8
72,71,California,12,39,20,35,2,0,333,27.8
73,74,Tulane,12,44,9,37,1,0,330,27.5
74,75,Syracuse,12,37,22,35,2,1,329,27.4
75,76,LSU,13,44,16,40,1,0,354,27.2
76,77,Fresno State,14,43,25,41,0,3,380,27.1
77,78,Indiana,12,39,16,38,0,1,322,26.8
78,79,Marshall,13,45,10,41,2,1,347,26.7
79,80,Duke,13,42,18,37,0,1,345,26.5
80,81,Colorado,12,38,17,36,1,0,317,26.4
81,82,Eastern Michigan,12,39,15,34,0,0,313,26.1
82,83,North Carolina,12,41,9,37,1,0,312,26.0
83,84,Nebraska,12,39,12,37,0,1,309,25.8
84,85,Boston College,13,43,12,40,0,0,334,25.7
85,86,Florida International,13,41,15,40,0,1,333,25.6
86,87,Middle Tennessee,13,41,15,39,0,1,332,25.5
87,87,Kentucky,13,38,22,36,1,0,332,25.5
88,87,Western Kentucky,13,43,10,39,2,0,331,25.5
89,90,Bowling Green,12,36,18,32,1,0,304,25.3
90,91,Purdue,13,40,17,35,1,0,328,25.2
91,91,Michigan,13,39,19,35,0,1,328,25.2
92,93,Temple,13,39,19,33,1,0,326,25.1
93,94,East Carolina,12,36,16,35,0,0,299,24.9
94,95,Vanderbilt,12,41,3,40,0,0,295,24.6
95,96,Michigan State,13,39,15,38,1,0,319,24.5
96,97,Miami (Ohio),12,37,12,35,0,0,293,24.4
97,98,Baylor,12,33,20,30,1,1,292,24.3
98,99,South Carolina,13,39,15,36,0,0,315,24.2
99,100,Maryland,12,38,8,37,0,0,289,24.1
100,101,Pittsburgh,12,36,11,34,2,0,287,23.9
101,102,Coastal Carolina,12,35,12,30,4,0,284,23.7
102,103,Connecticut,12,36,12,27,1,1,283,23.6
103,104,Wyoming,13,37,15,36,0,1,305,23.5
104,104,UTSA,11,29,20,25,0,0,259,23.5
105,106,Hawai'i,12,37,4,33,2,1,273,22.8
106,107,Virginia,13,38,8,37,1,1,293,22.5
107,108,Akron,14,42,6,40,0,0,310,22.1
108,108,Minnesota,12,32,14,31,0,0,265,22.1
109,108,Florida,11,28,17,24,0,0,243,22.1
110,111,Cincinnati,12,32,9,24,4,0,251,20.9
111,111,Idaho,12,31,12,29,0,0,251,20.9
112,113,Georgia Southern,12,29,15,27,1,1,250,20.8
113,114,New Mexico,12,31,10,28,2,0,248,20.7
114,114,Oregon State,12,30,12,30,0,1,248,20.7
115,114,Old Dominion,12,29,15,27,1,0,248,20.7
116,117,Georgia State,12,30,12,28,0,0,244,20.3
117,118,Tennessee,12,28,14,28,0,0,238,19.8
118,118,South Alabama,12,27,16,26,0,1,238,19.8
119,120,Kansas,12,25,17,23,0,0,224,18.7
120,121,Rutgers,12,28,7,27,0,0,216,18.0
121,122,Ball State,12,27,9,26,0,0,215,17.9
122,123,Texas State,12,26,10,21,0,0,207,17.3
123,124,BYU,13,26,14,24,0,0,222,17.1
124,125,Rice,12,27,3,24,0,0,195,16.3
125,126,San Jose State,13,24,14,20,0,0,206,15.8
126,127,Illinois,12,21,12,17,3,0,185,15.4
127,128,Charlotte,12,23,4,16,2,0,170,14.2
128,129,Kent State,12,18,9,14,1,1,153,12.8
129,130,UTEP,12,19,3,18,0,0,141,11.8
