,Rank,Name,G,Sacks,Sack Yards,Sacks/G
0,1,USC,14,46.0,279,3.29
1,1,Clemson,14,46.0,246,3.29
2,3,Ohio State,14,45.0,314,3.21
3,4,Miami (Florida),13,44.0,255,3.39
4,5,Northern Illinois,13,43.0,262,3.31
5,5,Texas A&M,13,43.0,252,3.31
6,5,New Mexico State,13,43.0,250,3.31
7,8,Wisconsin,14,42.0,311,3.00
8,8,Michigan,13,42.0,285,3.23
9,8,TCU,14,42.0,271,3.00
10,8,Troy,13,42.0,267,3.23
11,8,Penn State,13,42.0,247,3.23
12,13,Alabama,14,40.0,274,2.86
13,14,Washington,13,39.0,259,3.00
14,14,Temple,13,39.0,243,3.00
15,14,LSU,13,39.0,217,3.00
16,17,Florida Atlantic,14,38.0,256,2.71
17,17,Appalachian State,13,38.0,245,2.92
18,19,Auburn,14,37.0,236,2.64
19,19,Washington State,13,37.0,224,2.85
20,21,South Florida,12,36.0,252,3.00
21,21,Mississippi State,13,36.0,225,2.77
22,21,Arizona State,13,36.0,221,2.77
23,21,Indiana,12,36.0,213,3.00
24,25,Arkansas State,12,35.0,216,2.92
25,25,Central Michigan,13,35.0,189,2.69
26,27,Georgia,15,34.0,258,2.27
27,27,Fresno State,14,34.0,209,2.43
28,27,Boise State,14,34.0,199,2.43
29,30,Oregon,13,33.0,203,2.54
30,30,Wyoming,13,33.0,203,2.54
31,30,Missouri,13,33.0,189,2.54
32,33,Middle Tennessee,13,32.0,235,2.46
33,33,Stanford,14,32.0,215,2.29
34,33,Virginia Tech,13,32.0,196,2.46
35,33,Northwestern,13,32.0,193,2.46
36,33,Marshall,13,32.0,189,2.46
37,38,Texas,13,31.0,229,2.39
38,38,Arizona,13,31.0,199,2.39
39,38,SMU,13,31.0,196,2.39
40,38,Old Dominion,12,31.0,177,2.58
41,42,Oklahoma State,13,30.0,257,2.31
42,42,Kentucky,13,30.0,215,2.31
43,42,North Carolina State,13,30.0,197,2.31
44,45,Purdue,13,29.0,205,2.23
45,45,Mississippi,12,29.0,192,2.42
46,45,Duke,13,29.0,184,2.23
47,45,Iowa,13,29.0,175,2.23
48,45,Florida State,13,29.0,157,2.23
49,50,Rice,12,28.0,214,2.33
50,50,Eastern Michigan,12,28.0,202,2.33
51,50,Virginia,13,28.0,202,2.15
52,50,California,12,28.0,201,2.33
53,50,Wake Forest,13,28.0,181,2.15
54,50,Ohio,13,28.0,165,2.15
55,50,Michigan State,13,28.0,153,2.15
56,57,Louisville,13,27.0,204,2.08
57,57,Colorado State,13,27.0,186,2.08
58,57,Vanderbilt,12,27.0,181,2.25
59,57,Idaho,12,27.0,181,2.25
60,57,UCF,13,27.0,181,2.08
61,62,Oklahoma,14,26.0,195,1.86
62,62,South Carolina,13,26.0,183,2.00
63,62,Memphis,13,26.0,183,2.00
64,62,Boston College,13,26.0,172,2.00
65,62,Iowa State,13,26.0,137,2.00
66,67,Army,13,25.0,207,1.92
67,67,Utah,13,25.0,188,1.92
68,67,Kent State,12,25.0,169,2.08
69,70,West Virginia,13,24.0,178,1.85
70,70,Ball State,12,24.0,166,2.00
71,70,Hawai'i,12,24.0,162,2.00
72,70,Utah State,13,24.0,161,1.85
73,70,Georgia State,12,24.0,158,2.00
74,70,Kansas State,13,24.0,147,1.85
75,70,Southern Mississippi,13,24.0,147,1.85
76,70,Louisiana Tech,13,24.0,144,1.85
77,70,Notre Dame,13,24.0,135,1.85
78,79,Nevada,12,23.0,167,1.92
79,79,San Diego State,13,23.0,166,1.77
80,79,North Texas,14,23.0,161,1.64
81,79,Connecticut,12,23.0,157,1.92
82,79,Pittsburgh,12,23.0,145,1.92
83,79,Houston,12,23.0,144,1.92
84,79,Baylor,12,23.0,142,1.92
85,79,Massachusetts,12,23.0,141,1.92
86,79,Minnesota,12,23.0,136,1.92
87,79,Florida International,13,23.0,132,1.77
88,79,Florida,11,23.0,128,2.09
89,79,UTSA,11,23.0,127,2.09
90,79,North Carolina,12,23.0,125,1.92
91,92,Texas State,12,22.0,142,1.83
92,92,Toledo,14,22.0,135,1.57
93,92,Akron,14,22.0,135,1.57
94,92,Tennessee,12,22.0,125,1.83
95,92,Kansas,12,22.0,124,1.83
96,92,UCLA,13,22.0,112,1.69
97,92,Georgia Southern,12,22.0,106,1.83
98,99,New Mexico,12,21.0,156,1.75
99,99,Western Michigan,12,21.0,141,1.75
100,99,South Alabama,12,21.0,138,1.75
101,99,Louisiana-Monroe,12,21.0,137,1.75
102,103,Louisiana-Lafayette,12,20.0,164,1.67
103,104,Illinois,12,19.0,137,1.58
104,104,Buffalo,12,19.0,132,1.58
105,104,Arkansas,12,19.0,128,1.58
106,104,Colorado,12,19.0,115,1.58
107,104,UAB,13,19.0,108,1.46
108,109,Texas Tech,13,18.0,136,1.39
109,109,Miami (Ohio),12,18.0,114,1.50
110,111,Georgia Tech,11,17.0,122,1.55
111,111,BYU,13,17.0,106,1.31
112,113,Navy,13,16.0,106,1.23
113,113,Syracuse,12,16.0,103,1.33
114,113,Rutgers,12,16.0,89,1.33
115,113,Maryland,12,16.0,85,1.33
116,117,Coastal Carolina,12,15.0,112,1.25
117,117,Bowling Green,12,15.0,88,1.25
118,119,Oregon State,12,14.0,116,1.17
119,119,Tulane,12,14.0,93,1.17
120,119,Nebraska,12,14.0,85,1.17
121,122,San Jose State,13,13.0,73,1.00
122,123,Cincinnati,12,12.0,89,1.00
123,123,Tulsa,12,12.0,80,1.00
124,123,Western Kentucky,13,12.0,70,0.92
125,126,UTEP,12,11.0,74,0.92
126,126,East Carolina,12,11.0,74,0.92
127,126,Charlotte,12,11.0,68,0.92
128,126,UNLV,12,11.0,64,0.92
129,130,Air Force,12,10.0,86,0.83
