,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Ohio State,14,114.0,479,8.14
1,1,Michigan,13,114.0,477,8.77
2,1,Northern Illinois,13,114.0,436,8.77
3,4,Troy,13,112.0,427,8.62
4,5,Miami (Florida),13,111.0,415,8.54
5,6,Clemson,14,109.0,384,7.79
6,7,Wake Forest,13,106.0,366,8.15
7,8,Washington State,13,103.0,380,7.92
8,8,Missouri,13,103.0,359,7.92
9,10,Temple,13,102.0,402,7.85
10,11,Alabama,14,101.0,414,7.21
11,11,South Florida,12,101.0,409,8.42
12,11,Virginia Tech,13,101.0,368,7.77
13,14,Arkansas State,12,100.0,406,8.33
14,15,Middle Tennessee,13,96.0,387,7.39
15,15,New Mexico State,13,96.0,379,7.39
16,15,Southern Mississippi,13,96.0,319,7.39
17,15,Iowa State,13,96.0,298,7.39
18,19,Oklahoma State,13,95.0,430,7.31
19,19,TCU,14,95.0,422,6.79
20,21,Northwestern,13,94.0,366,7.23
21,21,Oregon,13,94.0,351,7.23
22,23,Penn State,13,93.0,393,7.15
23,23,Georgia,15,93.0,388,6.20
24,23,Marshall,13,93.0,323,7.15
25,26,Florida State,13,92.0,341,7.08
26,27,Memphis,13,91.0,352,7.00
27,27,Wyoming,13,91.0,339,7.00
28,27,Idaho,12,91.0,331,7.58
29,30,Appalachian State,13,90.0,361,6.92
30,30,Fresno State,14,90.0,341,6.43
31,30,SMU,13,90.0,336,6.92
32,33,Wisconsin,14,89.0,442,6.36
33,33,Texas A&M,13,89.0,367,6.85
34,33,Kansas,12,89.0,262,7.42
35,36,Indiana,12,88.0,357,7.33
36,37,Washington,13,86.0,382,6.62
37,37,Mississippi State,13,86.0,360,6.62
38,37,Duke,13,86.0,328,6.62
39,40,West Virginia,13,85.5,315,6.58
40,41,Florida Atlantic,14,85.0,364,6.07
41,42,USC,14,84.0,380,6.00
42,42,North Carolina State,13,84.0,338,6.46
43,42,UAB,13,84.0,288,6.46
44,45,Massachusetts,12,83.0,305,6.92
45,45,Baylor,12,83.0,288,6.92
46,47,Texas,13,82.0,355,6.31
47,47,Auburn,14,82.0,347,5.86
48,47,Nevada,12,82.0,307,6.83
49,50,Arizona State,13,81.0,334,6.23
50,50,Purdue,13,81.0,307,6.23
51,52,Western Michigan,12,80.0,319,6.67
52,52,Houston,12,80.0,285,6.67
53,54,Louisville,13,79.0,350,6.08
54,54,Boise State,14,79.0,302,5.64
55,54,Old Dominion,12,79.0,283,6.58
56,54,Central Michigan,13,79.0,282,6.08
57,54,Notre Dame,13,79.0,251,6.08
58,59,Kent State,12,78.0,324,6.50
59,60,UCF,13,77.0,310,5.92
60,60,LSU,13,77.0,309,5.92
61,60,UCLA,13,77.0,246,5.92
62,63,Boston College,13,76.0,284,5.85
63,63,North Texas,14,76.0,269,5.43
64,65,Oklahoma,14,75.0,330,5.36
65,65,Vanderbilt,12,75.0,313,6.25
66,65,Ohio,13,75.0,276,5.77
67,65,Florida International,13,75.0,272,5.77
68,65,Toledo,14,75.0,248,5.36
69,70,Mississippi,12,74.0,300,6.17
70,70,Akron,14,74.0,282,5.29
71,72,Stanford,14,73.0,321,5.21
72,72,Rice,12,73.0,313,6.08
73,72,Arizona,13,73.0,299,5.62
74,72,UTSA,11,73.0,255,6.64
75,76,Florida,11,72.0,235,6.55
