,Rank,Name,G,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Georgia,15,7,1,0,0,0,0,0,0
1,1,Kansas State,13,7,6,3,1,1,0,0,0
2,1,Louisiana-Lafayette,12,7,1,0,0,0,0,0,0
3,1,Washington,13,7,4,4,4,4,1,0,0
4,5,Arkansas State,12,6,3,3,3,1,0,0,0
5,5,Boston College,13,6,3,1,1,1,0,0,0
6,5,Penn State,13,6,3,2,1,1,0,0,0
7,5,Pittsburgh,12,6,3,3,3,3,2,1,0
8,9,Appalachian State,13,5,2,0,0,0,0,0,0
9,9,Boise State,14,5,3,2,2,1,1,1,0
10,9,Clemson,14,5,3,2,2,1,1,0,0
11,9,Florida Atlantic,14,5,1,0,0,0,0,0,0
12,9,Florida State,13,5,2,2,0,0,0,0,0
13,9,Southern Mississippi,13,5,0,0,0,0,0,0,0
14,9,Utah State,13,5,2,2,1,1,1,0,0
15,9,Wake Forest,13,5,2,2,2,1,1,0,0
16,17,Colorado,12,4,2,2,1,0,0,0,0
17,17,Georgia Southern,12,4,1,1,0,0,0,0,0
18,17,Indiana,12,4,4,4,2,1,1,0,0
19,17,Ohio,13,4,1,0,0,0,0,0,0
20,17,San Diego State,13,4,3,1,1,1,1,0,0
21,17,TCU,14,4,4,3,3,2,2,1,1
22,17,Texas A&M,13,4,2,2,1,1,1,1,1
23,17,UCF,13,4,3,2,1,1,0,0,0
24,17,Utah,13,4,3,2,0,0,0,0,0
25,17,Virginia Tech,13,4,3,3,2,2,1,1,1
26,27,Alabama,14,3,0,0,0,0,0,0,0
27,27,Arizona,13,3,3,2,2,2,0,0,0
28,27,Auburn,14,3,0,0,0,0,0,0,0
29,27,LSU,13,3,3,2,2,2,1,0,0
30,27,Louisville,13,3,1,0,0,0,0,0,0
31,27,Maryland,12,3,1,0,0,0,0,0,0
32,27,Miami (Florida),13,3,2,1,0,0,0,0,0
33,27,Michigan,13,3,2,2,1,1,1,0,0
34,27,Middle Tennessee,13,3,0,0,0,0,0,0,0
35,27,Mississippi State,13,3,2,1,1,1,1,1,0
36,27,Missouri,13,3,3,2,2,2,2,1,0
37,27,North Carolina,12,3,2,1,0,0,0,0,0
38,27,North Carolina State,13,3,2,1,1,1,1,1,1
39,27,Notre Dame,13,3,1,1,0,0,0,0,0
40,27,South Carolina,13,3,0,0,0,0,0,0,0
41,27,USC,14,3,1,1,1,1,1,0,0
42,27,Wisconsin,14,3,1,1,1,0,0,0,0
43,27,Wyoming,13,3,3,2,1,0,0,0,0
44,45,Arizona State,13,2,0,0,0,0,0,0,0
45,45,Army,13,2,0,0,0,0,0,0,0
46,45,BYU,13,2,1,0,0,0,0,0,0
47,45,Bowling Green,12,2,0,0,0,0,0,0,0
