,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Mississippi State,13,80,72,23,175,13.5
1,2,Michigan,13,79,75,25,179,13.8
2,3,Wisconsin,14,79,97,20,196,14.0
3,4,Clemson,14,99,89,19,207,14.8
4,5,UTSA,11,76,75,15,166,15.1
5,6,San Diego State,13,98,85,16,199,15.3
6,7,Virginia Tech,13,83,101,16,200,15.4
7,7,Alabama,14,76,114,25,215,15.4
8,9,Georgia,15,108,103,23,234,15.6
9,10,Michigan State,13,63,122,21,206,15.8
10,11,LSU,13,83,109,19,211,16.2
11,12,Duke,13,103,87,22,212,16.3
12,13,Washington State,13,102,93,18,213,16.4
13,14,TCU,14,79,128,26,233,16.6
14,14,Auburn,14,100,111,22,233,16.6
15,16,Washington,13,93,115,11,219,16.8
16,16,Ohio State,14,77,127,31,235,16.8
17,18,Northern Illinois,13,84,116,21,221,17.0
18,19,Appalachian State,13,95,109,18,222,17.1
19,19,Fresno State,14,92,132,15,239,17.1
20,21,Minnesota,12,101,95,12,208,17.3
21,22,Penn State,13,87,122,17,226,17.4
22,22,Florida State,13,90,120,16,226,17.4
23,24,Florida,11,82,92,18,192,17.5
24,24,Indiana,12,98,84,28,210,17.5
25,24,Utah,13,87,117,23,227,17.5
26,27,Texas,13,81,130,18,229,17.6
27,27,Southern Mississippi,13,95,107,27,229,17.6
28,29,Air Force,12,114,81,17,212,17.7
29,30,Navy,13,101,115,17,233,17.9
30,30,Boise State,14,98,134,18,250,17.9
31,32,Boston College,13,111,115,9,235,18.1
32,33,Ohio,13,74,142,20,236,18.2
33,33,Army,13,115,106,15,236,18.2
34,35,Georgia Tech,11,93,99,9,201,18.3
35,36,Georgia State,12,83,128,11,222,18.5
36,37,Eastern Michigan,12,96,104,23,223,18.6
37,38,Western Michigan,12,98,104,22,224,18.7
38,39,Miami (Ohio),12,97,98,30,225,18.8
39,39,Georgia Southern,12,96,108,22,226,18.8
40,39,Iowa,13,96,130,18,244,18.8
41,39,Wyoming,13,128,98,18,244,18.8
42,39,Virginia,13,125,101,19,245,18.8
43,44,Massachusetts,12,112,98,18,228,19.0
44,45,Troy,13,93,136,19,248,19.1
45,46,Northwestern,13,83,149,17,249,19.2
46,46,Central Michigan,13,117,108,24,249,19.2
47,46,Marshall,13,88,135,27,250,19.2
48,46,Purdue,13,88,138,24,250,19.2
49,46,Western Kentucky,13,111,126,13,250,19.2
50,51,Arkansas State,12,88,120,25,233,19.4
51,52,North Carolina State,13,99,136,19,254,19.5
