,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Oklahoma,14,282,117,60,37,21,9,5,4,1
1,2,Louisville,13,274,92,38,23,14,10,5,0,0
2,3,Oklahoma State,13,273,98,57,31,22,14,7,2,0
3,4,USC,14,259,94,36,18,10,3,1,1,0
4,5,Memphis,13,254,95,51,28,19,11,4,3,0
5,6,North Texas,14,245,66,36,24,9,7,3,0,0
6,7,Toledo,14,244,85,37,21,12,11,7,4,0
7,8,Florida Atlantic,14,243,82,43,28,17,14,5,2,1
8,9,UCF,13,242,102,46,28,14,10,4,2,1
9,10,Colorado State,13,236,78,35,13,7,3,2,0,0
10,11,Ohio State,14,230,85,41,20,13,6,5,2,0
11,12,Texas Tech,13,228,73,33,19,13,8,6,1,0
12,13,South Florida,12,225,76,36,19,10,5,3,2,1
13,14,Alabama,14,222,70,30,18,12,9,3,0,0
14,14,Missouri,13,222,82,37,27,23,11,5,0,0
15,16,New Mexico State,13,220,78,29,14,6,3,1,1,0
16,17,Washington State,13,219,66,19,11,6,2,0,0,0
17,18,Arkansas State,12,218,74,37,11,7,3,3,1,0
18,18,Georgia,15,218,89,43,20,13,6,5,1,0
19,18,UCLA,13,218,82,38,18,7,2,1,0,0
20,21,Utah,13,213,57,26,13,4,2,2,0,0
21,22,Penn State,13,211,85,34,15,7,6,4,3,1
22,23,Wake Forest,13,210,81,42,18,6,2,1,0,0
23,24,TCU,14,208,68,33,16,6,4,2,1,1
24,25,SMU,13,206,88,40,22,13,8,5,1,0
25,25,Wisconsin,14,206,62,25,13,8,4,1,0,0
26,27,Mississippi,12,203,67,40,26,15,8,5,0,0
27,28,Louisiana Tech,13,202,49,22,11,5,2,2,2,0
28,29,North Carolina State,13,200,75,31,16,6,3,3,1,0
29,30,Boise State,14,199,66,31,18,5,3,2,1,0
30,30,Purdue,13,199,70,28,6,2,1,0,0,0
31,32,Arizona,13,198,77,47,32,18,11,6,1,0
32,32,Auburn,14,198,75,41,27,16,6,1,0,0
33,32,West Virginia,13,198,71,42,23,13,8,3,0,0
34,35,Appalachian State,13,197,78,34,18,12,5,3,2,0
35,36,Northwestern,13,196,51,15,11,5,3,1,0,0
36,36,Syracuse,12,196,61,30,14,5,3,2,0,0
37,38,Troy,13,194,60,31,19,6,1,1,0,0
38,39,Houston,12,193,60,31,13,5,3,1,0,0
39,39,Middle Tennessee,13,193,76,23,10,3,2,0,0,0
40,41,Massachusetts,12,192,68,30,16,9,6,1,1,1
41,41,Southern Mississippi,13,192,68,36,23,9,5,4,3,0
42,41,Western Kentucky,13,192,56,19,8,6,3,1,1,1
43,44,Miami (Florida),13,191,75,36,18,6,4,3,1,0
44,44,Ohio,13,191,68,30,20,12,7,2,0,0
45,44,Virginia Tech,13,191,60,21,7,2,1,1,0,0
