,Rank,Name,G,Total Time,Time/G
0,1,Navy,13,471:56,36:18.15
1,2,Wisconsin,14,496:49,35:29.21
2,3,Michigan State,13,459:06,35:18.92
3,4,Army,13,451:29,34:43.77
4,5,Georgia Southern,12,407:52,33:59.33
5,6,Georgia Tech,11,368:35,33:30.45
6,7,Air Force,12,401:31,33:27.58
7,8,Mississippi State,13,434:00,33:23.08
8,9,UTSA,11,365:25,33:13.18
9,10,Ball State,12,398:01,33:10.08
10,11,North Carolina State,13,425:39,32:44.54
11,12,Virginia Tech,13,424:54,32:41.08
12,13,Tulane,12,391:02,32:35.17
13,14,LSU,13,423:34,32:34.92
14,15,Utah,13,422:46,32:31.23
15,16,Pittsburgh,12,389:33,32:27.75
16,17,Washington State,13,421:30,32:25.38
17,18,New Mexico,12,388:53,32:24.42
18,19,Georgia,15,481:48,32:07.20
19,20,Michigan,13,415:23,31:57.15
20,21,Colorado State,13,415:06,31:55.85
21,22,San Diego State,13,414:52,31:54.77
22,23,Oklahoma,14,445:33,31:49.50
23,24,Toledo,14,442:36,31:36.86
24,25,Hawai'i,12,377:38,31:28.17
25,26,Kent State,12,377:10,31:25.83
26,27,Miami (Ohio),12,377:06,31:25.50
27,28,Arkansas,12,376:57,31:24.75
28,29,Arizona State,13,408:12,31:24.00
29,30,Duke,13,407:56,31:22.77
30,31,Auburn,14,439:03,31:21.64
31,32,Appalachian State,13,407:09,31:19.15
32,33,Texas,13,407:05,31:18.85
33,34,Fresno State,14,437:56,31:16.86
34,35,Boise State,14,437:32,31:15.14
35,36,East Carolina,12,374:16,31:11.33
36,37,UNLV,12,374:15,31:11.25
37,38,Florida,11,341:35,31:03.18
38,39,Marshall,13,403:20,31:01.54
39,40,Georgia State,12,372:12,31:01.00
40,41,Minnesota,12,371:26,30:57.17
41,42,Ohio,13,402:00,30:55.38
42,43,USC,14,432:44,30:54.57
43,44,Northwestern,13,401:43,30:54.08
44,45,Florida State,13,400:35,30:48.85
45,46,Idaho,12,369:46,30:48.83
46,47,Florida International,13,398:57,30:41.31
47,48,TCU,14,429:36,30:41.14
48,49,Clemson,14,429:24,30:40.29
49,50,Western Michigan,12,367:46,30:38.83
50,51,Kansas State,13,397:58,30:36.77
51,52,Nebraska,12,367:12,30:36.00
52,53,South Florida,12,365:52,30:29.33
53,54,Virginia,13,396:04,30:28.00
54,55,Boston College,13,395:36,30:25.85
55,56,Louisville,13,395:28,30:25.23
56,57,Temple,13,395:01,30:23.15
57,58,Penn State,13,394:31,30:20.85
58,59,Kentucky,13,394:21,30:20.08
59,60,Coastal Carolina,12,363:42,30:18.50
60,61,Southern Mississippi,13,393:52,30:17.85
61,62,Stanford,14,423:45,30:16.07
62,63,North Texas,14,423:38,30:15.57
63,64,Iowa State,13,393:22,30:15.54
64,65,Louisiana Tech,13,392:21,30:10.85
65,66,Syracuse,12,361:53,30:09.42
66,67,Iowa,13,390:35,30:02.69
67,68,Eastern Michigan,12,359:34,29:57.83
68,69,Baylor,12,357:39,29:48.25
69,70,Buffalo,12,357:29,29:47.42
70,71,Alabama,14,416:33,29:45.21
71,72,Louisiana-Monroe,12,356:32,29:42.67
72,73,Rice,12,355:17,29:36.42
73,74,South Alabama,12,355:16,29:36.33
74,75,Louisiana-Lafayette,12,354:55,29:34.58
75,76,Connecticut,12,354:47,29:33.92
76,77,SMU,13,384:06,29:32.77
77,78,Texas State,12,354:14,29:31.17
78,79,Texas Tech,13,383:27,29:29.77
79,80,California,12,353:50,29:29.17
80,81,Middle Tennessee,13,382:47,29:26.69
81,82,Western Kentucky,13,381:53,29:22.54
82,83,Vanderbilt,12,352:26,29:22.17
83,84,Massachusetts,12,350:37,29:13.08
84,85,Oregon State,12,350:19,29:11.58
85,86,Texas A&M,13,379:26,29:11.23
86,87,Purdue,13,376:09,28:56.08
87,88,Arkansas State,12,346:17,28:51.42
88,89,Colorado,12,346:13,28:51.08
89,90,Akron,14,402:27,28:44.79
90,91,South Carolina,13,373:08,28:42.15
91,92,Old Dominion,12,343:40,28:38.33
92,93,Arizona,13,372:08,28:37.54
93,94,UAB,13,371:51,28:36.23
94,95,Northern Illinois,13,371:38,28:35.23
95,96,Central Michigan,13,370:49,28:31.46
96,97,Washington,13,370:47,28:31.31
97,98,Rutgers,12,342:05,28:30.42
98,99,Ohio State,14,397:40,28:24.29
99,100,Indiana,12,340:37,28:23.08
100,101,New Mexico State,13,367:33,28:16.38
101,102,Oregon,13,367:11,28:14.69
102,103,Illinois,12,338:56,28:14.67
103,104,Tennessee,12,338:46,28:13.83
104,105,Oklahoma State,13,365:27,28:06.69
105,106,UCF,13,365:01,28:04.69
106,107,Houston,12,336:31,28:02.58
107,108,Tulsa,12,336:14,28:01.17
108,109,BYU,13,362:33,27:53.31
109,110,Wyoming,13,359:32,27:39.38
110,111,Notre Dame,13,358:53,27:36.38
111,112,Troy,13,358:45,27:35.77
112,113,UTEP,12,330:52,27:34.33
113,114,Kansas,12,330:09,27:30.75
114,115,Florida Atlantic,14,384:28,27:27.71
115,116,Maryland,12,327:17,27:16.42
116,117,West Virginia,13,354:16,27:15.08
117,118,Bowling Green,12,326:36,27:13.00
118,119,Charlotte,12,326:28,27:12.33
119,120,Wake Forest,13,351:41,27:03.15
120,121,Utah State,13,346:24,26:38.77
121,122,Cincinnati,12,319:10,26:35.83
122,123,North Carolina,12,318:33,26:32.75
123,124,Miami (Florida),13,344:42,26:30.92
124,125,UCLA,13,344:12,26:28.62
125,126,Memphis,13,343:16,26:24.31
126,127,Nevada,12,308:48,25:44.00
127,128,Mississippi,12,302:35,25:12.92
