,Rank,Name,G,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Georgia Southern,12,0,0,0,0,0,0,0
1,1,Illinois,12,0,0,0,0,0,0,0
2,1,Marshall,13,0,0,0,0,0,0,0
3,1,Michigan,13,0,0,0,0,0,0,0
4,1,Stanford,14,0,0,0,0,0,0,0
5,1,UTEP,12,0,0,0,0,0,0,0
6,7,BYU,13,1,1,0,0,0,0,0
7,7,Charlotte,12,1,0,0,0,0,0,0
8,7,Florida Atlantic,14,1,0,0,0,0,0,0
9,7,Iowa,13,1,0,0,0,0,0,0
10,7,Iowa State,13,1,1,1,1,1,1,1
11,7,Mississippi State,13,1,0,0,0,0,0,0
12,7,New Mexico,12,1,0,0,0,0,0,0
13,7,North Carolina,12,1,1,1,1,1,1,1
14,7,San Jose State,13,1,0,0,0,0,0,0
15,7,Tulane,12,1,0,0,0,0,0,0
16,7,Virginia Tech,13,1,0,0,0,0,0,0
17,7,Wisconsin,14,1,1,0,0,0,0,0
18,19,Arizona State,13,2,1,1,1,1,1,1
19,19,Arkansas,12,2,1,1,1,1,1,1
20,19,Ball State,12,2,2,0,0,0,0,0
21,19,Cincinnati,12,2,1,1,1,1,1,1
22,19,Clemson,14,2,0,0,0,0,0,0
23,19,East Carolina,12,2,1,1,1,1,1,1
24,19,Florida,11,2,0,0,0,0,0,0
25,19,Georgia,15,2,0,0,0,0,0,0
26,19,Kansas State,13,2,1,1,1,0,0,0
27,19,Miami (Ohio),12,2,2,2,2,2,2,2
28,19,Oregon State,12,2,1,0,0,0,0,0
29,19,Utah State,13,2,1,1,1,1,1,1
30,19,Vanderbilt,12,2,1,1,1,1,1,1
31,32,Air Force,12,3,1,0,0,0,0,0
32,32,Arizona,13,3,3,1,1,1,1,0
33,32,Buffalo,12,3,1,0,0,0,0,0
34,32,California,12,3,1,0,0,0,0,0
35,32,Colorado,12,3,0,0,0,0,0,0
36,32,Colorado State,13,3,1,0,0,0,0,0
37,32,Florida International,13,3,0,0,0,0,0,0
38,32,Houston,12,3,2,1,1,1,1,1
39,32,Indiana,12,3,2,2,2,2,2,1
40,32,LSU,13,3,1,1,0,0,0,0
41,32,Navy,13,3,2,2,1,1,1,1
42,32,Oregon,13,3,1,1,1,0,0,0
43,32,Rice,12,3,0,0,0,0,0,0
44,32,San Diego State,13,3,1,0,0,0,0,0
45,32,South Carolina,13,3,1,0,0,0,0,0
46,32,TCU,14,3,0,0,0,0,0,0
47,32,UTSA,11,3,2,1,0,0,0,0
48,32,Western Kentucky,13,3,0,0,0,0,0,0
49,50,Alabama,14,4,3,1,1,0,0,0
50,50,Boise State,14,4,0,0,0,0,0,0
51,50,Bowling Green,12,4,1,1,0,0,0,0
52,50,Fresno State,14,4,0,0,0,0,0,0
53,50,Hawai'i,12,4,4,3,2,2,2,2
54,50,Minnesota,12,4,3,1,0,0,0,0
55,50,Nevada,12,4,2,2,2,2,1,1
56,50,Northern Illinois,13,4,4,2,1,1,1,1
57,50,Oklahoma,14,4,3,2,0,0,0,0
58,50,Penn State,13,4,1,0,0,0,0,0
59,50,Purdue,13,4,2,1,0,0,0,0
60,50,Rutgers,12,4,0,0,0,0,0,0
61,50,Syracuse,12,4,1,1,1,0,0,0
62,50,Tennessee,12,4,1,0,0,0,0,0
63,50,Toledo,14,4,0,0,0,0,0,0
64,50,Utah,13,4,2,0,0,0,0,0
65,50,Western Michigan,12,4,1,0,0,0,0,0
66,67,Boston College,13,5,3,1,1,1,0,0
67,67,Connecticut,12,5,1,1,0,0,0,0
68,67,Eastern Michigan,12,5,0,0,0,0,0,0
69,67,Idaho,12,5,2,0,0,0,0,0
70,67,Kent State,12,5,4,2,2,1,1,1
71,67,Louisiana-Monroe,12,5,4,2,2,2,2,1
72,67,Northwestern,13,5,2,1,0,0,0,0
73,67,Oklahoma State,13,5,2,1,1,1,1,0
74,67,Pittsburgh,12,5,3,2,2,1,1,1
75,67,Temple,13,5,2,1,0,0,0,0
76,67,Texas State,12,5,3,1,1,1,1,1
77,67,Tulsa,12,5,1,1,0,0,0,0
78,67,Washington,13,5,0,0,0,0,0,0
79,67,West Virginia,13,5,3,0,0,0,0,0
80,81,Appalachian State,13,6,1,1,1,1,1,1
81,81,Coastal Carolina,12,6,5,4,4,4,4,2
82,81,Florida State,13,6,3,0,0,0,0,0
83,81,Kansas,12,6,3,2,1,1,1,1
84,81,Louisville,13,6,2,1,1,1,1,1
85,81,Maryland,12,6,1,0,0,0,0,0
86,81,Mississippi,12,6,3,1,1,1,0,0
87,81,Missouri,13,6,2,1,1,1,1,1
88,81,Nebraska,12,6,2,2,2,2,1,1
89,81,Ohio,13,6,3,2,1,1,1,0
90,81,Ohio State,14,6,4,3,2,2,2,2
91,81,Texas A&M,13,6,1,1,1,1,1,1
92,81,Wyoming,13,6,0,0,0,0,0,0
93,94,Akron,14,7,2,1,0,0,0,0
94,94,Auburn,14,7,4,3,2,2,1,1
95,94,Duke,13,7,2,0,0,0,0,0
96,94,Kentucky,13,7,1,1,0,0,0,0
97,94,Louisiana Tech,13,7,3,2,1,1,1,1
98,94,Louisiana-Lafayette,12,7,3,2,2,2,1,1
99,94,Miami (Florida),13,7,2,0,0,0,0,0
100,94,North Carolina State,13,7,2,1,1,1,1,1
101,94,Texas,13,7,1,1,1,0,0,0
102,94,UAB,13,7,3,1,1,1,1,1
103,94,Virginia,13,7,2,2,2,1,0,0
104,94,Wake Forest,13,7,3,3,1,1,1,0
105,106,Arkansas State,12,8,4,3,3,3,3,3
106,106,Central Michigan,13,8,3,2,1,0,0,0
107,106,Georgia State,12,8,3,1,1,1,1,1
108,106,Georgia Tech,11,8,6,4,2,2,1,1
109,106,Memphis,13,8,1,0,0,0,0,0
110,106,North Texas,14,8,4,3,2,2,2,2
111,106,Notre Dame,13,8,1,1,0,0,0,0
112,106,Old Dominion,12,8,1,0,0,0,0,0
113,106,South Alabama,12,8,3,2,1,1,1,1
114,106,South Florida,12,8,5,2,1,1,1,1
115,106,Texas Tech,13,8,3,1,0,0,0,0
116,106,Troy,13,8,6,4,0,0,0,0
117,106,UCLA,13,8,4,2,1,1,1,0
118,119,Army,13,9,5,2,2,1,0,0
119,119,Baylor,12,9,5,2,2,2,1,1
120,119,Michigan State,13,9,2,2,1,1,1,1
121,119,Middle Tennessee,13,9,5,1,0,0,0,0
122,119,Southern Mississippi,13,9,5,2,1,0,0,0
123,124,UNLV,12,10,4,2,2,1,1,0
124,125,Massachusetts,12,11,4,2,2,1,1,1
125,125,New Mexico State,13,11,6,3,2,2,1,1
126,125,UCF,13,11,5,2,2,2,1,1
127,125,Washington State,13,11,4,1,0,0,0,0
128,129,SMU,13,12,5,4,3,1,0,0
129,129,USC,14,12,3,1,1,1,1,1
