,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,Troy,13,44,27,61.36,19,43.18,8,18.18
1,2,TCU,14,36,25,69.44,16,44.44,9,25.00
2,3,Army,13,34,24,70.59,19,55.88,5,14.71
3,4,USC,14,52,37,71.15,27,51.92,10,19.23
4,5,Wisconsin,14,35,25,71.43,11,31.43,14,40.00
5,6,UTSA,11,25,18,72.00,14,56.00,4,16.00
6,7,Virginia Tech,13,29,21,72.41,13,44.83,8,27.59
7,8,Ohio State,14,40,29,72.50,23,57.50,6,15.00
8,9,Virginia,13,44,32,72.73,27,61.36,5,11.36
9,10,Louisiana Tech,13,41,30,73.17,20,48.78,10,24.39
10,10,Marshall,13,41,30,73.17,21,51.22,9,21.95
11,10,Northwestern,13,41,30,73.17,23,56.10,7,17.07
12,13,South Alabama,12,58,43,74.14,27,46.55,16,27.59
13,14,Miami (Ohio),12,35,26,74.29,17,48.57,9,25.71
14,15,Buffalo,12,39,29,74.36,23,58.97,6,15.38
15,15,Tulane,12,39,29,74.36,25,64.10,4,10.26
16,17,Central Michigan,13,51,38,74.51,26,50.98,12,23.53
17,18,Alabama,14,32,24,75.00,15,46.88,9,28.13
18,19,San Diego State,13,33,25,75.76,19,57.58,6,18.18
19,20,Arizona,13,63,48,76.19,42,66.67,6,9.52
20,21,Pittsburgh,12,34,26,76.47,18,52.94,8,23.53
21,21,Wyoming,13,34,26,76.47,18,52.94,8,23.53
22,23,Houston,12,48,37,77.08,23,47.92,14,29.17
23,23,Florida Atlantic,14,48,37,77.08,27,56.25,10,20.83
24,25,Georgia,15,40,31,77.50,19,47.50,12,30.00
25,25,Georgia State,12,40,31,77.50,24,60.00,7,17.50
26,27,North Carolina,12,51,40,78.43,27,52.94,13,25.49
27,28,Kansas State,13,47,37,78.72,24,51.06,13,27.66
28,29,Notre Dame,13,48,38,79.17,25,52.08,13,27.08
29,30,Florida International,13,53,42,79.25,34,64.15,8,15.09
30,31,Clemson,14,29,23,79.31,13,44.83,10,34.48
31,32,UNLV,12,63,50,79.37,37,58.73,13,20.63
32,33,Georgia Southern,12,39,31,79.49,27,69.23,4,10.26
33,34,North Carolina State,13,44,35,79.55,24,54.55,11,25.00
34,35,Idaho,12,49,39,79.59,23,46.94,16,32.65
35,36,Mississippi State,13,30,24,80.00,17,56.67,7,23.33
36,36,Iowa,13,40,32,80.00,18,45.00,14,35.00
37,36,UAB,13,40,32,80.00,22,55.00,10,25.00
38,36,Hawai'i,12,50,40,80.00,33,66.00,7,14.00
39,36,Akron,14,55,44,80.00,34,61.82,10,18.18
40,41,New Mexico State,13,46,37,80.43,27,58.70,10,21.74
41,42,Arkansas State,12,31,25,80.65,19,61.29,6,19.35
42,43,Memphis,13,57,46,80.70,36,63.16,10,17.54
43,44,California,12,47,38,80.85,25,53.19,13,27.66
44,45,Purdue,13,42,34,80.95,20,47.62,14,33.33
45,45,Boston College,13,42,34,80.95,23,54.76,11,26.19
46,47,SMU,13,53,43,81.13,34,64.15,9,16.98
47,48,Colorado State,13,32,26,81.25,19,59.38,7,21.88
48,48,Syracuse,12,32,26,81.25,20,62.50,6,18.75
49,48,Northern Illinois,13,48,39,81.25,22,45.83,17,35.42
50,48,South Carolina,13,48,39,81.25,25,52.08,14,29.17
51,48,Oklahoma State,13,48,39,81.25,26,54.17,13,27.08
52,53,Illinois,12,59,48,81.36,40,67.80,8,13.56
53,54,Texas,13,43,35,81.40,21,48.84,14,32.56
54,54,Utah State,13,43,35,81.40,21,48.84,14,32.56
55,56,Nevada,12,60,49,81.67,35,58.33,14,23.33
56,57,Arizona State,13,55,45,81.82,32,58.18,13,23.64
57,58,Texas Tech,13,61,50,81.97,39,63.93,11,18.03
58,59,Appalachian State,13,39,32,82.05,19,48.72,13,33.33
59,60,Oregon,13,46,38,82.61,27,58.70,11,23.91
60,60,Toledo,14,46,38,82.61,30,65.22,8,17.39
61,62,Florida,11,35,29,82.86,21,60.00,8,22.86
62,63,BYU,13,53,44,83.02,27,50.94,17,32.08
63,64,Michigan,13,30,25,83.33,18,60.00,7,23.33
64,64,LSU,13,36,30,83.33,19,52.78,11,30.56
65,64,Auburn,14,36,30,83.33,20,55.56,10,27.78
66,64,Iowa State,13,42,35,83.33,26,61.90,9,21.43
67,64,Southern Mississippi,13,42,35,83.33,29,69.05,6,14.29
68,64,Old Dominion,12,48,40,83.33,34,70.83,6,12.50
69,70,Kent State,12,49,41,83.67,34,69.39,7,14.29
70,71,Duke,13,25,21,84.00,15,60.00,6,24.00
71,72,Minnesota,12,38,32,84.21,26,68.42,6,15.79
72,73,Texas State,12,51,43,84.31,27,52.94,16,31.37
73,74,Penn State,13,32,27,84.38,18,56.25,9,28.13
74,75,Fresno State,14,39,33,84.62,22,56.41,11,28.21
75,75,Middle Tennessee,13,52,44,84.62,28,53.85,15,28.85
76,77,Wake Forest,13,53,45,84.91,31,58.49,14,26.42
77,77,Tulsa,12,53,45,84.91,32,60.38,13,24.53
78,79,UCF,13,40,34,85.00,26,65.00,8,20.00
79,79,West Virginia,13,60,51,85.00,37,61.67,14,23.33
