,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
80,81,Colorado,12,47,40,85.11,26,55.32,14,29.79
81,82,San Jose State,13,68,58,85.29,46,67.65,12,17.65
82,83,Bowling Green,12,55,47,85.45,39,70.91,8,14.55
83,83,Maryland,12,55,47,85.45,41,74.55,6,10.91
84,85,Washington,13,28,24,85.71,15,53.57,9,32.14
85,85,Western Michigan,12,42,36,85.71,30,71.43,6,14.29
86,87,Eastern Michigan,12,43,37,86.05,26,60.47,11,25.58
87,88,Ball State,12,51,44,86.27,33,64.71,11,21.57
88,89,Utah,13,44,38,86.36,23,52.27,15,34.09
89,90,Louisiana-Lafayette,12,60,52,86.67,43,71.67,9,15.00
90,91,Temple,13,53,46,86.79,32,60.38,14,26.42
91,91,Connecticut,12,53,46,86.79,39,73.58,7,13.21
92,93,Cincinnati,12,46,40,86.96,24,52.17,16,34.78
93,94,Coastal Carolina,12,54,47,87.04,39,72.22,8,14.81
94,95,Michigan State,13,31,27,87.10,18,58.06,9,29.03
95,95,South Florida,12,31,27,87.10,20,64.52,7,22.58
96,97,Louisville,13,39,34,87.18,29,74.36,5,12.82
97,98,Stanford,14,47,41,87.23,29,61.70,12,25.53
98,99,Indiana,12,40,35,87.50,26,65.00,9,22.50
99,99,Vanderbilt,12,40,35,87.50,28,70.00,7,17.50
100,99,Boise State,14,40,35,87.50,29,72.50,6,15.00
101,99,Kentucky,13,48,42,87.50,28,58.33,14,29.17
102,103,Nebraska,12,57,50,87.72,41,71.93,9,15.79
103,104,Oklahoma,14,49,43,87.76,30,61.22,13,26.53
104,105,Washington State,13,41,36,87.80,26,63.41,10,24.39
105,106,Miami (Florida),13,42,37,88.10,23,54.76,14,33.33
106,106,Ohio,13,42,37,88.10,24,57.14,13,30.95
107,108,Air Force,12,43,38,88.37,25,58.14,13,30.23
108,109,UCLA,13,69,61,88.41,41,59.42,20,28.99
109,110,Baylor,12,44,39,88.64,22,50.00,17,38.64
110,110,Western Kentucky,13,44,39,88.64,26,59.09,14,31.82
111,112,Navy,13,45,40,88.89,30,66.67,10,22.22
112,113,Oregon State,12,65,58,89.23,48,73.85,10,15.38
113,114,East Carolina,12,56,50,89.29,42,75.00,9,16.07
114,115,Mississippi,12,57,51,89.47,37,64.91,14,24.56
115,116,Charlotte,12,48,43,89.58,33,68.75,10,20.83
116,117,Florida State,13,39,35,89.74,23,58.97,12,30.77
117,118,Kansas,12,59,53,89.83,43,72.88,10,16.95
118,119,Tennessee,12,50,45,90.00,35,70.00,10,20.00
119,120,Louisiana-Monroe,12,51,46,90.20,40,78.43,6,11.76
120,121,Massachusetts,12,52,47,90.38,36,69.23,11,21.15
121,122,Texas A&M,13,54,49,90.74,38,70.37,11,20.37
122,122,North Texas,14,54,49,90.74,39,72.22,10,18.52
123,124,Missouri,13,45,41,91.11,30,66.67,11,24.44
124,125,UTEP,12,51,47,92.16,42,82.35,5,9.80
125,126,Arkansas,12,52,48,92.31,34,65.38,14,26.92
126,127,Rutgers,12,49,46,93.88,31,63.27,15,30.61
127,127,Rice,12,49,46,93.88,37,75.51,9,18.37
128,129,New Mexico,12,38,36,94.74,30,78.95,6,15.79
129,130,Georgia Tech,11,37,36,97.30,22,59.46,14,37.84
