,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Miami (Florida),13,115.0,465,8.85
1,2,Boise State,13,109.0,479,8.39
2,3,Oklahoma,14,106.0,450,7.57
3,4,Miami (Ohio),14,102.0,423,7.29
4,5,Kent State,12,101.0,458,8.42
5,6,North Carolina State,13,99.0,402,7.62
6,6,Auburn,14,99.0,357,7.07
7,8,South Carolina,14,97.0,389,6.93
8,8,Clemson,13,97.0,371,7.46
9,10,Oregon,13,96.0,374,7.39
10,10,Middle Tennessee,13,96.0,367,7.39
11,12,Arkansas,13,95.0,378,7.31
12,12,Florida State,14,95.0,371,6.79
13,14,San Diego State,13,94.0,405,7.23
14,15,Troy,13,92.0,393,7.08
15,16,Purdue,12,91.0,357,7.58
16,16,Northern Illinois,14,91.0,342,6.50
17,16,Mississippi State,13,91.0,338,7.00
18,19,Virginia Tech,14,90.0,340,6.43
19,20,Vanderbilt,12,89.0,260,7.42
20,21,LSU,13,88.0,428,6.77
21,21,South Florida,13,88.0,417,6.77
22,21,Idaho,13,88.0,369,6.77
23,21,UCF,14,88.0,348,6.29
24,21,Arizona State,12,88.0,309,7.33
25,26,West Virginia,13,87.0,380,6.69
26,26,Florida International,13,87.0,366,6.69
27,26,Nevada,14,87.0,341,6.21
28,26,Connecticut,13,87.0,339,6.69
29,26,Southern Mississippi,13,87.0,284,6.69
30,31,Louisville,13,86.0,373,6.62
31,32,Texas A&M,13,85.0,392,6.54
32,32,Arizona,13,85.0,346,6.54
33,34,Fresno State,13,84.0,397,6.46
34,34,Washington,13,84.0,324,6.46
35,36,Missouri,13,83.0,357,6.39
36,36,Maryland,13,83.0,355,6.39
37,36,Florida,13,83.0,273,6.39
38,39,Mississippi,12,82.0,342,6.83
39,39,USC,13,82.0,338,6.31
40,41,Florida Atlantic,12,81.0,317,6.75
41,41,Oregon State,12,81.0,316,6.75
42,43,Boston College,13,80.0,288,6.15
43,43,Illinois,13,80.0,282,6.15
44,45,Northwestern,13,79.0,289,6.08
45,45,Georgia,13,79.0,269,6.08
46,47,Texas,12,78.0,435,6.50
47,47,Tennessee,13,78.0,320,6.00
48,47,Wake Forest,12,78.0,292,6.50
49,47,Houston,12,78.0,261,6.50
50,51,Tulsa,13,77.0,312,5.92
51,51,Utah,13,77.0,305,5.92
52,51,Cincinnati,12,77.0,296,6.42
53,54,BYU,13,76.0,348,5.85
54,54,Texas Tech,13,76.0,334,5.85
55,54,California,12,76.0,331,6.33
56,54,Western Michigan,12,76.0,293,6.33
57,54,Rutgers,12,76.0,249,6.33
58,59,Hawai'i,14,75.0,374,5.36
59,59,Alabama,13,75.0,306,5.77
60,59,TCU,13,75.0,255,5.77
61,62,UAB,12,74.0,293,6.17
62,63,Pittsburgh,13,73.0,351,5.62
63,63,Syracuse,13,73.0,312,5.62
64,63,Ohio State,13,73.0,289,5.62
65,63,SMU,14,73.0,284,5.21
66,63,Kentucky,13,73.0,283,5.62
67,68,Stanford,13,71.0,319,5.46
68,68,Marshall,12,71.0,301,5.92
69,68,Virginia,12,71.0,251,5.92
70,68,Memphis,12,71.0,220,5.92
71,68,Penn State,13,71.0,201,5.46
72,73,Washington State,12,70.0,313,5.83
73,73,Michigan,13,70.0,273,5.39
74,75,Buffalo,12,69.0,278,5.75
75,76,Toledo,13,68.0,296,5.23
76,76,Oklahoma State,13,68.0,264,5.23
77,76,Notre Dame,13,68.0,259,5.23
78,76,San Jose State,13,68.0,238,5.23
79,80,Ohio,13,67.0,305,5.15
80,80,Tulane,12,67.0,294,5.58
81,80,Colorado,12,67.0,267,5.58
82,80,Baylor,13,67.0,261,5.15
83,80,UCLA,12,67.0,242,5.58
84,85,Arkansas State,12,66.0,282,5.50
85,85,Michigan State,13,66.0,248,5.08
86,85,Wisconsin,13,66.0,233,5.08
87,88,North Carolina,13,65.0,304,5.00
88,88,Army,13,65.0,297,5.00
89,88,Colorado State,12,65.0,274,5.42
90,91,Central Michigan,12,64.0,227,5.33
91,91,East Carolina,13,64.0,224,4.92
92,93,Louisiana-Lafayette,12,63.0,247,5.25
93,93,Louisiana Tech,12,63.0,227,5.25
94,93,Western Kentucky,12,63.0,196,5.25
95,96,Minnesota,12,62.0,195,5.17
96,97,Temple,12,61.0,297,5.08
97,97,Louisiana-Monroe,12,61.0,226,5.08
98,97,Air Force,13,61.0,211,4.69
99,97,Indiana,12,61.0,175,5.08
100,101,Nebraska,14,60.0,291,4.29
101,102,Georgia Tech,13,58.0,232,4.46
102,102,Wyoming,12,58.0,203,4.83
103,102,Bowling Green,12,58.0,184,4.83
104,105,Iowa,13,57.0,274,4.39
105,105,Kansas State,13,57.0,247,4.39
106,105,Akron,12,57.0,234,4.75
107,108,Kansas,12,55.0,176,4.58
108,108,New Mexico,12,55.0,174,4.58
109,110,Iowa State,12,54.0,182,4.50
110,110,Ball State,12,54.0,179,4.50
111,112,Duke,12,53.0,180,4.42
112,113,Navy,13,51.0,214,3.92
113,113,Eastern Michigan,12,51.0,174,4.25
114,115,North Texas,12,50.0,209,4.17
115,115,UTEP,13,50.0,180,3.85
116,117,UNLV,13,48.0,199,3.69
117,118,Utah State,12,46.0,172,3.83
118,119,New Mexico State,12,42.0,169,3.50
119,120,Rice,12,37.0,138,3.08
