,Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
0,1,TCU,13,323,157,48.6,1674,5.2,10,12,94.94,24.8,128.8
1,2,Air Force,13,321,176,54.8,1921,6.0,10,12,107.90,24.7,147.8
2,3,Miami (Florida),13,327,162,49.5,1957,6.0,9,16,99.10,25.2,150.5
3,4,Boise State,13,371,190,51.2,1962,5.3,8,14,95.19,28.5,150.9
4,5,Nebraska,14,390,190,48.7,2151,5.5,13,19,96.31,27.9,153.6
5,6,Texas,12,305,173,56.7,1939,6.4,13,8,118.93,25.4,161.6
6,7,Syracuse,13,368,208,56.5,2134,5.8,15,9,113.79,28.3,164.2
7,8,Ohio State,13,385,207,53.8,2152,5.6,9,19,98.58,29.6,165.5
8,9,Louisville,13,343,188,54.8,2176,6.3,16,9,118.24,26.4,167.4
9,10,LSU,13,344,196,57.0,2208,6.4,15,19,114.24,26.5,169.8
10,11,West Virginia,13,393,228,58.0,2270,5.8,12,12,110.50,30.2,174.6
11,12,Florida,13,372,200,53.8,2287,6.1,17,22,108.65,28.6,175.9
12,13,Alabama,13,367,192,52.3,2291,6.2,12,22,103.56,28.2,176.2
13,14,Kentucky,13,319,172,53.9,2302,7.2,14,9,123.37,24.5,177.1
14,15,Temple,12,357,205,57.4,2138,6.0,9,9,111.01,29.8,178.2
15,16,Georgia,13,316,173,54.7,2344,7.4,14,16,121.55,24.3,180.3
16,17,Penn State,13,351,214,61.0,2356,6.7,19,10,129.51,27.0,181.2
17,18,Buffalo,12,325,175,53.8,2177,6.7,20,15,121.19,27.1,181.4
18,19,Pittsburgh,13,394,224,56.9,2406,6.1,15,13,114.11,30.3,185.1
19,20,Arkansas,13,340,187,55.0,2409,7.1,13,11,120.66,26.2,185.3
20,21,California,12,360,201,55.8,2226,6.2,15,9,116.52,30.0,185.5
21,22,Clemson,13,382,205,53.7,2494,6.5,18,15,116.21,29.4,191.8
22,23,BYU,13,384,205,53.4,2499,6.5,20,16,116.92,29.5,192.2
23,24,South Florida,13,404,238,58.9,2500,6.2,18,15,118.16,31.1,192.3
24,25,Virginia,12,304,172,56.6,2309,7.6,14,11,128.34,25.3,192.4
25,26,Wisconsin,13,367,209,56.9,2521,6.9,20,14,125.01,28.2,193.9
26,27,Washington,13,359,216,60.2,2527,7.0,15,12,126.40,27.6,194.4
27,28,Tulane,12,319,172,53.9,2335,7.3,21,10,130.86,26.6,194.6
28,29,Florida Atlantic,12,322,194,60.2,2354,7.3,16,11,131.23,26.8,196.2
29,30,Middle Tennessee,13,391,225,57.5,2587,6.6,19,11,123.52,30.1,199.0
30,31,Army,13,327,187,57.2,2588,7.9,22,14,137.31,25.2,199.1
31,32,Florida International,13,387,211,54.5,2598,6.7,19,15,119.36,29.8,199.8
32,33,Minnesota,12,280,182,65.0,2409,8.6,21,11,154.16,23.3,200.8
33,34,Georgia Tech,13,365,221,60.5,2625,7.2,14,8,129.24,28.1,201.9
34,35,Stanford,13,424,241,56.8,2626,6.2,16,18,112.82,32.6,202.0
35,36,Western Kentucky,12,336,209,62.2,2425,7.2,16,8,133.77,28.0,202.1
36,37,Missouri,13,441,249,56.5,2645,6.0,13,18,108.41,33.9,203.5
37,38,San Diego State,13,427,221,51.8,2665,6.2,18,10,113.41,32.8,205.0
38,39,Central Michigan,12,360,219,60.8,2461,6.8,16,4,130.70,30.0,205.1
39,40,Virginia Tech,14,429,224,52.2,2878,6.7,19,23,112.47,30.6,205.6
40,41,UCF,14,475,258,54.3,2898,6.1,21,17,113.00,33.9,207.0
41,42,Wyoming,12,317,188,59.3,2495,7.9,18,9,138.49,26.4,207.9
42,43,SMU,14,430,255,59.3,2913,6.8,18,10,125.36,30.7,208.1
43,44,Northern Illinois,14,448,263,58.7,2915,6.5,15,16,117.28,32.0,208.2
44,45,Arizona,13,413,233,56.4,2713,6.6,18,9,121.62,31.8,208.7
45,46,Fresno State,13,377,219,58.1,2714,7.2,20,8,131.83,29.0,208.8
46,47,Kent State,12,405,245,60.5,2514,6.2,10,16,112.88,33.8,209.5
47,48,North Texas,12,328,187,57.0,2515,7.7,20,8,136.66,27.3,209.6
48,49,Miami (Ohio),14,424,241,56.8,2949,7.0,14,21,116.25,30.3,210.6
49,50,Oklahoma,14,496,271,54.6,2981,6.0,15,19,107.44,35.4,212.9
50,50,North Carolina,13,431,259,60.1,2768,6.4,23,19,122.82,33.2,212.9
51,52,Kansas State,13,400,221,55.3,2786,7.0,23,13,126.24,30.8,214.3
52,53,Notre Dame,13,439,273,62.2,2790,6.4,11,18,115.64,33.8,214.6
53,53,UCLA,12,360,225,62.5,2575,7.2,19,7,136.12,30.0,214.6
54,55,Rutgers,12,336,207,61.6,2613,7.8,19,8,140.84,28.0,217.8
55,56,Oregon,13,489,263,53.8,2833,5.8,15,21,103.97,37.6,217.9
56,57,New Mexico,12,318,192,60.4,2626,8.3,25,4,153.17,26.5,218.8
57,58,Louisiana-Monroe,12,366,199,54.4,2631,7.2,21,12,127.14,30.5,219.3
58,59,Ball State,12,349,200,57.3,2640,7.6,25,17,134.75,29.1,220.0
59,60,Michigan State,13,422,243,57.6,2861,6.8,19,17,121.33,32.5,220.1
60,61,Illinois,13,413,242,58.6,2867,6.9,20,11,127.56,31.8,220.5
61,62,Western Michigan,12,353,207,58.6,2655,7.5,20,15,132.02,29.4,221.3
62,63,Hawai'i,14,445,262,58.9,3104,7.0,24,23,124.93,31.8,221.7
63,64,Iowa State,12,372,238,64.0,2663,7.2,20,13,134.87,31.0,221.9
64,65,Kansas,12,341,224,65.7,2670,7.8,18,7,144.77,28.4,222.5
65,66,Connecticut,13,445,261,58.7,2906,6.5,16,20,116.38,34.2,223.5
66,66,Eastern Michigan,12,298,190,63.8,2682,9.0,32,2,173.46,24.8,223.5
67,68,Houston,12,370,219,59.2,2689,7.3,21,13,131.94,30.8,224.1
68,69,Bowling Green,12,373,235,63.0,2691,7.2,25,14,138.21,31.1,224.3
69,70,Navy,13,424,290,68.4,2921,6.9,22,7,140.09,32.6,224.7
70,71,Florida State,14,477,278,58.3,3150,6.6,17,15,119.22,34.1,225.0
71,72,North Carolina State,13,406,246,60.6,2926,7.2,21,9,133.77,31.2,225.1
72,73,Utah,13,380,233,61.3,2927,7.7,20,12,137.08,29.2,225.2
73,74,Colorado State,12,306,213,69.6,2711,8.9,24,4,167.30,25.5,225.9
74,75,Vanderbilt,12,349,221,63.3,2715,7.8,18,9,140.52,29.1,226.3
75,76,Boston College,13,510,324,63.5,2950,5.8,14,20,113.34,39.2,226.9
76,77,Maryland,13,499,270,54.1,2962,5.9,17,19,107.59,38.4,227.8
77,77,UNLV,13,325,208,64.0,2961,9.1,25,7,161.60,25.0,227.8
