,Rank,Name,G,Total Time,Time/G
0,1,Stanford,13,449:17,34:33.62
1,2,Nevada,14,480:27,34:19.07
2,3,TCU,13,438:17,33:42.85
3,4,Army,13,432:13,33:14.85
4,5,Western Kentucky,12,396:36,33:03.00
5,6,Wisconsin,13,428:24,32:57.23
6,7,Miami (Ohio),14,460:12,32:52.29
7,8,UCF,14,458:39,32:45.64
8,9,Eastern Michigan,12,390:43,32:33.58
9,10,Illinois,13,420:11,32:19.31
10,11,Pittsburgh,13,419:44,32:17.23
11,12,Southern Mississippi,13,419:39,32:16.85
12,13,Fresno State,13,419:22,32:15.54
13,14,Ohio State,13,418:19,32:10.69
14,15,Louisiana-Monroe,12,385:38,32:08.17
15,16,North Carolina State,13,416:43,32:03.31
16,17,Virginia Tech,14,447:09,31:56.36
17,18,Minnesota,12,382:52,31:54.33
18,19,Georgia Tech,13,414:30,31:53.08
19,20,USC,13,414:11,31:51.62
20,21,Florida International,13,414:10,31:51.54
21,22,North Carolina,13,411:14,31:38.00
22,23,New Mexico State,12,379:03,31:35.25
23,24,Mississippi State,13,409:57,31:32.08
24,25,North Texas,12,378:10,31:30.83
25,26,Colorado,12,377:26,31:27.17
26,27,Navy,13,408:15,31:24.23
27,28,BYU,13,407:38,31:21.38
28,29,Nebraska,14,437:50,31:16.43
29,30,Rutgers,12,373:55,31:09.58
30,31,Louisville,13,403:10,31:00.77
31,32,Tulane,12,372:09,31:00.75
32,33,South Carolina,14,432:33,30:53.79
33,34,Mississippi,12,369:39,30:48.25
34,35,Penn State,13,400:22,30:47.85
35,36,Kansas State,13,400:10,30:46.92
36,37,Rice,12,369:16,30:46.33
37,38,Alabama,13,399:59,30:46.08
38,39,West Virginia,13,399:30,30:43.85
39,40,Northern Illinois,14,430:06,30:43.29
40,41,Arizona,13,399:15,30:42.69
41,42,Indiana,12,368:15,30:41.25
42,43,Louisiana-Lafayette,12,367:35,30:37.92
43,44,Boise State,13,398:11,30:37.77
44,45,Tulsa,13,397:34,30:34.92
45,46,SMU,14,427:52,30:33.71
46,47,Michigan State,13,396:37,30:30.54
47,48,Air Force,13,396:31,30:30.08
48,49,Georgia,13,396:00,30:27.69
49,50,Central Michigan,12,364:10,30:20.83
50,51,Texas,12,364:04,30:20.33
51,52,Oklahoma,14,424:07,30:17.64
52,53,Kentucky,13,393:16,30:15.08
53,54,UCLA,12,362:31,30:12.58
54,55,LSU,13,392:12,30:10.15
55,56,Virginia,12,361:28,30:07.33
56,57,Iowa,13,391:15,30:05.77
57,58,Ohio,13,391:12,30:05.54
58,59,Arkansas,13,391:04,30:04.92
59,60,UAB,12,360:29,30:02.42
60,61,Toledo,13,388:51,29:54.69
61,62,Washington State,12,358:31,29:52.58
62,63,Florida State,14,417:50,29:50.71
63,64,Ball State,12,358:06,29:50.50
64,65,California,12,358:00,29:50.00
65,66,Bowling Green,12,356:06,29:40.50
66,67,Texas A&M,13,385:32,29:39.38
67,68,Northwestern,13,385:20,29:38.46
68,69,Colorado State,12,355:39,29:38.25
69,70,San Jose State,13,385:17,29:38.23
70,71,Hawai'i,14,413:02,29:30.14
71,72,Utah,13,383:21,29:29.31
72,73,Memphis,12,352:52,29:24.33
73,74,Idaho,13,381:59,29:23.00
74,75,Auburn,14,410:11,29:17.93
75,76,Utah State,12,351:23,29:16.92
76,77,Troy,13,380:12,29:14.77
77,78,Kansas,12,350:51,29:14.25
78,79,Missouri,13,378:46,29:08.15
79,80,Temple,12,349:32,29:07.67
80,81,New Mexico,12,349:20,29:06.67
81,82,Clemson,13,378:26,29:06.62
82,83,Duke,12,349:09,29:05.75
83,84,Baylor,13,377:58,29:04.46
84,85,Maryland,13,376:44,28:58.77
85,86,Boston College,13,376:29,28:57.62
86,87,Washington,13,376:25,28:57.31
87,88,UNLV,13,376:11,28:56.23
88,89,Connecticut,13,375:29,28:53.00
89,90,Tennessee,13,375:20,28:52.31
90,91,UTEP,13,375:06,28:51.23
91,92,Akron,12,343:26,28:37.17
92,93,Florida,13,371:51,28:36.23
93,94,Western Michigan,12,343:01,28:35.08
94,95,Iowa State,12,342:42,28:33.50
95,96,Florida Atlantic,12,341:01,28:25.08
96,97,Miami (Florida),13,369:03,28:23.31
97,98,South Florida,13,369:00,28:23.08
98,99,Purdue,12,340:06,28:20.50
99,100,San Diego State,13,367:20,28:15.38
100,101,Texas Tech,13,366:40,28:12.31
101,102,Oregon State,12,337:30,28:07.50
102,103,East Carolina,13,365:24,28:06.46
103,104,Wake Forest,12,335:14,27:56.17
104,105,Notre Dame,13,363:03,27:55.62
105,106,Oregon,13,362:44,27:54.15
106,107,Syracuse,13,362:38,27:53.69
107,108,Wyoming,12,333:13,27:46.08
108,109,Kent State,12,332:59,27:44.92
109,110,Oklahoma State,13,359:54,27:41.08
110,111,Cincinnati,12,331:26,27:37.17
111,112,Marshall,12,329:57,27:29.75
112,113,Buffalo,12,329:43,27:28.58
113,114,Arizona State,12,327:36,27:18.00
114,115,Vanderbilt,12,327:11,27:15.92
115,116,Michigan,13,353:14,27:10.31
116,117,Arkansas State,12,323:19,26:56.58
117,118,Louisiana Tech,12,321:43,26:48.58
118,119,Houston,12,307:39,25:38.25
119,120,Middle Tennessee,13,327:36,25:12.00
