,Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
0,1,Hawai'i,14,618,394,63.8,5520,8.9,42,17,155.71,44.1,394.3
1,2,Oklahoma State,13,532,357,67.1,4496,8.5,36,14,155.17,40.9,345.8
2,3,Oklahoma,14,633,414,65.4,4807,7.6,38,12,145.21,45.2,343.4
3,4,Arkansas,13,465,301,64.7,4338,9.3,36,15,162.19,35.8,333.7
4,5,Houston,12,484,298,61.6,3927,8.1,34,20,144.65,40.3,327.3
5,6,Boise State,13,424,299,70.5,4174,9.8,38,6,179.95,32.6,321.1
6,7,Texas Tech,13,617,406,65.8,4146,6.7,39,11,139.54,47.5,318.9
7,8,East Carolina,13,631,407,64.5,4131,6.5,39,16,134.82,48.5,317.8
8,9,Arizona,13,524,357,68.1,4000,7.6,25,12,143.42,40.3,307.7
9,10,Idaho,13,547,311,56.9,3860,7.1,27,17,126.21,42.1,296.9
10,11,San Diego State,13,426,244,57.3,3840,9.0,28,14,148.12,32.8,295.4
11,12,Troy,13,524,336,64.1,3836,7.3,33,15,140.67,40.3,295.1
12,13,Tulsa,13,469,280,59.7,3753,8.0,32,11,144.75,36.1,288.7
13,14,Indiana,12,513,311,60.6,3446,6.7,25,12,128.44,42.8,287.2
14,15,Arizona State,12,464,279,60.1,3437,7.4,23,17,131.38,38.7,286.4
15,16,Western Michigan,12,475,298,62.7,3429,7.2,30,12,139.17,39.6,285.8
16,17,Central Michigan,12,477,288,60.4,3408,7.1,17,18,124.61,39.8,284.0
17,18,North Carolina State,13,544,319,58.6,3655,6.7,28,14,126.92,41.8,281.2
18,19,Baylor,13,471,313,66.5,3649,7.7,23,8,144.23,36.2,280.7
19,20,Texas A&M,13,515,311,60.4,3599,7.0,28,15,131.20,39.6,276.8
20,21,SMU,14,516,304,58.9,3861,7.5,31,14,136.18,36.9,275.8
21,22,Duke,12,489,295,60.3,3256,6.7,14,19,117.94,40.8,271.3
22,23,Kentucky,13,458,298,65.1,3501,7.6,26,9,144.08,35.2,269.3
23,24,UAB,12,464,253,54.5,3201,6.9,28,14,126.36,38.7,266.8
24,25,Virginia,12,443,262,59.1,3186,7.2,20,17,126.78,36.9,265.5
25,26,North Carolina,13,425,283,66.6,3432,8.1,19,9,144.93,32.7,264.0
26,27,Alabama,13,362,253,69.9,3395,9.4,24,5,167.79,27.8,261.2
27,28,Cincinnati,12,435,251,57.7,3128,7.2,27,15,131.68,36.3,260.7
28,29,Stanford,13,379,266,70.2,3357,8.9,32,8,168.24,29.2,258.2
29,30,Tennessee,13,419,238,56.8,3309,7.9,26,15,136.45,32.2,254.5
30,31,Arkansas State,12,435,263,60.5,3052,7.0,23,12,131.32,36.3,254.3
