,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,TCU,13,1296,1674,714,2970,4.16,228.5
1,2,Boise State,13,1349,1962,832,3311,3.98,254.7
2,3,West Virginia,13,1124,2270,803,3394,4.23,261.1
3,4,Ohio State,13,1253,2152,789,3405,4.32,261.9
4,5,Alabama,13,1432,2291,802,3723,4.64,286.4
5,6,Texas,12,1663,1939,783,3602,4.60,300.2
6,7,Syracuse,13,1770,2134,856,3904,4.56,300.3
7,8,Pittsburgh,13,1560,2406,837,3966,4.74,305.1
8,9,Florida,13,1698,2287,853,3985,4.67,306.5
9,10,Kent State,12,1166,2514,839,3680,4.39,306.7
10,11,Nebraska,14,2144,2151,940,4295,4.57,306.8
11,12,LSU,13,1785,2208,822,3993,4.86,307.2
12,13,Boston College,13,1074,2950,911,4024,4.42,309.5
13,14,Louisville,13,1876,2176,814,4052,4.98,311.7
14,15,UCF,14,1517,2898,926,4415,4.77,315.4
15,16,Temple,12,1672,2138,816,3810,4.67,317.5
16,17,South Florida,13,1638,2500,873,4138,4.74,318.3
17,18,California,12,1601,2226,797,3827,4.80,318.9
18,19,Clemson,13,1669,2494,865,4163,4.81,320.2
19,20,Wisconsin,13,1662,2521,790,4183,5.29,321.8
20,21,Stanford,13,1571,2626,830,4197,5.06,322.8
21,22,Miami (Florida),13,2246,1957,874,4203,4.81,323.3
22,23,Georgia,13,1927,2344,828,4271,5.16,328.5
23,24,BYU,13,1802,2499,846,4301,5.08,330.8
24,25,Iowa,13,1320,2997,886,4317,4.87,332.1
25,26,Northern Illinois,14,1771,2915,907,4686,5.17,334.7
26,27,Utah,13,1452,2927,831,4379,5.27,336.8
27,28,Miami (Ohio),14,1786,2949,872,4735,5.43,338.2
28,28,Army,13,1809,2588,753,4397,5.84,338.2
29,30,North Carolina,13,1633,2768,871,4401,5.05,338.5
30,31,North Carolina State,13,1486,2926,839,4412,5.26,339.4
31,32,Arizona,13,1712,2713,894,4425,4.95,340.4
32,33,Buffalo,12,1909,2177,828,4086,4.93,340.5
33,34,Oregon,13,1665,2833,963,4498,4.67,346.0
34,35,Penn State,13,2153,2356,834,4509,5.41,346.8
35,36,Arkansas,13,2114,2409,862,4523,5.25,347.9
36,37,Air Force,13,2620,1921,870,4541,5.22,349.3
37,38,Illinois,13,1700,2867,847,4567,5.39,351.3
38,39,Maryland,13,1618,2962,979,4580,4.68,352.3
39,40,SMU,14,2027,2913,980,4940,5.04,352.9
40,41,Ohio,13,1600,2994,866,4594,5.30,353.4
41,42,Florida State,14,1802,3150,1005,4952,4.93,353.7
42,43,Michigan State,13,1738,2861,873,4599,5.27,353.8
43,44,San Diego State,13,1939,2665,948,4604,4.86,354.2
44,44,Kentucky,13,2302,2302,820,4604,5.61,354.2
45,46,South Carolina,14,1574,3387,927,4961,5.35,354.4
46,47,Missouri,13,1988,2645,925,4633,5.01,356.4
47,47,Southern Mississippi,13,1469,3164,835,4633,5.55,356.4
48,49,Mississippi State,13,1548,3091,881,4639,5.27,356.8
49,50,Hawai'i,14,1902,3104,969,5006,5.17,357.6
50,51,Notre Dame,13,1870,2790,904,4660,5.15,358.5
51,52,Virginia Tech,14,2183,2878,894,5061,5.66,361.5
52,53,Oklahoma,14,2085,2981,1000,5066,5.07,361.9
53,54,Nevada,14,1684,3406,916,5090,5.56,363.6
54,55,Texas A&M,13,1692,3044,991,4736,4.78,364.3
55,56,Toledo,13,1735,3007,891,4742,5.32,364.8
56,57,Connecticut,13,1862,2906,923,4768,5.17,366.8
57,58,Arizona State,12,1463,2943,871,4406,5.06,367.2
58,58,Fresno State,13,2060,2714,827,4774,5.77,367.2
59,60,Auburn,14,1527,3630,963,5157,5.36,368.4
60,61,Florida International,13,2198,2598,862,4796,5.56,368.9
61,62,Purdue,12,1655,2773,848,4428,5.22,369.0
62,63,Cincinnati,12,1625,2808,835,4433,5.31,369.4
63,64,Georgia Tech,13,2206,2625,854,4831,5.66,371.6
64,65,Rutgers,12,1877,2613,778,4490,5.77,374.2
65,66,Central Michigan,12,2063,2461,816,4524,5.54,377.0
66,67,Western Kentucky,12,2137,2425,763,4562,5.98,380.2
67,68,Louisiana-Monroe,12,1933,2631,804,4564,5.68,380.3
68,69,Tennessee,13,1983,2985,913,4968,5.44,382.2
69,70,Washington,13,2476,2527,889,5003,5.63,384.8
70,71,Marshall,12,1746,2886,888,4632,5.22,386.0
71,72,Middle Tennessee,13,2442,2587,980,5029,5.13,386.8
