,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,TCU,13,102,32,15,7,3,0,0,0,0
1,2,West Virginia,13,119,33,14,11,6,3,2,2,1
2,3,Texas,12,125,39,19,8,5,3,1,1,0
3,4,Boston College,13,126,37,12,4,1,0,0,0,0
4,5,Alabama,13,128,42,19,11,4,2,2,0,0
5,5,Boise State,13,128,42,10,5,2,0,0,0,0
6,7,Syracuse,13,129,38,16,6,5,2,1,0,0
7,8,Temple,12,130,33,11,5,4,2,2,1,1
8,9,Ohio State,13,137,37,9,2,0,0,0,0,0
9,10,Cincinnati,12,139,45,23,11,9,5,3,1,0
10,10,LSU,13,139,37,15,10,9,6,5,3,1
11,12,California,12,141,34,15,9,5,1,1,1,0
12,12,Central Michigan,12,141,47,22,12,9,5,4,1,0
13,12,North Carolina,13,141,44,20,12,4,2,2,0,0
14,15,Penn State,13,144,39,21,11,5,2,1,1,0
15,16,Buffalo,12,145,36,18,10,3,2,1,1,1
16,17,Air Force,13,147,48,16,6,3,1,0,0,0
17,18,Florida,13,150,32,15,5,2,1,0,0,0
18,18,Kent State,12,150,34,17,12,4,3,2,0,0
19,20,Pittsburgh,13,151,30,14,6,2,2,1,0,0
20,21,Nebraska,14,153,43,15,7,2,1,1,1,0
21,22,Clemson,13,154,47,20,9,5,2,1,0,0
22,22,Iowa,13,154,33,11,4,0,0,0,0,0
23,22,Louisville,13,154,43,20,10,5,3,0,0,0
24,25,BYU,13,155,57,25,9,5,4,2,1,0
25,25,Missouri,13,155,48,23,11,7,6,3,1,1
26,27,Virginia,12,156,62,34,17,11,6,3,1,0
27,28,Arizona,13,157,42,21,10,5,4,3,2,0
28,28,Utah,13,157,52,18,9,4,3,3,3,2
29,30,North Carolina State,13,158,57,25,12,9,6,2,0,0
30,31,Army,13,159,59,23,10,6,3,2,0,0
31,31,South Florida,13,159,42,15,5,3,3,1,0,0
32,31,Wisconsin,13,159,48,19,6,3,3,0,0,0
33,34,Miami (Florida),13,160,51,24,10,5,5,4,2,1
34,34,UCF,14,160,41,17,8,6,4,3,1,0
35,34,Wyoming,12,160,43,22,14,7,0,0,0,0
36,37,Notre Dame,13,161,48,17,8,5,1,1,1,0
37,38,Georgia,13,162,51,23,11,5,2,0,0,0
38,39,Arizona State,12,163,39,19,12,7,3,1,0,0
39,39,Georgia Tech,13,163,51,23,11,7,2,1,0,0
40,41,Arkansas State,12,164,58,35,15,8,7,4,2,0
41,41,Illinois,13,164,45,18,11,7,6,5,2,0
42,41,Iowa State,12,164,39,16,10,6,3,1,0,0
43,41,Louisiana-Monroe,12,164,52,21,12,7,5,4,2,1
44,41,North Texas,12,164,58,27,18,11,5,2,1,0
45,46,Arkansas,13,165,48,25,15,7,2,0,0,0
46,46,Ohio,13,165,52,21,9,4,1,1,1,0
47,48,SMU,14,166,40,18,8,5,1,0,0,0
48,49,Florida Atlantic,12,167,48,26,15,9,4,2,1,0
49,49,Kansas,12,167,50,27,13,7,2,1,1,1
50,49,Mississippi,12,167,68,33,13,7,7,6,3,0
51,49,Northern Illinois,14,167,54,19,8,6,6,4,3,0
52,49,Rutgers,12,167,67,22,11,3,2,0,0,0
53,49,Toledo,13,167,46,19,7,5,2,1,0,0
54,55,Ball State,12,168,49,23,13,4,3,2,0,0
55,56,Oregon State,12,169,54,23,14,5,2,0,0,0
56,56,Southern Mississippi,13,169,59,34,19,6,3,1,1,0
57,56,Stanford,13,169,43,13,5,3,3,2,0,0
58,56,Vanderbilt,12,169,60,30,13,10,5,4,1,0
59,60,Bowling Green,12,170,45,27,15,6,5,2,2,0
60,60,Fresno State,13,170,67,29,19,9,3,1,0,0
61,62,Hawai'i,14,171,45,25,17,7,5,2,1,0
62,63,Michigan State,13,172,46,16,9,4,3,1,1,0
63,63,Tulane,12,172,62,22,13,8,6,3,2,1
64,63,Western Kentucky,12,172,53,24,11,3,1,0,0,0
65,66,Florida International,13,173,60,26,15,11,7,4,2,0
66,66,San Diego State,13,173,54,20,10,3,1,0,0,0
67,68,Florida State,14,174,50,23,10,6,3,2,0,0
68,68,Kentucky,13,174,53,30,13,4,1,1,1,0
69,68,Maryland,13,174,46,17,9,5,2,1,0,0
70,68,New Mexico State,12,174,64,45,26,14,7,4,0,0
71,72,Indiana,12,175,50,23,14,10,6,4,0,0
72,72,Oregon,13,175,49,21,5,2,1,1,1,0
73,72,UTEP,13,175,50,22,8,2,2,1,0,0
