,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,Oregon,13,81,13,72,7,0,611,47.0
1,2,Boise State,13,77,16,70,3,0,586,45.1
2,3,Oklahoma State,13,71,27,68,0,0,575,44.2
3,4,TCU,13,73,11,68,0,1,541,41.6
4,5,Wisconsin,13,70,17,68,0,0,539,41.5
5,6,Tulsa,13,70,16,64,3,0,538,41.4
6,7,Auburn,14,75,17,74,0,1,577,41.2
7,8,Nevada,14,77,12,76,0,0,574,41.0
8,9,Stanford,13,68,17,61,2,0,524,40.3
9,10,Hawai'i,14,72,17,71,0,0,554,39.6
10,11,Ohio State,13,63,20,62,1,1,504,38.8
11,12,Northern Illinois,14,69,19,59,1,0,532,38.0
12,13,Houston,12,59,14,54,1,0,452,37.7
13,14,Oklahoma,14,64,23,62,0,3,521,37.2
14,15,Southern Mississippi,13,57,26,55,1,1,479,36.8
15,15,East Carolina,13,62,16,56,1,0,478,36.8
16,17,Arkansas,13,60,16,56,2,3,474,36.5
17,18,Alabama,13,58,19,57,0,1,464,35.7
18,19,San Diego State,13,58,17,56,0,0,455,35.0
19,20,Troy,13,56,17,50,3,0,443,34.1
20,21,Virginia Tech,14,59,21,53,1,1,474,33.9
21,22,Kansas State,13,59,8,53,3,0,437,33.6
22,23,Texas Tech,13,57,10,56,0,1,430,33.1
23,23,Utah,13,56,13,55,0,0,430,33.1
24,25,Michigan,13,59,4,56,1,1,426,32.8
25,26,Illinois,13,50,24,43,3,1,423,32.5
26,27,Western Michigan,12,51,10,50,0,1,388,32.3
27,27,Arizona State,12,48,17,42,2,1,387,32.3
28,29,Maryland,13,54,14,53,0,0,419,32.2
29,30,UCF,14,60,11,56,0,0,449,32.1
30,30,Georgia,13,51,20,47,1,1,417,32.1
31,32,North Carolina State,13,50,21,49,0,1,414,31.8
32,33,Florida State,14,53,22,53,1,0,439,31.4
33,34,Kentucky,13,53,12,46,3,0,406,31.2
34,34,Texas A&M,13,51,16,50,0,1,406,31.2
