,Rank,Name,G,Attempts,Conversions,Conversion %
0,1,TCU,13,166,40,24.10
1,2,West Virginia,13,186,49,26.34
2,3,Boise State,13,189,54,28.57
3,4,Nebraska,14,207,62,29.95
4,5,Ohio State,13,169,51,30.18
5,6,Penn State,13,161,51,31.68
6,7,North Carolina State,13,181,60,33.15
7,8,Arkansas,13,185,62,33.51
8,8,Troy,13,188,63,33.51
9,10,Oklahoma,14,235,79,33.62
10,11,Arizona State,12,181,61,33.70
11,12,Alabama,13,191,65,34.03
12,13,Louisville,13,176,60,34.09
13,14,Southern Mississippi,13,169,58,34.32
14,15,Mississippi State,13,185,64,34.59
15,16,LSU,13,176,61,34.66
16,17,California,12,173,60,34.68
17,18,San Diego State,13,204,71,34.80
18,19,Miami (Florida),13,198,69,34.85
19,20,Oregon,13,211,74,35.07
20,21,Florida International,13,182,64,35.16
21,22,Texas Tech,13,204,73,35.78
22,23,Texas A&M,13,223,80,35.87
23,24,South Florida,13,195,70,35.90
24,25,Virginia Tech,14,197,71,36.04
25,26,Miami (Ohio),14,182,66,36.26
26,26,Utah,13,182,66,36.26
27,28,Notre Dame,13,203,74,36.45
28,29,Illinois,13,181,66,36.46
29,30,Stanford,13,167,61,36.53
30,31,Texas,12,179,66,36.87
31,31,Idaho,13,179,66,36.87
32,33,Northern Illinois,14,195,72,36.92
33,34,Auburn,14,184,68,36.96
34,35,Buffalo,12,173,64,36.99
35,36,Kent State,12,186,69,37.10
36,37,Florida Atlantic,12,172,64,37.21
37,38,Nevada,14,188,70,37.23
38,39,Toledo,13,174,65,37.36
39,40,Mississippi,12,163,61,37.42
40,41,Western Michigan,12,179,67,37.43
41,42,Hawai'i,14,197,74,37.56
42,43,Northwestern,13,181,68,37.57
43,44,Florida,13,188,71,37.77
44,45,Louisiana-Monroe,12,164,62,37.80
45,46,Rutgers,12,161,61,37.89
46,47,Middle Tennessee,13,207,79,38.16
47,48,Vanderbilt,12,191,73,38.22
48,49,Clemson,13,205,79,38.54
49,50,Temple,12,184,71,38.59
50,51,Central Michigan,12,165,64,38.79
51,52,Georgia Tech,13,172,67,38.95
52,53,North Carolina,13,186,73,39.25
53,54,Tennessee,13,191,75,39.27
54,55,Syracuse,13,206,81,39.32
55,56,Kentucky,13,165,65,39.39
56,57,UAB,12,170,67,39.41
57,58,Michigan State,13,180,71,39.44
58,59,Fresno State,13,172,68,39.53
59,60,Maryland,13,217,86,39.63
60,61,Boston College,13,206,82,39.81
61,62,Iowa,13,188,75,39.89
62,63,Missouri,13,203,81,39.90
63,64,Western Kentucky,12,142,57,40.14
64,65,Connecticut,13,204,82,40.20
65,66,BYU,13,186,75,40.32
66,67,South Carolina,14,198,80,40.40
67,68,Wisconsin,13,178,72,40.45
68,69,Pittsburgh,13,173,70,40.46
69,70,Arkansas State,12,185,75,40.54
70,71,Washington,13,180,73,40.56
71,72,Colorado,12,161,66,40.99
72,73,Ohio,13,182,75,41.21
73,74,Arizona,13,196,81,41.33
74,75,Florida State,14,222,92,41.44
75,76,Virginia,12,166,69,41.57
76,77,Army,13,144,60,41.67
77,78,Tulsa,13,175,73,41.71
78,79,Duke,12,163,68,41.72
79,80,Georgia,13,172,72,41.86
80,81,Louisiana-Lafayette,12,164,69,42.07
81,82,Tulane,12,159,67,42.14
82,83,Cincinnati,12,175,74,42.29
83,84,Ball State,12,167,71,42.51
84,85,Utah State,12,174,74,42.53
85,86,Louisiana Tech,12,181,77,42.54
86,87,Navy,13,171,73,42.69
87,88,Marshall,12,192,82,42.71
88,89,Washington State,12,152,65,42.76
89,90,New Mexico State,12,154,66,42.86
90,91,Iowa State,12,177,76,42.94
91,92,Purdue,12,165,71,43.03
92,93,Baylor,13,190,82,43.16
93,94,Akron,12,169,73,43.20
94,95,Michigan,13,194,84,43.30
95,96,Wyoming,12,166,72,43.37
96,97,UCF,14,207,90,43.48
97,98,Oklahoma State,13,239,104,43.51
98,99,SMU,14,202,88,43.56
99,100,Indiana,12,153,67,43.79
100,101,USC,13,178,78,43.82
101,102,Bowling Green,12,159,70,44.03
102,103,UCLA,12,168,74,44.05
103,104,North Texas,12,183,81,44.26
104,105,Kansas State,13,185,83,44.86
105,106,New Mexico,12,170,79,46.47
106,107,Kansas,12,157,73,46.50
107,108,Minnesota,12,131,61,46.56
108,109,Oregon State,12,176,82,46.59
109,110,UNLV,13,160,75,46.88
110,111,Air Force,13,195,92,47.18
111,112,Wake Forest,12,178,84,47.19
112,113,Eastern Michigan,12,132,63,47.73
113,114,San Jose State,13,181,87,48.07
114,115,UTEP,13,185,91,49.19
115,116,Memphis,12,170,84,49.41
116,117,Houston,12,174,86,49.43
117,118,Rice,12,169,86,50.89
118,119,East Carolina,13,185,95,51.35
119,120,Colorado State,12,154,84,54.55
