,Rank,Name,G,Kicks/Punts Blocked,Kicks/Punts Blocked/G
0,1,Rutgers,12,9,0.75
1,2,Northern Illinois,14,8,0.57
2,3,Fresno State,13,7,0.54
3,4,Texas,12,6,0.50
4,4,Arizona State,12,6,0.50
5,4,Maryland,13,6,0.46
6,4,Middle Tennessee,13,6,0.46
7,4,SMU,14,6,0.43
8,9,Houston,12,5,0.42
9,9,Missouri,13,5,0.38
10,9,USC,13,5,0.38
11,9,Utah,13,5,0.38
12,13,Arkansas State,12,4,0.33
13,13,Wyoming,12,4,0.33
14,13,Florida Atlantic,12,4,0.33
15,13,Wake Forest,12,4,0.33
16,13,Kent State,12,4,0.33
17,13,Temple,12,4,0.33
18,13,Vanderbilt,12,4,0.33
19,13,Wisconsin,13,4,0.31
20,13,Clemson,13,4,0.31
21,13,Illinois,13,4,0.31
22,13,Northwestern,13,4,0.31
23,13,Florida,13,4,0.31
24,13,Boise State,13,4,0.31
25,13,Miami (Ohio),14,4,0.29
26,27,Ball State,12,3,0.25
27,27,Louisiana-Lafayette,12,3,0.25
28,27,Marshall,12,3,0.25
29,27,Western Michigan,12,3,0.25
30,27,Akron,12,3,0.25
31,27,Central Michigan,12,3,0.25
32,27,New Mexico,12,3,0.25
33,27,Rice,12,3,0.25
34,27,Bowling Green,12,3,0.25
35,27,Tulsa,13,3,0.23
36,27,Air Force,13,3,0.23
37,27,Mississippi State,13,3,0.23
38,27,Southern Mississippi,13,3,0.23
39,27,Pittsburgh,13,3,0.23
40,27,North Carolina State,13,3,0.23
41,27,Arizona,13,3,0.23
42,27,South Florida,13,3,0.23
43,27,Ohio,13,3,0.23
44,27,Oklahoma State,13,3,0.23
45,27,East Carolina,13,3,0.23
46,27,Ohio State,13,3,0.23
47,27,UNLV,13,3,0.23
48,27,Florida State,14,3,0.21
49,27,Virginia Tech,14,3,0.21
50,51,Iowa State,12,2,0.17
51,51,Purdue,12,2,0.17
52,51,Indiana,12,2,0.17
53,51,North Texas,12,2,0.17
54,51,Western Kentucky,12,2,0.17
55,51,UAB,12,2,0.17
56,51,Oregon State,12,2,0.17
57,51,Buffalo,12,2,0.17
58,51,Utah State,12,2,0.17
59,51,Syracuse,13,2,0.15
60,51,Iowa,13,2,0.15
61,51,Arkansas,13,2,0.15
62,51,UTEP,13,2,0.15
63,51,Texas Tech,13,2,0.15
64,51,Michigan State,13,2,0.15
65,51,Louisville,13,2,0.15
66,51,San Diego State,13,2,0.15
67,51,Texas A&M,13,2,0.15
68,51,North Carolina,13,2,0.15
69,51,Hawai'i,14,2,0.14
70,51,Auburn,14,2,0.14
71,51,Oklahoma,14,2,0.14
72,73,Army,13,1,0.08
73,73,Eastern Michigan,12,1,0.08
74,73,Kansas State,13,1,0.08
75,73,Mississippi,12,1,0.08
76,73,Colorado,12,1,0.08
77,73,Stanford,13,1,0.08
78,73,Troy,13,1,0.08
79,73,Georgia,13,1,0.08
80,73,Michigan,13,1,0.08
81,73,Penn State,13,1,0.08
82,73,LSU,13,1,0.08
83,73,Louisiana Tech,12,1,0.08
84,73,Memphis,12,1,0.08
85,73,Alabama,13,1,0.08
86,73,Duke,12,1,0.08
87,73,San Jose State,13,1,0.08
88,73,UCLA,12,1,0.08
89,73,Florida International,13,1,0.08
90,73,New Mexico State,12,1,0.08
91,73,Washington State,12,1,0.08
92,73,Washington,13,1,0.08
93,73,Notre Dame,13,1,0.08
94,73,Virginia,12,1,0.08
95,73,California,12,1,0.08
96,73,Tennessee,13,1,0.08
97,73,Kentucky,13,1,0.08
98,73,Idaho,13,1,0.08
