,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Mississippi,12,63,2913,46.24,5.3,242.8
1,2,UCLA,12,64,2934,45.84,5.3,244.5
2,3,Oklahoma State,13,51,2322,45.53,3.9,178.6
3,4,Rice,12,55,2501,45.47,4.6,208.4
4,5,Florida Atlantic,12,72,3252,45.17,6.0,271.0
5,6,UTEP,13,51,2300,45.10,3.9,176.9
6,7,California,12,63,2825,44.84,5.3,235.4
7,8,Illinois,13,64,2866,44.78,4.9,220.5
8,9,Michigan State,13,58,2590,44.66,4.5,199.2
9,10,Georgia,13,50,2225,44.50,3.8,171.2
10,11,Idaho,13,59,2618,44.37,4.5,201.4
11,12,Florida State,14,50,2214,44.28,3.6,158.1
12,13,Washington State,12,69,3049,44.19,5.8,254.1
13,14,Florida,13,51,2253,44.18,3.9,173.3
14,15,South Carolina,14,54,2383,44.13,3.9,170.2
15,16,Iowa State,12,64,2818,44.03,5.3,234.8
16,17,Miami (Florida),13,59,2597,44.02,4.5,199.8
17,18,Oklahoma,14,73,3212,44.00,5.2,229.4
18,19,LSU,13,55,2415,43.91,4.2,185.8
19,20,Pittsburgh,13,46,2014,43.78,3.5,154.9
20,21,Baylor,13,55,2406,43.75,4.2,185.1
21,21,San Diego State,13,55,2406,43.75,4.2,185.1
22,23,Washington,13,76,3321,43.70,5.8,255.5
23,24,Iowa,13,56,2440,43.57,4.3,187.7
24,25,Syracuse,13,66,2868,43.45,5.1,220.6
25,26,Wisconsin,13,39,1693,43.41,3.0,130.2
26,27,Virginia Tech,14,61,2639,43.26,4.4,188.5
27,28,Nebraska,14,69,2982,43.22,4.9,213.0
28,29,Hawai'i,14,52,2234,42.96,3.7,159.6
29,30,Colorado State,12,52,2231,42.90,4.3,185.9
30,30,Kentucky,13,48,2059,42.90,3.7,158.4
31,32,Boise State,13,32,1372,42.88,2.5,105.5
32,33,Wyoming,12,68,2911,42.81,5.7,242.6
33,34,Memphis,12,80,3416,42.70,6.7,284.7
34,35,Missouri,13,71,3028,42.65,5.5,232.9
35,36,Nevada,14,37,1577,42.62,2.6,112.6
36,37,Clemson,13,63,2678,42.51,4.8,206.0
37,38,Texas,12,61,2592,42.49,5.1,216.0
38,39,Troy,13,64,2702,42.22,4.9,207.8
39,40,Tennessee,13,70,2948,42.11,5.4,226.8
40,41,Stanford,13,32,1347,42.09,2.5,103.6
41,42,UAB,12,55,2309,41.98,4.6,192.4
42,43,Virginia,12,50,2098,41.96,4.2,174.8
43,44,Oregon,13,43,1799,41.84,3.3,138.4
44,45,Air Force,13,40,1673,41.83,3.1,128.7
45,46,West Virginia,13,67,2802,41.82,5.2,215.5
