,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,Boise State,13,29,15,51.72,12,41.38,3,10.34
1,2,Missouri,13,35,20,57.14,14,40.00,6,17.14
2,3,Alabama,13,31,20,64.52,10,32.26,10,32.26
3,4,Texas A&M,13,48,31,64.58,23,47.92,8,16.67
4,5,Arizona State,12,46,31,67.39,23,50.00,8,17.39
5,6,Oregon,13,40,27,67.50,17,42.50,10,25.00
6,7,Ohio State,13,30,21,70.00,15,50.00,6,20.00
7,7,South Carolina,14,50,35,70.00,23,46.00,12,24.00
8,9,Miami (Ohio),14,41,29,70.73,24,58.54,5,12.20
9,10,Idaho,13,57,41,71.93,27,47.37,14,24.56
10,11,Miami (Florida),13,50,36,72.00,20,40.00,16,32.00
11,12,Northern Illinois,14,36,26,72.22,19,52.78,7,19.44
12,13,Mississippi State,13,40,29,72.50,17,42.50,12,30.00
13,14,Florida Atlantic,12,45,33,73.33,23,51.11,10,22.22
14,15,Western Michigan,12,38,28,73.68,18,47.37,10,26.32
15,15,Temple,12,38,28,73.68,19,50.00,9,23.68
16,17,Arkansas State,12,54,40,74.07,25,46.30,15,27.78
17,18,Maryland,13,55,41,74.55,27,49.09,14,25.45
18,19,Buffalo,12,44,33,75.00,29,65.91,4,9.09
19,19,Florida State,14,48,36,75.00,21,43.75,15,31.25
20,21,Toledo,13,53,40,75.47,31,58.49,9,16.98
21,22,Georgia Tech,13,49,37,75.51,29,59.18,8,16.33
22,23,Michigan State,13,45,34,75.56,25,55.56,9,20.00
23,24,Virginia Tech,14,41,31,75.61,24,58.54,7,17.07
24,25,West Virginia,13,25,19,76.00,8,32.00,11,44.00
25,26,Florida International,13,46,35,76.09,25,54.35,10,21.74
26,27,North Carolina,13,51,39,76.47,23,45.10,16,31.37
27,28,Iowa,13,43,33,76.74,24,55.81,9,20.93
28,28,Tulsa,13,43,33,76.74,27,62.79,6,13.95
29,30,Louisville,13,31,24,77.42,17,54.84,7,22.58
30,31,Middle Tennessee,13,58,45,77.59,35,60.34,10,17.24
31,32,San Jose State,13,63,49,77.78,34,53.97,15,23.81
32,33,Nevada,14,50,39,78.00,23,46.00,16,32.00
33,34,Hawai'i,14,46,36,78.26,31,67.39,5,10.87
34,35,Oklahoma State,13,47,37,78.72,28,59.57,9,19.15
35,36,Syracuse,13,38,30,78.95,19,50.00,11,28.95
36,36,California,12,38,30,78.95,24,63.16,6,15.79
37,38,Oregon State,12,43,34,79.07,27,62.79,7,16.28
38,39,Tennessee,13,48,38,79.17,25,52.08,13,27.08
39,39,San Diego State,13,48,38,79.17,26,54.17,12,25.00
40,41,Stanford,13,29,23,79.31,19,65.52,4,13.79
41,41,Texas Tech,13,58,46,79.31,33,56.90,13,22.41
42,43,Troy,13,44,35,79.55,29,65.91,6,13.64
43,44,Texas,12,35,28,80.00,23,65.71,5,14.29
44,44,Notre Dame,13,40,32,80.00,17,42.50,15,37.50
45,44,South Florida,13,40,32,80.00,18,45.00,14,35.00
46,44,Central Michigan,12,45,36,80.00,23,51.11,13,28.89
47,44,Navy,13,50,40,80.00,32,64.00,8,16.00
48,44,Iowa State,12,55,44,80.00,31,56.36,13,23.64
49,44,UNLV,13,65,52,80.00,42,64.62,10,15.38
50,51,Wyoming,12,51,41,80.39,33,64.71,8,15.69
51,52,Cincinnati,12,46,37,80.43,30,65.22,7,15.22
52,53,Pittsburgh,13,41,33,80.49,22,53.66,11,26.83
53,53,North Carolina State,13,41,33,80.49,25,60.98,8,19.51
54,55,LSU,13,32,26,81.25,21,65.63,5,15.63
55,56,Kent State,12,43,35,81.40,24,55.81,11,25.58
56,57,Georgia,13,38,31,81.58,27,71.05,4,10.53
57,58,Louisiana-Monroe,12,55,45,81.82,32,58.18,13,23.64
58,58,Memphis,12,55,45,81.82,34,61.82,11,20.00
59,58,SMU,14,55,45,81.82,39,70.91,6,10.91
60,61,Marshall,12,50,41,82.00,28,56.00,13,26.00
61,61,Ohio,13,50,41,82.00,31,62.00,10,20.00
62,63,Florida,13,40,33,82.50,22,55.00,11,27.50
63,64,Louisiana Tech,12,52,43,82.69,30,57.69,13,25.00
64,65,New Mexico,12,64,53,82.81,38,59.38,15,23.44
65,66,Connecticut,13,41,34,82.93,19,46.34,15,36.59
66,67,Houston,12,59,49,83.05,41,69.49,8,13.56
67,68,Utah,13,36,30,83.33,16,44.44,14,38.89
68,68,Oklahoma,14,36,30,83.33,17,47.22,13,36.11
69,68,Colorado,12,54,45,83.33,33,61.11,12,22.22
70,71,UTEP,13,55,46,83.64,37,67.27,9,16.36
71,72,Ball State,12,43,36,83.72,29,67.44,7,16.28
72,73,Arizona,13,37,31,83.78,23,62.16,8,21.62
73,74,BYU,13,31,26,83.87,20,64.52,6,19.35
74,75,Vanderbilt,12,50,42,84.00,29,58.00,13,26.00
75,76,TCU,13,19,16,84.21,12,63.16,4,21.05
76,76,Nebraska,14,38,32,84.21,17,44.74,15,39.47
77,78,Auburn,14,45,38,84.44,27,60.00,11,24.44
78,79,Baylor,13,58,49,84.48,34,58.62,15,25.86
79,80,Boston College,13,39,33,84.62,15,38.46,18,46.15
80,80,Arkansas,13,39,33,84.62,22,56.41,11,28.21
81,80,Kansas State,13,39,33,84.62,23,58.97,10,25.64
