,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Oregon,13,188,134,24,346,26.6
1,2,Oklahoma,14,130,217,24,371,26.5
2,3,Nevada,14,204,151,14,369,26.4
3,4,Oklahoma State,13,119,200,18,337,25.9
4,5,Tulsa,13,145,173,15,333,25.6
5,5,Houston,12,103,181,23,307,25.6
6,7,TCU,13,185,131,11,327,25.2
7,8,Boise State,13,125,179,22,326,25.1
8,9,Texas Tech,13,106,196,21,323,24.8
9,10,Auburn,14,202,126,16,344,24.6
10,11,Stanford,13,142,155,19,316,24.3
11,12,Southern Mississippi,13,134,158,23,315,24.2
12,13,Hawai'i,14,80,234,20,334,23.9
13,13,Wisconsin,13,170,129,12,311,23.9
14,15,Baylor,13,134,157,18,309,23.8
15,15,Texas A&M,13,123,162,24,309,23.8
16,17,Arizona,13,94,191,23,308,23.7
17,18,East Carolina,13,89,189,29,307,23.6
18,19,North Carolina State,13,98,177,29,304,23.4
19,20,Troy,13,115,162,26,303,23.3
20,21,USC,13,131,147,23,301,23.2
21,22,Michigan,13,150,137,12,299,23.0
22,23,Arkansas,13,105,173,13,291,22.4
23,24,Ohio State,13,146,130,13,289,22.2
24,24,Kentucky,13,106,162,21,289,22.2
25,24,Miami (Florida),13,122,148,18,288,22.2
26,27,Alabama,13,126,151,10,287,22.1
27,27,Missouri,13,108,162,17,287,22.1
28,29,Central Michigan,12,83,154,27,264,22.0
29,30,Cincinnati,12,107,130,26,263,21.9
30,31,Air Force,13,213,62,9,284,21.8
31,31,Northwestern,13,131,134,19,284,21.8
32,31,BYU,13,118,136,29,283,21.8
33,31,Arkansas State,12,108,131,23,262,21.8
34,35,Indiana,12,69,167,24,260,21.7
35,36,Northern Illinois,14,154,132,17,303,21.6
36,37,UAB,12,98,141,17,256,21.3
37,37,Tulane,12,97,138,21,256,21.3
38,37,Virginia,12,92,145,18,255,21.3
39,37,Arizona State,12,85,152,18,255,21.3
40,41,Louisiana Tech,12,112,123,16,251,20.9
41,42,Western Michigan,12,84,149,16,249,20.8
42,43,UCF,14,151,125,14,290,20.7
43,43,SMU,14,97,182,11,290,20.7
44,45,Virginia Tech,14,142,126,21,289,20.6
45,45,South Carolina,14,130,142,16,288,20.6
46,45,Illinois,13,151,96,21,268,20.6
47,45,Mississippi State,13,145,110,13,268,20.6
48,49,Navy,13,188,61,17,266,20.5
49,50,Georgia Tech,13,206,42,17,265,20.4
50,50,UTEP,13,96,140,29,265,20.4
51,52,San Diego State,13,92,154,18,264,20.3
52,53,Texas,12,103,118,21,242,20.2
53,54,Iowa,13,109,132,20,261,20.1
54,54,Notre Dame,13,89,152,20,261,20.1
55,56,West Virginia,13,126,110,24,260,20.0
56,56,Idaho,13,67,170,23,260,20.0
57,58,Minnesota,12,93,118,28,239,19.9
58,58,Duke,12,73,153,13,239,19.9
59,60,Colorado,12,92,123,22,237,19.8
60,61,Rice,12,109,113,14,236,19.7
61,62,Florida State,14,120,134,20,274,19.6
62,63,Michigan State,13,93,146,13,252,19.4
63,64,Fresno State,13,104,130,17,251,19.3
64,65,Kansas State,13,127,101,22,250,19.2
65,65,Florida International,13,122,111,17,250,19.2
66,65,Penn State,13,100,136,14,250,19.2
67,65,Utah State,12,115,93,22,230,19.2
68,69,Miami (Ohio),14,93,159,14,266,19.0
69,69,Florida,13,108,122,17,247,19.0
70,71,North Carolina,13,98,131,17,246,18.9
71,72,Georgia,13,104,131,10,245,18.8
72,72,Louisville,13,110,118,16,244,18.8
73,74,Utah,13,104,125,14,243,18.7
74,74,North Texas,12,122,89,13,224,18.7
75,74,Mississippi,12,110,102,12,224,18.7
76,77,Middle Tennessee,13,126,102,14,242,18.6
77,77,Louisiana-Monroe,12,83,129,11,223,18.6
78,79,Washington,13,111,108,21,240,18.5
79,79,Pittsburgh,13,102,120,18,240,18.5
80,79,Oregon State,12,77,125,20,222,18.5
81,82,Army,13,179,53,7,239,18.4
82,82,UCLA,12,115,85,21,221,18.4
83,84,Iowa State,12,95,105,20,220,18.3
84,84,Kansas,12,94,94,31,219,18.3
