,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,Washington State,12,34,578,17.00,0,2.8,48.2
1,2,Temple,12,52,904,17.38,0,4.3,75.3
2,3,UCF,14,77,1346,17.48,0,5.5,96.1
3,4,Kent State,12,48,842,17.54,1,4.0,70.2
4,5,San Jose State,13,37,672,18.16,0,2.8,51.7
5,6,Western Michigan,12,51,944,18.51,1,4.3,78.7
6,7,Ohio,13,66,1229,18.62,0,5.1,94.5
7,8,Utah,13,60,1122,18.70,0,4.6,86.3
8,9,Tulsa,13,87,1641,18.86,2,6.7,126.2
9,10,Tennessee,13,61,1158,18.98,0,4.7,89.1
10,11,Oregon,13,95,1832,19.28,0,7.3,140.9
11,12,Maryland,13,73,1408,19.29,1,5.6,108.3
12,13,Duke,12,49,946,19.31,1,4.1,78.8
13,14,Ball State,12,51,988,19.37,0,4.3,82.3
14,15,Georgia,13,67,1309,19.54,0,5.2,100.7
15,16,Notre Dame,13,58,1142,19.69,0,4.5,87.8
16,16,Auburn,14,90,1772,19.69,1,6.4,126.6
17,18,Georgia Tech,13,57,1123,19.70,1,4.4,86.4
18,19,Texas,12,46,908,19.74,0,3.8,75.7
19,20,UAB,12,52,1027,19.75,0,4.3,85.6
20,21,Boston College,13,49,972,19.84,0,3.8,74.8
21,22,Troy,13,70,1398,19.97,0,5.4,107.5
22,23,Marshall,12,44,882,20.05,0,3.7,73.5
23,23,Northwestern,13,58,1163,20.05,0,4.5,89.5
24,25,Florida,13,63,1268,20.13,0,4.8,97.5
25,26,Bowling Green,12,38,771,20.29,0,3.2,64.3
26,27,East Carolina,13,78,1585,20.32,0,6.0,121.9
27,28,Colorado,12,48,976,20.33,0,4.0,81.3
28,28,Clemson,13,61,1240,20.33,0,4.7,95.4
29,28,TCU,13,83,1687,20.33,0,6.4,129.8
30,31,Army,13,62,1265,20.40,0,4.8,97.3
31,32,Rutgers,12,47,960,20.43,1,3.9,80.0
32,33,Air Force,13,58,1190,20.52,0,4.5,91.5
33,34,Hawai'i,14,90,1850,20.56,0,6.4,132.1
34,35,Toledo,13,61,1255,20.57,2,4.7,96.5
35,36,Middle Tennessee,13,53,1093,20.62,0,4.1,84.1
36,37,Vanderbilt,12,38,785,20.66,0,3.2,65.4
37,38,South Carolina,14,72,1489,20.68,1,5.1,106.4
38,39,UNLV,13,35,724,20.69,0,2.7,55.7
39,40,Arizona,13,57,1180,20.70,0,4.4,90.8
40,41,Texas Tech,13,51,1057,20.73,2,3.9,81.3
41,41,West Virginia,13,55,1140,20.73,0,4.2,87.7
42,41,Northern Illinois,14,75,1555,20.73,0,5.4,111.1
43,44,Arkansas State,12,51,1059,20.76,0,4.3,88.3
44,45,Penn State,13,47,976,20.77,0,3.6,75.1
45,46,Utah State,12,49,1019,20.80,0,4.1,84.9
46,47,Akron,12,33,687,20.82,1,2.8,57.3
47,48,Kansas State,13,57,1198,21.02,1,4.4,92.2
48,49,Michigan State,13,58,1220,21.03,0,4.5,93.8
49,50,Baylor,13,64,1347,21.05,3,4.9,103.6
50,51,Iowa,13,58,1222,21.07,1,4.5,94.0
51,52,Florida International,13,60,1265,21.08,0,4.6,97.3
52,53,Oregon State,12,55,1160,21.09,0,4.6,96.7
53,54,Miami (Ohio),14,64,1352,21.13,0,4.6,96.6
54,55,Louisiana Tech,12,57,1205,21.14,0,4.8,100.4
55,56,Rice,12,52,1102,21.19,1,4.3,91.8
56,56,LSU,13,74,1568,21.19,1,5.7,120.6
57,58,Michigan,13,60,1275,21.25,1,4.6,98.1
58,59,Louisiana-Lafayette,12,48,1025,21.35,0,4.0,85.4
59,60,Louisiana-Monroe,12,42,897,21.36,2,3.5,74.8
60,61,Alabama,13,76,1628,21.42,1,5.8,125.2
61,62,Ohio State,13,81,1737,21.44,2,6.2,133.6
62,63,Florida State,14,39,837,21.46,0,2.8,59.8
63,64,Texas A&M,13,64,1374,21.47,0,4.9,105.7
64,65,Arizona State,12,57,1228,21.54,0,4.8,102.3
65,65,Oklahoma,14,81,1745,21.54,4,5.8,124.6
