,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,TCU,13,20,6,18,0,0,156,12.0
1,2,Boise State,13,22,5,19,0,0,166,12.8
2,3,West Virginia,13,17,19,17,0,0,176,13.5
3,3,Alabama,13,19,14,18,1,0,176,13.5
4,5,Ohio State,13,22,10,20,1,1,186,14.3
5,6,Missouri,13,26,10,21,1,0,209,16.1
6,7,Iowa,13,27,11,26,0,0,221,17.0
7,8,UCF,14,31,8,30,0,0,240,17.1
8,9,Stanford,13,29,7,27,1,1,226,17.4
9,9,Nebraska,14,26,20,25,0,1,243,17.4
10,11,LSU,13,31,7,28,1,0,237,18.2
11,12,Oregon,13,27,17,24,1,2,243,18.7
12,13,Clemson,13,27,19,25,0,0,244,18.8
13,14,Northern Illinois,14,33,11,30,1,1,265,18.9
14,15,Pittsburgh,13,29,15,28,0,0,247,19.0
15,16,Temple,12,27,14,23,1,0,229,19.1
16,17,Syracuse,13,31,12,29,0,0,251,19.3
17,18,Louisville,13,32,10,28,1,0,252,19.4
18,19,Boston College,13,26,24,26,0,0,254,19.5
19,20,Florida State,14,31,20,29,0,0,275,19.6
20,21,Mississippi State,13,30,17,27,0,0,258,19.8
21,22,South Florida,13,29,20,26,0,0,260,20.0
22,23,Notre Dame,13,29,19,26,2,1,263,20.2
23,24,Utah,13,32,15,25,1,0,264,20.3
24,25,Wisconsin,13,33,13,28,1,0,267,20.5
25,26,Virginia Tech,14,37,10,34,1,0,288,20.6
26,27,Miami (Florida),13,30,20,29,0,0,269,20.7
27,28,Air Force,13,34,13,31,0,0,274,21.1
28,29,Florida,13,33,16,29,1,0,277,21.3
29,29,North Carolina State,13,36,10,29,1,0,277,21.3
30,31,Nevada,14,34,21,33,0,0,300,21.4
31,32,BYU,13,35,12,35,0,0,281,21.6
32,33,Oklahoma,14,35,20,33,0,1,305,21.8
33,34,Texas A&M,13,35,14,31,0,1,285,21.9
34,35,Connecticut,13,33,19,31,0,0,286,22.0
35,36,San Diego State,13,36,13,32,0,0,287,22.1
36,36,Georgia,13,38,7,34,2,0,287,22.1
37,38,Maryland,13,34,17,31,1,0,288,22.2
38,39,Michigan State,13,37,11,33,1,0,290,22.3
39,40,California,12,34,11,32,1,0,271,22.6
40,41,Arizona,13,36,15,30,1,1,295,22.7
41,42,Kent State,12,33,15,32,0,0,275,22.9
42,43,South Carolina,14,39,17,35,1,1,324,23.1
43,44,North Carolina,13,35,18,30,1,3,302,23.2
44,44,Miami (Ohio),14,44,7,40,0,0,325,23.2
45,46,Navy,13,38,13,36,0,0,303,23.3
46,47,Arkansas,13,37,15,37,0,0,304,23.4
47,48,Illinois,13,35,21,30,1,0,305,23.5
48,49,Texas,12,36,11,33,1,0,284,23.7
49,49,Penn State,13,39,12,38,0,0,308,23.7
50,51,Western Michigan,12,37,11,29,1,0,286,23.8
51,51,Ohio,13,39,12,31,3,1,309,23.8
52,53,Auburn,14,42,14,37,3,0,337,24.1
53,54,Army,13,43,5,37,3,0,316,24.3
54,55,Arizona State,12,36,16,32,2,0,300,25.0
55,56,Tennessee,13,40,15,37,2,0,326,25.1
56,57,Georgia Tech,13,42,11,41,1,0,328,25.2
57,58,Hawai'i,14,48,6,41,4,1,357,25.5
58,59,SMU,14,48,8,45,1,0,359,25.6
59,60,Central Michigan,12,39,13,37,0,1,312,26.0
60,61,Oklahoma State,13,43,14,41,1,0,343,26.4
61,62,Rutgers,12,41,11,37,0,1,318,26.5
62,63,USC,13,45,13,36,1,0,347,26.7
63,64,Oregon State,12,42,9,39,1,1,322,26.8
64,65,Florida International,13,45,13,42,2,0,355,27.3
65,66,UTEP,13,46,12,43,1,0,357,27.5
66,67,Buffalo,12,45,8,40,0,0,334,27.8
67,68,Cincinnati,12,44,9,43,0,1,336,28.0
68,69,Middle Tennessee,13,47,13,44,0,0,365,28.1
69,70,Virginia,12,43,14,37,1,0,339,28.3
70,70,Idaho,13,46,16,44,0,0,368,28.3
71,72,Kentucky,13,47,14,45,0,0,369,28.4
72,73,Toledo,13,48,12,45,1,0,371,28.5
73,74,Marshall,12,42,17,38,1,1,345,28.8
74,74,Purdue,12,45,11,38,2,0,345,28.8
75,74,Iowa State,12,42,17,41,1,0,346,28.8
76,77,Northwestern,13,50,11,44,0,0,377,29.0
77,78,Kansas State,13,48,16,42,0,0,378,29.1
78,79,Florida Atlantic,12,43,16,39,1,2,351,29.3
79,79,Washington,13,49,12,45,2,1,381,29.3
80,81,Southern Mississippi,13,50,11,45,1,2,384,29.5
81,82,North Texas,12,45,14,44,0,0,356,29.7
82,83,Fresno State,13,50,14,46,1,0,390,30.0
83,84,Troy,13,53,8,51,0,0,393,30.2
84,85,Wyoming,12,46,14,42,0,2,364,30.3
85,85,UCLA,12,46,14,42,2,0,364,30.3
86,85,Tulsa,13,53,9,47,1,0,394,30.3
87,88,Ball State,12,48,11,42,1,0,365,30.4
88,89,Baylor,13,47,22,44,1,1,396,30.5
89,90,Louisiana Tech,12,46,16,44,0,0,368,30.7
90,91,Colorado,12,45,16,43,2,2,369,30.8
91,91,Arkansas State,12,45,18,37,4,0,369,30.8
92,93,Texas Tech,13,51,15,49,1,0,402,30.9
93,94,Vanderbilt,12,47,14,44,0,3,374,31.2
94,95,UAB,12,47,19,36,2,0,379,31.6
95,96,Houston,12,51,10,48,0,1,386,32.2
96,97,Louisiana-Monroe,12,49,16,47,0,0,389,32.4
97,98,Minnesota,12,54,8,46,0,1,396,33.0
98,99,Western Kentucky,12,54,7,51,1,0,398,33.2
99,100,Bowling Green,12,52,13,50,0,1,403,33.6
100,101,Utah State,12,52,13,50,1,1,405,33.8
101,102,Indiana,12,51,17,49,0,1,408,34.0
102,103,Kansas,12,53,14,51,1,0,413,34.4
103,104,Colorado State,12,54,13,53,0,0,416,34.7
104,104,San Jose State,13,56,20,53,0,1,451,34.7
105,106,Akron,12,53,18,49,0,0,421,35.1
106,107,Mississippi,12,52,19,45,4,0,422,35.2
107,107,Michigan,13,57,20,54,1,0,458,35.2
108,109,Duke,12,56,11,50,3,0,425,35.4
109,110,Wake Forest,12,55,16,50,1,0,430,35.8
110,110,Washington State,12,58,8,52,3,0,430,35.8
111,112,Louisiana-Lafayette,12,54,23,49,1,0,444,37.0
112,113,Tulane,12,58,13,57,0,1,446,37.2
113,114,Rice,12,60,14,56,1,1,462,38.5
114,115,New Mexico State,12,61,15,61,0,1,474,39.5
115,116,UNLV,13,67,17,63,0,0,516,39.7
116,117,Memphis,12,63,13,61,0,0,478,39.8
117,118,Eastern Michigan,12,71,11,66,1,0,527,43.9
118,119,East Carolina,13,76,15,71,0,0,572,44.0
119,120,New Mexico,12,69,17,67,0,0,532,44.3
