,Rank,Name,G,Opponent Fumbles,Fumbles Recovered,Fumble Recovery %
0,1,North Carolina State,13,36,20,55.56
1,2,Idaho,13,32,19,59.38
2,3,South Carolina,14,30,16,53.33
3,3,Army,13,26,16,61.54
4,3,Navy,13,26,16,61.54
5,3,Oregon,13,26,16,61.54
6,3,Illinois,13,24,16,66.67
7,8,Hawai'i,14,33,15,45.45
8,8,New Mexico,12,24,15,62.50
9,8,Troy,13,23,15,65.22
10,8,Western Michigan,12,23,15,65.22
11,8,Bowling Green,12,21,15,71.43
12,8,Oklahoma State,13,20,15,75.00
13,8,Mississippi State,13,18,15,83.33
14,15,Arkansas,13,27,14,51.85
15,15,Miami (Ohio),14,26,14,53.85
16,15,Rutgers,12,24,14,58.33
17,15,Arkansas State,12,23,14,60.87
18,15,Central Michigan,12,23,14,60.87
19,15,Toledo,13,21,14,66.67
20,21,LSU,13,32,13,40.63
21,21,Boise State,13,29,13,44.83
22,21,Oklahoma,14,28,13,46.43
23,21,Georgia Tech,13,27,13,48.15
24,21,Utah,13,27,13,48.15
25,21,Tulane,12,21,13,61.90
26,21,Boston College,13,19,13,68.42
27,28,Stanford,13,24,12,50.00
28,28,Florida State,14,23,12,52.17
29,28,Nevada,14,23,12,52.17
30,28,Miami (Florida),13,20,12,60.00
31,28,Mississippi,12,18,12,66.67
32,28,Tulsa,13,16,12,75.00
33,34,Ohio State,13,26,11,42.31
34,34,Purdue,12,25,11,44.00
35,34,West Virginia,13,25,11,44.00
36,34,Temple,12,25,11,44.00
37,34,Connecticut,13,24,11,45.83
38,34,Missouri,13,24,11,45.83
39,34,Washington State,12,23,11,47.83
40,34,Louisiana Tech,12,21,11,52.38
41,34,East Carolina,13,20,11,55.00
42,34,USC,13,19,11,57.89
43,34,UNLV,13,19,11,57.89
44,34,Kent State,12,19,11,57.89
45,34,Eastern Michigan,12,17,11,64.71
46,34,UCLA,12,17,11,64.71
47,48,Texas,12,36,10,27.78
48,48,Florida International,13,27,10,37.04
49,48,Air Force,13,24,10,41.67
50,48,Maryland,13,24,10,41.67
51,48,Colorado State,12,24,10,41.67
52,48,Duke,12,24,10,41.67
53,48,Iowa State,12,23,10,43.48
54,48,California,12,23,10,43.48
55,48,Tennessee,13,23,10,43.48
56,48,Georgia,13,22,10,45.45
57,48,Oregon State,12,22,10,45.45
58,48,TCU,13,22,10,45.45
59,48,Auburn,14,21,10,47.62
60,48,Southern Mississippi,13,20,10,50.00
61,48,Buffalo,12,20,10,50.00
62,48,Louisville,13,17,10,58.82
63,48,Baylor,13,16,10,62.50
64,65,Texas A&M,13,30,9,30.00
65,65,Virginia Tech,14,24,9,37.50
66,65,Colorado,12,21,9,42.86
67,65,Pittsburgh,13,21,9,42.86
68,65,Ball State,12,18,9,50.00
69,65,Western Kentucky,12,18,9,50.00
70,65,Wisconsin,13,17,9,52.94
71,65,Arizona,13,17,9,52.94
72,65,Kansas State,13,16,9,56.25
73,65,Northern Illinois,14,14,9,64.29
74,65,UAB,12,13,9,69.23
75,76,Texas Tech,13,26,8,30.77
76,76,Ohio,13,20,8,40.00
77,76,Houston,12,18,8,44.44
78,76,Syracuse,13,18,8,44.44
79,76,San Jose State,13,18,8,44.44
80,76,Rice,12,18,8,44.44
81,76,Middle Tennessee,13,17,8,47.06
82,76,Akron,12,16,8,50.00
83,76,New Mexico State,12,16,8,50.00
84,76,Louisiana-Lafayette,12,14,8,57.14
85,76,Minnesota,12,14,8,57.14
86,87,Washington,13,25,7,28.00
87,87,Michigan State,13,20,7,35.00
88,87,Louisiana-Monroe,12,19,7,36.84
89,87,Penn State,13,18,7,38.89
90,87,Florida,13,18,7,38.89
91,87,Kentucky,13,16,7,43.75
92,87,North Texas,12,15,7,46.67
93,87,Northwestern,13,14,7,50.00
94,87,Notre Dame,13,14,7,50.00
95,87,Michigan,13,12,7,58.33
96,97,Wake Forest,12,27,6,22.22
97,97,Vanderbilt,12,23,6,26.09
98,97,Marshall,12,21,6,28.57
99,97,Cincinnati,12,20,6,30.00
100,97,UCF,14,19,6,31.58
101,97,BYU,13,19,6,31.58
102,97,Florida Atlantic,12,18,6,33.33
103,97,San Diego State,13,16,6,37.50
104,97,Wyoming,12,15,6,40.00
105,106,Fresno State,13,23,5,21.74
106,106,North Carolina,13,21,5,23.81
107,106,Clemson,13,20,5,25.00
108,106,UTEP,13,17,5,29.41
109,106,Kansas,12,13,5,38.46
110,106,Virginia,12,13,5,38.46
111,106,SMU,14,12,5,41.67
112,106,Indiana,12,12,5,41.67
113,106,Iowa,13,11,5,45.45
114,106,Arizona State,12,11,5,45.45
115,106,Memphis,12,11,5,45.45
116,117,Alabama,13,19,4,21.05
117,117,Nebraska,14,16,4,25.00
118,117,South Florida,13,9,4,44.44
119,120,Utah State,12,10,3,30.00
