,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Louisiana Tech,12,61,2230,36.56,5.1,185.8
1,2,Fresno State,13,64,2352,36.75,4.9,180.9
2,3,Central Michigan,12,66,2426,36.76,5.5,202.2
3,4,Maryland,13,68,2505,36.84,5.2,192.7
4,5,Army,13,52,1917,36.87,4.0,147.5
5,6,Rutgers,12,65,2405,37.00,5.4,200.4
6,7,Northern Illinois,14,71,2642,37.21,5.1,188.7
7,8,Georgia Tech,13,53,2002,37.77,4.1,154.0
8,9,Western Kentucky,12,48,1831,38.15,4.0,152.6
9,9,Illinois,13,67,2556,38.15,5.2,196.6
10,11,Akron,12,50,1912,38.24,4.2,159.3
11,12,Buffalo,12,66,2525,38.26,5.5,210.4
12,13,North Carolina State,13,74,2846,38.46,5.7,218.9
13,14,Ohio,13,54,2084,38.59,4.2,160.3
14,15,Michigan State,13,66,2550,38.64,5.1,196.2
15,16,Miami (Ohio),14,67,2591,38.67,4.8,185.1
16,17,Pittsburgh,13,68,2630,38.68,5.2,202.3
17,18,Kansas,12,48,1861,38.77,4.0,155.1
18,19,Air Force,13,59,2288,38.78,4.5,176.0
19,19,Notre Dame,13,79,3064,38.78,6.1,235.7
20,21,Bowling Green,12,55,2142,38.95,4.6,178.5
21,22,Southern Mississippi,13,74,2887,39.01,5.7,222.1
22,23,UNLV,13,41,1602,39.07,3.2,123.2
23,24,Wyoming,12,48,1877,39.10,4.0,156.4
24,25,Cincinnati,12,67,2621,39.12,5.6,218.4
25,26,Western Michigan,12,63,2479,39.35,5.3,206.6
26,27,Clemson,13,81,3189,39.37,6.2,245.3
27,28,Penn State,13,69,2717,39.38,5.3,209.0
28,29,Florida International,13,70,2758,39.40,5.4,212.2
29,30,San Diego State,13,77,3038,39.45,5.9,233.7
30,31,Kentucky,13,69,2726,39.51,5.3,209.7
31,32,Marshall,12,60,2371,39.52,5.0,197.6
32,33,Wisconsin,13,56,2216,39.57,4.3,170.5
33,34,Duke,12,48,1904,39.67,4.0,158.7
34,35,Toledo,13,61,2433,39.89,4.7,187.2
35,36,South Florida,13,73,2917,39.96,5.6,224.4
36,37,Texas A&M,13,85,3401,40.01,6.5,261.6
37,38,Vanderbilt,12,72,2883,40.04,6.0,240.3
38,39,Tulane,12,55,2207,40.13,4.6,183.9
39,40,Connecticut,13,74,2974,40.19,5.7,228.8
40,41,Wake Forest,12,42,1690,40.24,3.5,140.8
41,42,East Carolina,13,45,1815,40.33,3.5,139.6
42,43,Northwestern,13,68,2744,40.35,5.2,211.1
43,44,Arkansas State,12,52,2099,40.37,4.3,174.9
44,44,Arizona State,12,75,3028,40.37,6.3,252.3
45,46,Auburn,14,66,2665,40.38,4.7,190.4
46,47,UCF,14,76,3072,40.42,5.4,219.4
47,48,Boise State,13,84,3396,40.43,6.5,261.2
48,49,Missouri,13,67,2710,40.45,5.2,208.5
49,50,Eastern Michigan,12,44,1781,40.48,3.7,148.4
50,51,BYU,13,66,2673,40.50,5.1,205.6
51,52,UAB,12,60,2431,40.52,5.0,202.6
52,53,USC,13,62,2513,40.53,4.8,193.3
53,54,Kansas State,13,58,2353,40.57,4.5,181.0
54,55,Kent State,12,69,2800,40.58,5.8,233.3
55,56,Louisiana-Monroe,12,54,2192,40.59,4.5,182.7
56,57,Utah,13,67,2720,40.60,5.2,209.2
57,58,Arizona,13,71,2885,40.63,5.5,221.9
58,59,Ball State,12,48,1953,40.69,4.0,162.8
59,60,Iowa,13,71,2901,40.86,5.5,223.2
60,61,Purdue,12,61,2496,40.92,5.1,208.0
61,62,Memphis,12,44,1801,40.93,3.7,150.1
62,62,Mississippi,12,61,2497,40.93,5.1,208.1
63,64,Rice,12,44,1802,40.95,3.7,150.2
64,65,Florida,13,73,2991,40.97,5.6,230.1
65,66,Middle Tennessee,13,80,3282,41.03,6.2,252.5
66,67,Stanford,13,62,2545,41.05,4.8,195.8
67,68,Florida State,14,65,2669,41.06,4.6,190.6
68,68,Virginia Tech,14,69,2833,41.06,4.9,202.4
69,70,UTEP,13,54,2218,41.07,4.2,170.6
70,71,Florida Atlantic,12,55,2260,41.09,4.6,188.3
71,71,Hawai'i,14,70,2876,41.09,5.0,205.4
72,73,Baylor,13,56,2307,41.20,4.3,177.5
73,74,Ohio State,13,74,3050,41.22,5.7,234.6
74,75,Idaho,13,58,2398,41.34,4.5,184.5
75,75,Syracuse,13,68,2811,41.34,5.2,216.2
76,77,Temple,12,63,2609,41.41,5.3,217.4
77,78,San Jose State,13,53,2195,41.42,4.1,168.8
78,79,Navy,13,43,1784,41.49,3.3,137.2
79,80,Iowa State,12,55,2286,41.56,4.6,190.5
80,81,Michigan,13,54,2246,41.59,4.2,172.8
81,82,Miami (Florida),13,77,3204,41.61,5.9,246.5
82,83,Oklahoma State,13,75,3128,41.71,5.8,240.6
83,84,North Texas,12,62,2591,41.79,5.2,215.9
84,85,LSU,13,68,2844,41.82,5.2,218.8
85,86,South Carolina,14,61,2553,41.85,4.4,182.4
86,86,Virginia,12,59,2469,41.85,4.9,205.8
87,88,Tulsa,13,64,2679,41.86,4.9,206.1
88,89,Louisiana-Lafayette,12,51,2139,41.94,4.3,178.3
89,90,Oklahoma,14,99,4153,41.95,7.1,296.6
90,91,North Carolina,13,61,2560,41.97,4.7,196.9
91,92,Texas Tech,13,67,2813,41.99,5.2,216.4
92,93,Colorado State,12,41,1723,42.02,3.4,143.6
93,93,Washington,13,63,2647,42.02,4.8,203.6
94,95,West Virginia,13,84,3531,42.04,6.5,271.6
95,96,Minnesota,12,43,1809,42.07,3.6,150.8
96,97,Arkansas,13,72,3034,42.14,5.5,233.4
97,98,Boston College,13,67,2829,42.22,5.2,217.6
98,99,Georgia,13,66,2789,42.26,5.1,214.5
99,100,Mississippi State,13,59,2497,42.32,4.5,192.1
100,101,Alabama,13,73,3098,42.44,5.6,238.3
101,102,California,12,69,2929,42.45,5.8,244.1
