,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
0,1,Virginia Tech,14,9,23,32,8,5,13,19,1.36
1,2,Tulsa,13,12,24,36,8,11,19,17,1.31
2,3,Army,13,16,14,30,11,3,14,16,1.23
3,4,Ohio State,13,11,19,30,2,13,15,15,1.15
4,4,Maryland,13,10,19,29,4,10,14,15,1.15
5,6,Wisconsin,13,9,14,23,3,6,9,14,1.08
6,7,Oklahoma,14,13,19,32,6,12,18,14,1.00
7,7,Oregon,13,16,21,37,15,9,24,13,1.00
8,7,Stanford,13,12,18,30,9,8,17,13,1.00
9,7,Iowa,13,5,19,24,5,6,11,13,1.00
10,11,Oklahoma State,13,15,19,34,8,14,22,12,0.92
11,11,Connecticut,13,11,20,31,10,9,19,12,0.92
12,13,Hawai'i,14,15,23,38,9,17,26,12,0.86
13,14,Toledo,13,14,20,34,9,14,23,11,0.85
14,14,Missouri,13,11,18,29,8,10,18,11,0.85
15,14,Alabama,13,4,22,26,10,5,15,11,0.85
16,17,Miami (Ohio),14,14,21,35,9,15,24,11,0.79
17,17,Northern Illinois,14,9,16,25,6,8,14,11,0.79
18,19,Georgia,13,10,16,26,8,8,16,10,0.77
19,20,Southern Mississippi,13,10,16,26,9,8,17,9,0.69
20,20,TCU,13,10,12,22,7,6,13,9,0.69
21,22,Boston College,13,13,20,33,6,19,25,8,0.62
22,22,LSU,13,13,19,32,13,11,24,8,0.62
23,22,Illinois,13,16,11,27,7,12,19,8,0.62
24,22,Boise State,13,13,14,27,13,6,19,8,0.62
25,26,Rutgers,12,14,8,22,5,10,15,7,0.58
26,27,North Carolina State,13,20,9,29,8,14,22,7,0.54
27,27,Mississippi State,13,15,13,28,8,13,21,7,0.54
28,27,Navy,13,16,7,23,10,6,16,7,0.54
29,30,Iowa State,12,10,13,23,7,10,17,6,0.50
30,31,Michigan State,13,7,17,24,9,10,19,5,0.38
31,31,Air Force,13,10,12,22,11,6,17,5,0.38
32,33,Nevada,14,12,12,24,10,9,19,5,0.36
33,33,Auburn,14,10,12,22,10,7,17,5,0.36
34,35,Oregon State,12,10,10,20,4,12,16,4,0.33
35,36,Tennessee,13,10,18,28,9,15,24,4,0.31
36,36,USC,13,11,15,26,9,13,22,4,0.31
37,36,Florida International,13,10,15,25,7,14,21,4,0.31
38,36,Kansas State,13,9,13,22,10,8,18,4,0.31
39,40,Florida State,14,12,15,27,10,13,23,4,0.29
40,40,UCF,14,6,17,23,8,11,19,4,0.29
41,42,Western Michigan,12,15,15,30,15,12,27,3,0.25
42,42,Western Kentucky,12,9,8,17,8,6,14,3,0.25
43,44,Louisville,13,10,9,19,8,8,16,3,0.23
44,45,California,12,10,9,19,6,11,17,2,0.17
45,45,Minnesota,12,8,11,19,8,9,17,2,0.17
46,47,Idaho,13,19,11,30,11,17,28,2,0.15
47,47,Florida,13,7,22,29,15,12,27,2,0.15
48,47,Washington,13,7,12,19,8,9,17,2,0.15
49,50,Arkansas,13,14,11,25,9,15,24,1,0.08
50,50,Arkansas State,12,14,11,25,12,12,24,1,0.08
51,50,Notre Dame,13,7,18,25,8,16,24,1,0.08
52,50,North Carolina,13,5,19,24,14,9,23,1,0.08
53,50,Pittsburgh,13,9,13,22,10,11,21,1,0.08
54,50,BYU,13,6,16,22,10,11,21,1,0.08
55,56,Kent State,12,11,16,27,13,14,27,0,0.00
56,56,South Carolina,14,16,10,26,9,17,26,0,0.00
57,56,Baylor,13,10,10,20,12,8,20,0,0.00
58,56,Colorado,12,9,10,19,8,11,19,0,0.00
59,56,Wake Forest,12,6,11,17,7,10,17,0,0.00
60,61,Nebraska,14,4,19,23,16,8,24,-1,-0.07
61,62,Troy,13,15,14,29,15,15,30,-1,-0.08
62,62,Utah,13,13,12,25,14,12,26,-1,-0.08
63,62,Washington State,12,11,11,22,11,12,23,-1,-0.08
64,62,Northwestern,13,7,15,22,13,10,23,-1,-0.08
65,62,UNLV,13,11,7,18,7,12,19,-1,-0.08
66,67,Bowling Green,12,15,14,29,11,20,31,-2,-0.17
67,67,Tulane,12,13,10,23,13,12,25,-2,-0.17
68,67,Wyoming,12,6,9,15,8,9,17,-2,-0.17
69,70,Texas Tech,13,8,15,23,15,11,26,-3,-0.23
70,70,Clemson,13,5,15,20,9,14,23,-3,-0.23
71,70,South Florida,13,4,15,19,6,16,22,-3,-0.23
72,73,Louisiana-Lafayette,12,8,14,22,10,15,25,-3,-0.25
73,73,North Texas,12,7,8,15,9,9,18,-3,-0.25
74,75,Arizona,13,9,9,18,10,12,22,-4,-0.31
75,75,Syracuse,13,8,9,17,13,8,21,-4,-0.31
76,75,Penn State,13,7,10,17,4,17,21,-4,-0.31
77,75,Kentucky,13,7,9,16,11,9,20,-4,-0.31
78,79,Vanderbilt,12,6,9,15,8,11,19,-4,-0.33
79,80,Texas A&M,13,9,16,25,15,15,30,-5,-0.38
80,80,West Virginia,13,11,12,23,20,8,28,-5,-0.38
81,80,UTEP,13,5,11,16,7,14,21,-5,-0.38
82,83,Ball State,12,9,17,26,15,16,31,-5,-0.42
83,83,Louisiana Tech,12,11,12,23,13,15,28,-5,-0.42
84,83,Utah State,12,3,13,16,7,14,21,-5,-0.42
85,86,Georgia Tech,13,13,8,21,20,7,27,-6,-0.46
86,86,San Diego State,13,6,10,16,8,14,22,-6,-0.46
87,88,Purdue,12,11,10,21,10,17,27,-6,-0.50
88,88,Houston,12,8,13,21,7,20,27,-6,-0.50
89,88,Temple,12,11,9,20,13,13,26,-6,-0.50
90,88,Louisiana-Monroe,12,7,12,19,11,14,25,-6,-0.50
91,88,Mississippi,12,12,6,18,10,14,24,-6,-0.50
92,88,UAB,12,9,9,18,10,14,24,-6,-0.50
93,88,Marshall,12,6,11,17,8,15,23,-6,-0.50
94,88,Arizona State,12,5,12,17,6,17,23,-6,-0.50
95,88,Akron,12,8,8,16,8,14,22,-6,-0.50
96,88,New Mexico State,12,8,4,12,9,9,18,-6,-0.50
97,98,Ohio,13,8,17,25,12,20,32,-7,-0.54
98,98,East Carolina,13,11,11,22,13,16,29,-7,-0.54
99,98,San Jose State,13,8,10,18,8,17,25,-7,-0.54
100,101,Virginia,12,5,11,16,6,17,23,-7,-0.58
101,101,Rice,12,8,6,14,9,12,21,-7,-0.58
102,101,Indiana,12,5,8,13,8,12,20,-7,-0.58
103,104,Miami (Florida),13,12,16,28,9,27,36,-8,-0.62
