,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Oregon,13,3759,3160,1024,6919,6.76,532.2
1,2,Boise State,13,2603,4174,909,6777,7.46,521.3
2,3,Oklahoma State,13,2267,4496,982,6763,6.89,520.2
3,4,Nevada,14,4091,3177,1044,7268,6.96,519.1
4,5,Tulsa,13,2820,3753,1006,6573,6.53,505.6
5,6,Hawai'i,14,1489,5520,926,7009,7.57,500.6
6,7,Auburn,14,3987,3002,948,6989,7.37,499.2
7,8,Michigan,13,3101,3252,941,6353,6.75,488.7
8,9,Arkansas,13,1935,4338,886,6273,7.08,482.5
9,10,Oklahoma,14,1942,4807,1211,6749,5.57,482.1
10,11,Houston,12,1839,3927,894,5766,6.45,480.5
11,12,TCU,13,3208,2983,929,6191,6.66,476.2
12,13,Baylor,13,2530,3649,939,6179,6.58,475.3
13,14,Stanford,13,2779,3357,914,6136,6.71,472.0
14,15,Texas Tech,13,1837,4146,1054,5983,5.68,460.2
15,16,San Diego State,13,2101,3840,865,5941,6.87,457.0
16,17,Troy,13,2059,3836,997,5895,5.91,453.5
17,18,Southern Mississippi,13,2611,3283,1030,5894,5.72,453.4
18,19,Northern Illinois,14,3645,2655,910,6300,6.92,450.0
19,20,Ohio State,13,2861,2971,896,5832,6.51,448.6
20,21,Wisconsin,13,3194,2593,860,5787,6.73,445.2
21,22,Alabama,13,2378,3395,829,5773,6.96,444.1
22,23,Texas A&M,13,2145,3599,1034,5744,5.56,441.8
23,24,Arizona,13,1712,4000,959,5712,5.96,439.4
24,25,East Carolina,13,1558,4131,990,5689,5.75,437.6
25,26,USC,13,2467,3142,930,5609,6.03,431.5
26,27,Kentucky,13,2061,3501,910,5562,6.11,427.8
27,28,Air Force,13,3985,1551,916,5536,6.04,425.8
28,29,Arizona State,12,1671,3437,877,5108,5.82,425.7
29,30,UAB,12,1873,3201,882,5074,5.75,422.8
30,31,Miami (Florida),13,2388,3105,936,5493,5.87,422.5
31,32,Cincinnati,12,1880,3128,837,5008,5.98,417.3
32,33,SMU,14,1943,3861,920,5804,6.31,414.6
33,34,Western Michigan,12,1511,3429,860,4940,5.74,411.7
34,35,Missouri,13,2033,3292,929,5325,5.73,409.6
