,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,TCU,13,76,67,13,156,12.0
1,2,West Virginia,13,65,98,15,178,13.7
2,3,Ohio State,13,73,102,13,188,14.5
3,4,Boise State,13,84,92,16,192,14.8
4,5,Alabama,13,85,99,14,198,15.2
5,6,North Carolina State,13,84,120,5,209,16.1
6,7,Texas,12,92,83,19,194,16.2
7,7,LSU,13,96,96,19,211,16.2
8,9,Syracuse,13,101,95,22,218,16.8
9,9,Utah,13,73,128,18,219,16.8
10,9,Miami (Florida),13,106,93,20,219,16.8
11,12,Wisconsin,13,96,115,9,220,16.9
12,12,Louisville,13,99,98,23,220,16.9
13,12,Miami (Ohio),14,88,130,18,236,16.9
14,15,Nebraska,14,106,102,30,238,17.0
15,16,Temple,12,89,106,10,205,17.1
16,17,Clemson,13,92,105,26,223,17.2
17,18,South Florida,13,94,117,14,225,17.3
18,19,UCF,14,94,134,15,243,17.4
19,19,Virginia Tech,14,95,128,21,244,17.4
20,21,Army,13,103,105,20,228,17.5
21,22,BYU,13,100,109,20,229,17.6
22,23,Oklahoma,14,111,121,16,248,17.7
23,24,Florida,13,104,107,20,231,17.8
24,24,Georgia,13,112,101,18,231,17.8
25,26,Boston College,13,69,146,18,233,17.9
26,26,Illinois,13,76,136,21,233,17.9
27,26,Northern Illinois,14,96,133,21,250,17.9
28,29,Rutgers,12,91,112,13,216,18.0
29,29,North Carolina,13,90,127,17,234,18.0
30,29,Penn State,13,115,109,10,234,18.0
31,32,Kent State,12,74,121,22,217,18.1
32,32,California,12,95,102,20,217,18.1
33,32,Notre Dame,13,97,125,13,235,18.1
34,35,Buffalo,12,107,97,14,218,18.2
35,35,Fresno State,13,101,121,14,236,18.2
36,35,Arkansas,13,118,102,16,236,18.2
37,35,Kentucky,13,120,101,15,236,18.2
38,39,North Texas,12,108,99,14,221,18.4
39,40,Mississippi,12,88,118,16,222,18.5
40,40,Stanford,13,98,125,18,241,18.5
41,40,Pittsburgh,13,102,113,26,241,18.5
42,43,Ohio,13,91,133,18,242,18.6
43,43,Arizona,13,102,121,19,242,18.6
44,43,Air Force,13,135,97,10,242,18.6
45,43,South Carolina,14,100,147,13,260,18.6
46,47,Connecticut,13,106,125,13,244,18.8
47,48,Western Michigan,12,89,120,18,227,18.9
