,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Georgia Tech,13,753,4203,5.58,31,57.92,323.31
1,2,Air Force,13,748,3985,5.33,41,57.54,306.54
2,3,Nevada,14,669,4091,6.12,52,47.79,292.21
3,4,Oregon,13,630,3759,5.97,42,48.46,289.15
4,5,Auburn,14,652,3987,6.12,41,46.57,284.79
5,6,Navy,13,692,3702,5.35,37,53.23,284.77
6,7,Northern Illinois,14,581,3645,6.27,42,41.50,260.36
7,8,Army,13,728,3271,4.49,34,56.00,251.62
8,9,Nebraska,14,634,3466,5.47,32,45.29,247.57
9,10,TCU,13,598,3208,5.36,41,46.00,246.77
10,11,Illinois,13,619,3199,5.17,29,47.62,246.08
11,12,Wisconsin,13,584,3194,5.47,48,44.92,245.69
12,13,Michigan,13,556,3101,5.58,35,42.77,238.54
13,14,Ohio State,13,547,2861,5.23,27,42.08,220.08
14,15,Tulsa,13,537,2820,5.25,32,41.31,216.92
15,16,Mississippi State,13,620,2806,4.53,29,47.69,215.85
16,17,Stanford,13,535,2779,5.19,34,41.15,213.77
17,18,Mississippi,12,496,2491,5.02,28,41.33,207.58
18,19,North Texas,12,489,2426,4.96,17,40.75,202.17
19,20,Southern Mississippi,13,559,2611,4.67,28,43.00,200.85
20,21,Boise State,13,485,2603,5.37,34,37.31,200.23
21,22,Kansas State,13,553,2590,4.68,40,42.54,199.23
22,23,Virginia Tech,14,570,2782,4.88,30,40.71,198.71
23,24,Baylor,13,468,2530,5.41,25,36.00,194.62
24,25,USC,13,478,2467,5.16,20,36.77,189.77
25,26,UCF,14,602,2626,4.36,36,43.00,187.57
26,27,Florida International,13,522,2438,4.67,26,40.15,187.54
27,27,LSU,13,538,2438,4.53,29,41.38,187.54
28,29,Miami (Florida),13,493,2388,4.84,19,37.92,183.69
29,30,Alabama,13,467,2378,5.09,30,35.92,182.92
30,31,Middle Tennessee,13,526,2361,4.49,32,40.46,181.62
31,32,UCLA,12,484,2107,4.35,20,40.33,175.58
32,33,Western Kentucky,12,500,2105,4.21,21,41.67,175.42
33,34,Louisville,13,472,2275,4.82,17,36.31,175.00
34,35,Connecticut,13,501,2271,4.53,20,38.54,174.69
35,36,Oklahoma State,13,450,2267,5.04,26,34.62,174.38
36,37,Eastern Michigan,12,511,2080,4.07,17,42.58,173.33
37,38,Washington,13,481,2238,4.65,15,37.00,172.15
38,39,Florida State,14,501,2400,4.79,27,35.79,171.43
39,40,Louisiana Tech,12,466,2049,4.40,22,38.83,170.75
40,41,Utah State,12,528,2024,3.83,24,44.00,168.67
41,42,BYU,13,518,2185,4.22,23,39.85,168.08
42,43,Toledo,13,495,2176,4.40,22,38.08,167.38
43,44,Florida,13,503,2170,4.31,31,38.69,166.92
44,45,Pittsburgh,13,470,2154,4.58,24,36.15,165.69
45,46,Texas A&M,13,519,2145,4.13,19,39.92,165.00
46,47,Ohio,13,496,2125,4.28,25,38.15,163.46
47,48,San Diego State,13,439,2101,4.79,29,33.77,161.62
48,49,Purdue,12,442,1930,4.37,12,36.83,160.83
49,50,West Virginia,13,526,2076,3.95,18,40.46,159.69
50,51,Rice,12,494,1913,3.87,24,41.17,159.42
51,52,California,12,429,1906,4.44,19,35.75,158.83
52,53,Kentucky,13,452,2061,4.56,26,34.77,158.54
53,54,Wake Forest,12,459,1902,4.14,23,38.25,158.50
54,55,Troy,13,473,2059,4.35,21,36.38,158.38
55,56,Cincinnati,12,402,1880,4.68,15,33.50,156.67
56,57,Missouri,13,439,2033,4.63,28,33.77,156.38
57,58,UAB,12,418,1873,4.48,14,34.83,156.08
58,59,Northwestern,13,557,2027,3.64,22,42.85,155.92
59,60,South Carolina,14,522,2161,4.14,26,37.29,154.36
60,61,Houston,12,410,1839,4.49,20,34.17,153.25
61,62,Utah,13,428,1988,4.64,27,32.92,152.92
62,63,Ball State,12,445,1827,4.11,11,37.08,152.25
63,64,Michigan State,13,444,1978,4.45,25,34.15,152.15
64,65,Fresno State,13,494,1958,3.96,19,38.00,150.62
65,66,Texas,12,433,1806,4.17,19,36.08,150.50
66,67,Temple,12,430,1803,4.19,20,35.83,150.25
67,68,Arkansas State,12,420,1789,4.26,23,35.00,149.08
68,69,Arkansas,13,421,1935,4.60,22,32.38,148.85
69,70,Iowa,13,449,1929,4.30,16,34.54,148.38
70,71,South Florida,13,487,1883,3.87,19,37.46,144.85
71,72,Iowa State,12,455,1718,3.78,15,37.92,143.17
72,73,Georgia,13,455,1854,4.07,21,35.00,142.62
73,74,Penn State,13,448,1853,4.14,16,34.46,142.54
74,75,Texas Tech,13,437,1837,4.20,17,33.62,141.31
75,76,Syracuse,13,448,1822,4.07,14,34.46,140.15
76,77,Virginia,12,419,1672,3.99,17,34.92,139.33
77,78,Arizona State,12,413,1671,4.05,19,34.42,139.25
78,79,Clemson,13,456,1805,3.96,19,35.08,138.85
79,80,Vanderbilt,12,421,1666,3.96,13,35.08,138.83
80,81,SMU,14,404,1943,4.81,14,28.86,138.79
81,82,Oklahoma,14,578,1942,3.36,23,41.29,138.71
82,83,Maryland,13,433,1796,4.15,21,33.31,138.15
83,84,UTEP,13,412,1782,4.33,18,31.69,137.08
84,85,Colorado,12,450,1642,3.65,15,37.50,136.83
85,86,Minnesota,12,447,1623,3.63,14,37.25,135.25
86,87,Kansas,12,470,1615,3.44,13,39.17,134.58
87,88,Arizona,13,435,1712,3.94,20,33.46,131.69
88,89,Boston College,13,463,1662,3.59,10,35.62,127.85
89,90,New Mexico State,12,449,1534,3.42,8,37.42,127.83
90,91,Tulane,12,434,1530,3.53,17,36.17,127.50
91,92,Notre Dame,13,414,1646,3.98,11,31.85,126.62
92,93,Western Michigan,12,385,1511,3.92,18,32.08,125.92
93,94,North Carolina,13,440,1634,3.71,18,33.85,125.69
94,95,North Carolina State,13,462,1590,3.44,17,35.54,122.31
95,96,Oregon State,12,386,1453,3.76,18,32.17,121.08
96,97,Louisiana-Monroe,12,473,1443,3.05,13,39.42,120.25
97,98,East Carolina,13,359,1558,4.34,21,27.62,119.85
98,99,Wyoming,12,402,1434,3.57,17,33.50,119.50
99,100,Kent State,12,383,1363,3.56,15,31.92,113.58
100,101,Akron,12,393,1361,3.46,10,32.75,113.42
101,101,Buffalo,12,440,1361,3.09,3,36.67,113.42
102,103,Colorado State,12,392,1360,3.47,10,32.67,113.33
103,104,Duke,12,383,1320,3.45,19,31.92,110.00
104,105,Tennessee,13,408,1420,3.48,14,31.38,109.23
105,106,New Mexico,12,440,1301,2.96,10,36.67,108.42
106,107,Hawai'i,14,308,1489,4.83,25,22.00,106.36
107,108,Central Michigan,12,383,1269,3.31,18,31.92,105.75
108,109,UNLV,13,453,1343,2.96,9,34.85,103.31
109,110,Louisiana-Lafayette,12,413,1225,2.97,14,34.42,102.08
110,111,Rutgers,12,445,1211,2.72,11,37.08,100.92
111,112,Indiana,12,348,1204,3.46,13,29.00,100.33
112,113,Miami (Ohio),14,438,1376,3.14,14,31.29,98.29
113,114,Marshall,12,345,1166,3.38,7,28.75,97.17
114,115,Florida Atlantic,12,400,1140,2.85,8,33.33,95.00
115,116,Memphis,12,383,1099,2.87,5,31.92,91.58
116,117,Washington State,12,417,1092,2.62,11,34.75,91.00
117,118,Idaho,13,375,1168,3.11,12,28.85,89.85
118,119,San Jose State,13,352,1021,2.90,7,27.08,78.54
119,120,Bowling Green,12,361,752,2.08,16,30.08,62.67
