,Rank,Name,G,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,UTEP,13,18,9,5,4,3,1,1
1,2,LSU,13,16,6,3,0,0,0,0
2,2,New Mexico State,12,16,7,3,0,0,0,0
3,2,Toledo,13,16,9,6,3,3,3,3
4,5,Connecticut,13,15,7,4,3,3,3,3
5,5,UCF,14,15,8,6,4,3,2,2
6,5,USC,13,15,3,3,1,1,1,1
7,8,Kansas State,13,14,7,5,3,2,2,2
8,9,Florida,13,13,10,5,3,2,2,1
9,9,Minnesota,12,13,7,2,1,1,1,1
10,9,Oregon State,12,13,5,1,1,0,0,0
11,9,Rice,12,13,6,2,1,0,0,0
12,9,UNLV,13,13,8,6,3,1,0,0
13,14,Arizona State,12,12,5,4,4,4,4,4
14,14,Indiana,12,12,4,1,1,1,1,0
15,14,Kentucky,13,12,2,0,0,0,0,0
16,14,Louisiana Tech,12,12,7,4,2,1,1,1
17,14,Louisville,13,12,7,5,2,1,1,1
18,14,Mississippi,12,12,4,1,0,0,0,0
19,14,North Texas,12,12,5,3,3,3,2,2
20,21,East Carolina,13,11,3,2,1,1,1,0
21,21,Iowa State,12,11,3,1,1,0,0,0
22,21,Marshall,12,11,4,3,2,1,1,1
23,21,Middle Tennessee,13,11,3,2,1,1,1,1
24,21,New Mexico,12,11,4,1,1,1,1,1
25,21,Ohio State,13,11,4,1,1,1,1,0
26,21,Oklahoma,14,11,3,1,1,1,0,0
27,21,South Florida,13,11,5,3,2,2,2,2
28,29,Arizona,13,10,3,2,2,1,1,1
29,29,BYU,13,10,2,2,0,0,0,0
30,29,Duke,12,10,0,0,0,0,0,0
31,29,Kansas,12,10,4,2,1,1,1,1
32,29,Louisiana-Monroe,12,10,1,1,0,0,0,0
33,29,Oregon,13,10,2,1,1,1,1,0
34,29,Rutgers,12,10,3,1,1,1,0,0
35,29,Texas A&M,13,10,5,3,3,2,2,1
36,37,Alabama,13,9,1,1,1,1,1,1
37,37,Auburn,14,9,4,3,2,2,2,2
38,37,Bowling Green,12,9,4,1,1,1,0,0
39,37,Fresno State,13,9,5,3,0,0,0,0
40,37,Idaho,13,9,4,2,2,2,2,0
41,37,Michigan,13,9,3,1,1,0,0,0
42,37,Navy,13,9,1,1,0,0,0,0
43,37,Oklahoma State,13,9,5,2,2,2,2,1
44,37,SMU,14,9,5,2,2,1,1,1
