,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,Troy,13,70,4029,57.56,13,18.57,2,2
1,2,East Carolina,13,102,6016,58.98,13,12.75,5,1
2,3,Bowling Green,12,76,4504,59.26,5,6.58,3,0
3,4,USC,13,68,4035,59.34,9,13.24,2,1
4,5,Florida International,13,67,3996,59.64,7,10.45,1,1
5,6,Georgia,13,56,3341,59.66,6,10.71,2,2
6,7,Arkansas State,12,69,4118,59.68,6,8.70,2,4
7,8,LSU,13,51,3054,59.88,2,3.92,4,1
8,9,Southern Mississippi,13,67,4013,59.90,6,8.96,3,5
9,10,Hawai'i,14,67,4016,59.94,8,11.94,2,1
10,11,Mississippi,12,78,4679,59.99,9,11.54,5,1
11,12,Purdue,12,65,3901,60.02,10,15.38,0,1
12,13,Minnesota,12,73,4391,60.15,9,12.33,2,0
13,14,TCU,13,38,2296,60.42,7,18.42,0,1
14,15,Army,13,60,3627,60.45,7,11.67,3,1
15,16,Toledo,13,72,4354,60.47,11,15.28,2,1
16,17,Kansas State,13,75,4539,60.52,13,17.33,3,2
17,18,West Virginia,13,47,2849,60.62,3,6.38,2,1
18,19,Ball State,12,66,4007,60.71,9,13.64,2,2
19,20,Kentucky,13,73,4435,60.75,9,12.33,4,0
20,21,UCF,14,50,3054,61.08,6,12.00,0,3
21,22,Louisiana Tech,12,72,4410,61.25,3,4.17,1,2
22,23,UTEP,13,69,4227,61.26,7,10.14,1,3
23,24,North Texas,12,71,4353,61.31,8,11.27,0,0
24,25,Central Michigan,12,64,3926,61.34,10,15.63,1,0
25,26,Louisiana-Lafayette,12,85,5216,61.36,11,12.94,1,1
26,27,Michigan State,13,60,3683,61.38,8,13.33,0,0
27,28,Stanford,13,47,2887,61.43,1,2.13,0,2
28,29,Florida State,14,63,3873,61.48,3,4.76,2,0
29,30,Florida,13,60,3690,61.50,5,8.33,2,0
30,31,Boise State,13,39,2399,61.51,4,10.26,2,0
31,32,Boston College,13,61,3755,61.56,6,9.84,1,1
32,33,Oklahoma State,13,68,4189,61.60,9,13.24,2,1
33,34,Northwestern,13,69,4256,61.68,13,18.84,3,2
34,35,Florida Atlantic,12,70,4318,61.69,10,14.29,2,1
35,35,UCLA,12,70,4318,61.69,10,14.29,4,0
36,37,Maryland,13,61,3765,61.72,10,16.39,1,2
37,38,Cincinnati,12,66,4074,61.73,5,7.58,2,0
38,39,Houston,12,72,4450,61.81,7,9.72,4,0
39,40,Indiana,12,79,4887,61.86,10,12.66,2,0
40,41,Tulsa,13,73,4520,61.92,20,27.40,3,1
41,41,Michigan,13,87,5387,61.92,10,11.49,2,0
42,43,Connecticut,13,66,4090,61.97,6,9.09,3,0
43,44,Western Michigan,12,59,3666,62.14,9,15.25,1,0
44,44,Duke,12,77,4785,62.14,9,11.69,1,2
45,46,Kansas,12,77,4788,62.18,9,11.69,2,1
46,47,Penn State,13,63,3918,62.19,6,9.52,0,0
47,48,Virginia,12,67,4168,62.21,12,17.91,5,2
48,49,Louisiana-Monroe,12,75,4668,62.24,9,12.00,1,1
49,50,Middle Tennessee,13,70,4360,62.29,10,14.29,2,0
50,51,Northern Illinois,14,58,3614,62.31,16,27.59,3,0
51,52,Nevada,14,65,4052,62.34,11,16.92,6,4
52,53,Ohio,13,60,3742,62.37,4,6.67,2,4
53,54,Illinois,13,66,4118,62.39,14,21.21,2,1
54,55,San Diego State,13,57,3560,62.46,8,14.04,2,4
55,56,Baylor,13,82,5128,62.54,17,20.73,2,0
56,57,North Carolina State,13,56,3503,62.55,10,17.86,0,3
57,57,South Florida,13,60,3753,62.55,9,15.00,2,2
58,59,Pittsburgh,13,56,3504,62.57,3,5.36,1,0
59,60,Idaho,13,71,4444,62.59,10,14.08,2,0
60,61,Iowa,13,50,3130,62.60,15,30.00,2,1
61,62,Eastern Michigan,12,91,5699,62.63,17,18.68,1,1
62,63,Rice,12,84,5266,62.69,4,4.76,3,1
63,64,Texas A&M,13,62,3889,62.73,10,16.13,1,0
64,65,Vanderbilt,12,72,4518,62.75,8,11.11,1,0
65,66,Navy,13,62,3892,62.77,9,14.52,2,1
66,66,Buffalo,12,64,4017,62.77,12,18.75,1,0
67,68,SMU,14,68,4270,62.79,10,14.71,1,1
68,69,Akron,12,78,4899,62.81,11,14.10,2,1
69,70,Wisconsin,13,57,3581,62.82,2,3.51,0,2
70,70,Texas,12,57,3581,62.82,16,28.07,1,2
71,70,Auburn,14,68,4272,62.82,5,7.35,0,2
72,73,UAB,12,74,4651,62.85,5,6.76,5,0
73,74,Iowa State,12,68,4275,62.87,12,17.65,1,0
74,75,BYU,13,60,3774,62.90,12,20.00,1,0
75,76,Memphis,12,87,5476,62.94,9,10.34,3,0
76,77,Fresno State,13,72,4533,62.96,10,13.89,1,5
