,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Hawai'i,14,276,103,56,23,13,7,2,1,0
1,2,Tulsa,13,260,85,34,20,5,4,1,0,0
2,3,Nevada,14,253,81,34,20,11,3,3,0,0
3,3,Oklahoma State,13,253,75,32,18,8,8,3,2,0
4,5,Auburn,14,245,86,47,19,12,8,6,2,1
5,6,Oregon,13,240,83,41,24,13,9,5,3,0
6,7,Arkansas,13,227,78,41,21,12,8,7,4,0
7,7,Boise State,13,227,84,39,24,14,5,5,2,0
8,9,Oklahoma,14,224,68,32,14,8,6,4,2,0
9,10,Southern Mississippi,13,223,67,22,14,10,4,0,0,0
10,11,Houston,12,222,60,35,19,10,4,0,0,0
11,11,SMU,14,222,70,25,14,7,2,1,1,0
12,13,TCU,13,218,61,27,12,4,1,1,1,1
13,14,Texas Tech,13,217,59,24,9,4,1,1,1,0
14,15,Baylor,13,216,69,35,21,14,8,3,2,1
15,15,East Carolina,13,216,57,25,13,4,3,2,0,0
16,15,Miami (Florida),13,216,57,24,13,5,4,2,0,0
17,18,Northern Illinois,14,214,77,40,20,14,10,5,2,1
18,18,Ohio State,13,214,67,30,16,9,6,1,1,0
19,18,Wisconsin,13,214,54,23,9,3,3,1,0,0
20,21,Texas A&M,13,213,56,28,13,7,5,1,1,0
21,22,Arizona,13,210,61,26,11,5,3,2,1,0
22,22,Michigan,13,210,65,39,20,11,9,6,1,0
23,24,South Carolina,14,209,62,27,16,7,3,2,0,0
24,25,Troy,13,208,66,32,13,6,4,3,0,0
25,26,USC,13,206,52,23,14,7,2,1,0,0
26,27,Stanford,13,204,69,33,18,10,3,1,1,0
27,28,Michigan State,13,203,60,27,12,5,3,2,1,0
28,29,Missouri,13,199,63,21,6,5,4,1,0,0
29,30,Kentucky,13,198,59,32,14,7,2,2,1,0
30,31,Alabama,13,196,66,39,19,11,6,2,1,0
31,31,Virginia Tech,14,196,70,34,19,9,6,3,1,0
32,33,Georgia,13,194,62,34,15,6,2,0,0,0
33,33,North Carolina State,13,194,61,22,6,2,1,0,0,0
34,33,San Diego State,13,194,78,40,27,16,7,5,3,2
35,36,Arkansas State,12,192,60,24,10,4,3,0,0,0
36,37,Cincinnati,12,191,66,26,12,9,7,2,1,0
37,37,Florida State,14,191,61,28,13,6,4,4,2,1
38,37,Iowa,13,191,50,23,12,7,4,2,0,0
39,40,Idaho,13,189,62,28,13,8,2,2,0,0
40,40,Miami (Ohio),14,189,59,21,12,5,5,4,2,1
41,40,Notre Dame,13,189,57,22,3,3,2,2,2,1
42,43,Central Michigan,12,188,54,12,4,2,2,1,0,0
43,43,Illinois,13,188,55,25,11,8,3,1,0,0
44,45,Virginia,12,187,48,20,8,4,1,1,0,0
45,46,UAB,12,185,69,25,14,9,1,1,0,0
46,47,Louisville,13,184,57,14,12,5,4,3,2,0
47,48,Arizona State,12,183,56,25,14,9,5,3,0,0
48,48,UCF,14,183,57,26,14,4,1,0,0,0
49,50,Florida,13,180,49,18,11,5,2,1,0,0
50,51,West Virginia,13,179,52,27,12,3,1,1,0,0
51,52,Fresno State,13,178,64,29,14,8,2,1,0,0
52,53,Florida International,13,177,60,28,15,9,5,2,1,0
53,53,Northwestern,13,177,51,18,7,2,1,1,1,0
54,53,UTEP,13,177,44,22,13,7,5,1,0,0
55,53,Western Michigan,12,177,57,25,16,9,4,3,0,0
56,57,Nebraska,14,176,66,30,20,14,10,4,2,0
57,58,Penn State,13,175,61,17,10,3,1,1,1,0
58,59,North Carolina,13,174,58,26,17,13,6,4,2,1
59,60,Indiana,12,173,47,14,7,3,3,0,0,0
60,61,Mississippi State,13,171,59,27,14,12,4,4,1,0
61,62,Air Force,13,169,56,27,11,6,1,0,0,0
62,62,Tennessee,13,169,75,36,17,7,4,2,1,0
63,64,Kansas State,13,168,57,31,13,7,2,1,0,0
64,65,Mississippi,12,166,67,25,16,11,6,3,1,0
65,65,Pittsburgh,13,166,54,23,13,7,5,3,0,0
66,65,Washington,13,166,50,24,14,7,3,2,1,0
67,68,Utah,13,165,58,32,18,9,6,3,0,0
68,69,Louisiana Tech,12,164,49,23,9,3,2,0,0,0
69,69,Middle Tennessee,13,164,55,25,16,10,3,2,0,0
70,69,Tulane,12,164,44,19,7,1,1,1,0,0
71,72,Colorado State,12,163,41,17,8,4,2,2,0,0
