,Rank,Name,G,Int.,Passes Broken Up,Passes Defended,Passes Defended/G
0,1,Oregon,13,21,81,102,7.85
1,2,Oklahoma,14,19,71,90,6.43
2,3,UCF,14,17,66,83,5.93
3,4,Virginia Tech,14,23,59,82,5.86
4,5,Kansas State,13,13,68,81,6.23
5,6,Alabama,13,22,57,79,6.08
6,6,Hawai'i,14,23,56,79,5.64
7,6,Miami (Ohio),14,21,58,79,5.64
8,9,Florida State,14,15,62,77,5.50
9,10,Tulsa,13,24,52,76,5.85
10,10,Maryland,13,19,57,76,5.85
11,10,Oklahoma State,13,19,57,76,5.85
12,13,San Diego State,13,10,64,74,5.69
13,14,LSU,13,19,51,70,5.38
14,14,Texas Tech,13,15,55,70,5.38
15,14,Nebraska,14,19,51,70,5.00
16,17,Michigan State,13,17,52,69,5.31
17,17,Arizona,13,9,60,69,5.31
18,19,Stanford,13,18,50,68,5.23
19,20,Ohio State,13,19,48,67,5.15
20,20,Ohio,13,17,50,67,5.15
21,22,Missouri,13,18,47,65,5.00
22,23,Texas A&M,13,16,48,64,4.92
23,23,West Virginia,13,12,52,64,4.92
24,25,Buffalo,12,15,48,63,5.25
25,25,Southern Mississippi,13,16,47,63,4.85
26,25,Miami (Florida),13,16,47,63,4.85
27,25,BYU,13,16,47,63,4.85
28,25,UTEP,13,11,52,63,4.85
29,30,Iowa,13,19,43,62,4.77
30,30,North Carolina,13,19,43,62,4.77
31,30,Notre Dame,13,18,44,62,4.77
32,33,Tennessee,13,18,43,61,4.69
33,33,USC,13,15,46,61,4.69
34,33,Northern Illinois,14,16,45,61,4.36
35,36,Kent State,12,16,44,60,5.00
36,36,Utah State,12,13,47,60,5.00
37,36,UCLA,12,7,53,60,5.00
38,36,Florida,13,22,38,60,4.62
39,36,Clemson,13,15,45,60,4.62
40,36,Wisconsin,13,14,46,60,4.62
41,42,Troy,13,14,45,59,4.54
42,43,Louisiana Tech,12,12,46,58,4.83
43,43,Toledo,13,20,38,58,4.46
44,43,Boston College,13,20,38,58,4.46
45,43,Mississippi State,13,13,45,58,4.46
46,43,San Jose State,13,10,48,58,4.46
47,48,Marshall,12,11,46,57,4.75
48,48,Nevada,14,12,45,57,4.07
49,50,California,12,9,47,56,4.67
50,51,Bowling Green,12,14,41,55,4.58
51,51,UAB,12,9,46,55,4.58
52,51,Northwestern,13,15,40,55,4.23
53,51,Pittsburgh,13,13,42,55,4.23
54,51,SMU,14,10,45,55,3.93
55,56,Louisiana-Monroe,12,12,42,54,4.50
56,56,Boise State,13,14,40,54,4.15
57,56,North Carolina State,13,9,45,54,4.15
58,56,South Carolina,14,10,44,54,3.86
59,60,Houston,12,13,40,53,4.42
60,60,Illinois,13,11,42,53,4.08
61,62,Connecticut,13,20,32,52,4.00
62,62,TCU,13,12,40,52,4.00
63,62,Arkansas,13,11,41,52,4.00
64,65,Tulane,12,10,41,51,4.25
65,65,Army,13,14,37,51,3.92
66,65,Washington,13,12,39,51,3.92
67,65,Middle Tennessee,13,11,40,51,3.92
68,65,East Carolina,13,11,40,51,3.92
69,65,Baylor,13,10,41,51,3.92
70,65,Auburn,14,12,39,51,3.64
71,72,Wake Forest,12,11,39,50,4.17
72,72,Wyoming,12,9,41,50,4.17
73,72,Rice,12,6,44,50,4.17
74,75,Florida International,13,15,34,49,3.77
75,75,Georgia Tech,13,8,41,49,3.77
76,77,Florida Atlantic,12,11,37,48,4.00
77,77,Air Force,13,12,36,48,3.69
78,79,Purdue,12,10,37,47,3.92
79,79,South Florida,13,15,32,47,3.62
80,81,Western Michigan,12,15,31,46,3.83
81,81,Iowa State,12,13,33,46,3.83
82,81,Washington State,12,11,35,46,3.83
83,81,Fresno State,13,8,38,46,3.54
84,85,Louisiana-Lafayette,12,14,31,45,3.75
85,85,Arizona State,12,12,33,45,3.75
86,85,Temple,12,9,36,45,3.75
87,85,Texas,12,8,37,45,3.75
88,85,Duke,12,8,37,45,3.75
89,85,Georgia,13,16,29,45,3.46
90,85,Utah,13,12,33,45,3.46
91,92,Arkansas State,12,11,33,44,3.67
92,92,Oregon State,12,10,34,44,3.67
93,92,Vanderbilt,12,9,35,44,3.67
94,92,Kansas,12,7,37,44,3.67
95,96,Ball State,12,17,26,43,3.58
96,96,Michigan,13,12,31,43,3.31
97,96,Idaho,13,11,32,43,3.31
98,96,Penn State,13,10,33,43,3.31
99,100,New Mexico State,12,4,38,42,3.50
100,101,Navy,13,7,34,41,3.15
101,102,Syracuse,13,9,31,40,3.08
102,103,Louisville,13,9,30,39,3.00
103,104,Akron,12,8,30,38,3.17
104,104,Rutgers,12,8,30,38,3.17
105,104,Mississippi,12,6,32,38,3.17
106,107,Indiana,12,8,29,37,3.08
107,107,North Texas,12,8,29,37,3.08
108,107,UNLV,13,7,30,37,2.85
109,110,Memphis,12,8,28,36,3.00
110,111,Virginia,12,11,24,35,2.92
111,112,Colorado,12,10,23,33,2.75
112,112,Cincinnati,12,8,25,33,2.75
113,112,Central Michigan,12,4,29,33,2.75
114,112,Kentucky,13,9,24,33,2.54
115,116,Eastern Michigan,12,2,30,32,2.67
116,117,Minnesota,12,11,20,31,2.58
117,117,Western Kentucky,12,8,23,31,2.58
118,119,New Mexico,12,4,24,28,2.33
119,120,Colorado State,12,4,14,18,1.50
