,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Boston College,13,401,1074,2.68,7,30.85,82.62
1,2,West Virginia,13,410,1124,2.74,3,31.54,86.46
2,3,Ohio State,13,404,1253,3.10,9,31.08,96.38
3,4,Kent State,12,434,1166,2.69,21,36.17,97.17
4,5,TCU,13,391,1296,3.31,9,30.08,99.69
5,6,Iowa,13,407,1320,3.24,13,31.31,101.54
6,7,Boise State,13,461,1349,2.93,12,35.46,103.77
7,8,UCF,14,451,1517,3.36,9,32.21,108.36
8,9,Auburn,14,448,1527,3.41,16,32.00,109.07
9,10,Alabama,13,435,1432,3.29,6,33.46,110.15
10,11,Utah,13,451,1452,3.22,9,34.69,111.69
11,12,South Carolina,14,467,1574,3.37,13,33.36,112.43
12,13,Southern Mississippi,13,405,1469,3.63,18,31.15,113.00
13,14,North Carolina State,13,433,1486,3.43,12,33.31,114.31
14,15,Mississippi State,13,435,1548,3.56,11,33.46,119.08
15,16,Pittsburgh,13,443,1560,3.52,12,34.08,120.00
16,17,Nevada,14,428,1684,3.93,18,30.57,120.29
17,18,Stanford,13,406,1571,3.87,12,31.23,120.85
18,19,Arizona State,12,441,1463,3.32,14,36.75,121.92
19,20,Ohio,13,458,1600,3.49,17,35.23,123.08
20,21,Maryland,13,480,1618,3.37,14,36.92,124.46
21,22,North Carolina,13,440,1633,3.71,10,33.85,125.62
22,23,South Florida,13,469,1638,3.49,8,36.08,126.00
23,24,Northern Illinois,14,459,1771,3.86,16,32.79,126.50
24,25,Miami (Ohio),14,448,1786,3.99,28,32.00,127.57
25,26,Wisconsin,13,423,1662,3.93,9,32.54,127.85
26,27,Oregon,13,474,1665,3.51,11,36.46,128.08
27,28,Clemson,13,483,1669,3.46,8,37.15,128.38
28,29,Florida State,14,528,1802,3.41,12,37.71,128.71
29,30,Texas A&M,13,481,1692,3.52,14,37.00,130.15
30,31,Florida,13,481,1698,3.53,14,37.00,130.62
31,32,Illinois,13,434,1700,3.92,14,33.38,130.77
32,33,Arizona,13,481,1712,3.56,16,37.00,131.69
33,34,Tulsa,13,435,1714,3.94,17,33.46,131.85
34,35,California,12,437,1601,3.66,15,36.42,133.42
35,36,Toledo,13,438,1735,3.96,27,33.69,133.46
36,37,Oklahoma State,13,499,1738,3.48,15,38.38,133.69
37,37,Michigan State,13,451,1738,3.85,16,34.69,133.69
38,39,Cincinnati,12,465,1625,3.49,19,38.75,135.42
39,40,Hawai'i,14,524,1902,3.63,20,37.43,135.86
40,41,Syracuse,13,488,1770,3.63,14,37.54,136.15
41,42,LSU,13,478,1785,3.73,15,36.77,137.31
42,43,Purdue,12,459,1655,3.61,20,38.25,137.92
43,44,Texas,12,478,1663,3.48,21,39.83,138.58
44,45,BYU,13,462,1802,3.90,14,35.54,138.62
45,46,Army,13,426,1809,4.25,18,32.77,139.15
46,47,Temple,12,459,1672,3.64,16,38.25,139.33
47,48,Colorado,12,421,1683,4.00,15,35.08,140.25
48,49,USC,13,416,1826,4.39,12,32.00,140.46
49,50,Connecticut,13,478,1862,3.90,13,36.77,143.23
50,51,Notre Dame,13,465,1870,4.02,15,35.77,143.85
51,52,Louisville,13,471,1876,3.98,14,36.23,144.31
52,53,SMU,14,550,2027,3.69,24,39.29,144.79
53,54,Rice,12,424,1742,4.11,21,35.33,145.17
54,55,Marshall,12,447,1746,3.91,20,37.25,145.50
55,56,Georgia,13,512,1927,3.76,24,39.38,148.23
