,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Hawai'i,14,210,80,43,18,9,4,1,1,0
1,2,Oklahoma State,13,179,59,28,16,6,6,3,2,0
2,3,Oklahoma,14,178,59,28,13,7,5,4,2,0
3,4,Houston,12,167,48,29,16,9,4,0,0,0
4,5,Arkansas,13,164,62,34,16,9,5,5,4,0
5,6,Arizona,13,161,47,20,9,3,1,1,1,0
6,7,Texas Tech,13,160,45,17,7,3,0,0,0,0
7,7,Tulsa,13,160,57,21,14,4,3,1,0,0
8,9,East Carolina,13,157,45,22,12,4,3,2,0,0
9,10,Boise State,13,154,63,28,19,9,3,3,1,0
10,11,SMU,14,153,52,21,13,7,2,1,1,0
11,12,Troy,13,151,46,21,8,4,4,3,0,0
12,13,Idaho,13,149,50,23,11,7,2,2,0,0
13,14,Texas A&M,13,148,42,19,7,4,3,0,0,0
14,15,North Carolina State,13,145,52,18,5,2,1,0,0,0
15,16,San Diego State,13,142,60,31,20,13,4,3,2,1
16,17,Miami (Ohio),14,141,44,17,10,4,4,3,1,0
17,18,Kentucky,13,140,46,25,8,2,0,0,0,0
18,19,Central Michigan,12,139,45,8,2,1,1,1,0,0
19,19,Indiana,12,139,40,11,5,2,2,0,0,0
20,19,Virginia,12,139,39,14,6,4,1,1,0,0
21,22,Baylor,13,138,39,24,15,9,4,1,1,1
22,22,Nevada,14,138,43,18,9,4,1,1,0,0
23,24,Southern Mississippi,13,137,46,17,9,6,1,0,0,0
24,25,South Carolina,14,135,47,20,13,5,3,2,0,0
25,26,Missouri,13,134,44,10,3,2,1,0,0,0
26,26,Notre Dame,13,134,41,17,3,3,2,2,2,1
27,26,Western Michigan,12,134,43,18,10,5,2,1,0,0
28,29,Arizona State,12,132,42,18,11,6,4,2,0,0
29,30,Alabama,13,131,46,23,10,5,4,2,1,0
30,31,Miami (Florida),13,130,40,18,10,4,3,1,0,0
31,32,Cincinnati,12,129,46,18,8,6,5,1,0,0
32,32,Stanford,13,129,48,20,10,4,1,1,1,0
33,32,USC,13,129,36,15,10,4,1,0,0,0
34,35,Michigan State,13,127,44,19,7,1,0,0,0,0
35,35,UAB,12,127,53,19,11,6,1,1,0,0
36,37,Georgia,13,125,50,28,12,5,2,0,0,0
37,37,Oregon,13,125,43,19,11,6,4,2,2,0
38,39,Iowa,13,123,39,18,10,5,2,1,0,0
