,Rank,Name,G,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Oregon,13,10,8,7,6,6,2,1,0
1,1,TCU,13,10,7,3,1,0,0,0,0
2,1,Utah,13,10,8,5,3,3,3,0,0
3,4,Boise State,13,9,5,2,1,1,1,0,0
4,5,Alabama,13,8,2,1,0,0,0,0,0
5,5,LSU,13,8,4,2,2,2,1,1,0
6,7,Florida State,14,7,3,2,1,1,1,0,0
7,7,Maryland,13,7,5,4,4,3,2,2,0
8,7,Pittsburgh,13,7,3,0,0,0,0,0,0
9,7,UCF,14,7,3,0,0,0,0,0,0
10,11,Kentucky,13,6,1,1,1,0,0,0,0
11,11,USC,13,6,2,2,2,1,1,1,0
12,13,Arizona State,12,5,4,2,0,0,0,0,0
13,13,California,12,5,2,0,0,0,0,0,0
14,13,Florida,13,5,3,1,0,0,0,0,0
15,13,Georgia,13,5,3,1,0,0,0,0,0
16,13,Ohio,13,5,2,1,0,0,0,0,0
17,13,Penn State,13,5,1,0,0,0,0,0,0
18,13,South Florida,13,5,4,2,1,1,0,0,0
19,13,Stanford,13,5,2,0,0,0,0,0,0
20,13,Syracuse,13,5,2,1,1,1,0,0,0
21,13,Texas,12,5,2,1,0,0,0,0,0
22,23,Air Force,13,4,3,1,0,0,0,0,0
23,23,Arkansas,13,4,1,1,1,1,1,1,1
24,23,Clemson,13,4,3,1,0,0,0,0,0
25,23,Duke,12,4,1,0,0,0,0,0,0
26,23,East Carolina,13,4,3,1,1,0,0,0,0
27,23,Fresno State,13,4,1,1,1,0,0,0,0
28,23,Houston,12,4,4,2,1,1,1,0,0
29,23,Mississippi,12,4,4,2,2,1,1,0,0
30,23,Nebraska,14,4,2,1,1,1,1,1,1
31,23,Oklahoma State,13,4,2,2,2,1,0,0,0
32,23,Rutgers,12,4,2,1,1,1,0,0,0
33,23,Temple,12,4,3,1,0,0,0,0,0
34,23,Troy,13,4,3,2,1,1,1,0,0
35,23,Wisconsin,13,4,1,0,0,0,0,0,0
36,37,BYU,13,3,1,1,0,0,0,0,0
37,37,Buffalo,12,3,1,1,1,0,0,0,0
38,37,Colorado,12,3,1,1,0,0,0,0,0
39,37,Colorado State,12,3,0,0,0,0,0,0,0
40,37,Connecticut,13,3,2,0,0,0,0,0,0
41,37,Louisiana Tech,12,3,1,1,1,1,1,1,0
42,37,Louisville,13,3,2,1,1,1,1,0,0
43,37,Marshall,12,3,0,0,0,0,0,0,0
44,37,Michigan State,13,3,2,2,1,1,1,0,0
45,37,Nevada,14,3,3,2,1,1,1,0,0
46,37,North Carolina State,13,3,1,1,1,1,1,1,0
47,37,Ohio State,13,3,1,1,1,1,1,0,0
48,37,Oklahoma,14,3,2,1,1,1,0,0,0
49,37,Oregon State,12,3,2,2,2,0,0,0,0
50,37,Rice,12,3,2,0,0,0,0,0,0
51,37,San Diego State,13,3,0,0,0,0,0,0,0
52,37,Texas A&M,13,3,1,1,1,0,0,0,0
53,37,UNLV,13,3,0,0,0,0,0,0,0
54,37,UTEP,13,3,3,3,2,0,0,0,0
55,37,Virginia Tech,14,3,3,3,3,2,1,1,0
56,57,Bowling Green,12,2,2,2,2,2,1,0,0
57,57,Central Michigan,12,2,0,0,0,0,0,0,0
58,57,Cincinnati,12,2,0,0,0,0,0,0,0
59,57,Florida Atlantic,12,2,1,1,0,0,0,0,0
60,57,Florida International,13,2,0,0,0,0,0,0,0
61,57,Iowa,13,2,1,1,0,0,0,0,0
62,57,Iowa State,12,2,1,1,1,1,0,0,0
63,57,Kansas State,13,2,1,1,0,0,0,0,0
64,57,Kent State,12,2,1,0,0,0,0,0,0
65,57,Miami (Ohio),14,2,1,1,0,0,0,0,0
66,57,Middle Tennessee,13,2,0,0,0,0,0,0,0
67,57,Mississippi State,13,2,1,0,0,0,0,0,0
68,57,North Carolina,13,2,1,0,0,0,0,0,0
69,57,Northern Illinois,14,2,2,1,1,0,0,0,0
70,57,Northwestern,13,2,2,1,1,0,0,0,0
71,57,Purdue,12,2,0,0,0,0,0,0,0
72,57,San Jose State,13,2,0,0,0,0,0,0,0
73,57,Southern Mississippi,13,2,0,0,0,0,0,0,0
74,57,Texas Tech,13,2,1,0,0,0,0,0,0
75,57,Tulsa,13,2,1,1,1,0,0,0,0
76,57,UCLA,12,2,2,1,0,0,0,0,0
77,57,Wake Forest,12,2,1,1,0,0,0,0,0
78,57,Washington State,12,2,1,0,0,0,0,0,0
79,57,Western Michigan,12,2,0,0,0,0,0,0,0
80,81,Arizona,13,1,1,0,0,0,0,0,0
81,81,Arkansas State,12,1,0,0,0,0,0,0,0
82,81,Ball State,12,1,1,0,0,0,0,0,0
83,81,Baylor,13,1,1,0,0,0,0,0,0
84,81,Boston College,13,1,0,0,0,0,0,0,0
85,81,Eastern Michigan,12,1,0,0,0,0,0,0,0
86,81,Georgia Tech,13,1,0,0,0,0,0,0,0
87,81,Hawai'i,14,1,0,0,0,0,0,0,0
88,81,Idaho,13,1,0,0,0,0,0,0,0
89,81,Illinois,13,1,0,0,0,0,0,0,0
90,81,Kansas,12,1,0,0,0,0,0,0,0
91,81,Louisiana-Lafayette,12,1,1,1,0,0,0,0,0
92,81,Miami (Florida),13,1,1,1,1,1,1,0,0
93,81,Michigan,13,1,1,0,0,0,0,0,0
94,81,Minnesota,12,1,1,0,0,0,0,0,0
95,81,Missouri,13,1,1,0,0,0,0,0,0
96,81,New Mexico State,12,1,1,0,0,0,0,0,0
97,81,Notre Dame,13,1,1,0,0,0,0,0,0
98,81,SMU,14,1,1,0,0,0,0,0,0
99,81,Tennessee,13,1,0,0,0,0,0,0,0
100,81,Toledo,13,1,0,0,0,0,0,0,0
101,81,Tulane,12,1,1,0,0,0,0,0,0
102,81,Vanderbilt,12,1,1,1,1,0,0,0,0
