,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,North Carolina,13,9,2,0.22,0,0.7,0.2
1,2,Oklahoma State,13,16,15,0.94,0,1.2,1.2
2,3,South Alabama,13,14,28,2.00,0,1.1,2.2
3,4,Tulane,12,15,31,2.07,0,1.3,2.6
4,5,Baylor,13,8,17,2.13,0,0.6,1.3
5,6,BYU,13,17,43,2.53,0,1.3,3.3
6,7,Houston,13,13,34,2.62,0,1.0,2.6
7,8,Auburn,13,6,19,3.17,0,0.5,1.5
8,9,Purdue,12,14,45,3.21,0,1.2,3.8
9,10,Arizona State,12,19,65,3.42,0,1.6,5.4
10,11,LSU,12,11,38,3.45,0,0.9,3.2
11,12,Oregon State,12,18,65,3.61,1,1.5,5.4
12,13,Temple,14,21,78,3.71,0,1.5,5.6
13,14,Northern Illinois,12,24,93,3.88,0,2.0,7.8
14,15,Ohio State,13,14,55,3.93,0,1.1,4.2
15,16,TCU,13,22,87,3.95,0,1.7,6.7
16,17,Kansas State,13,21,87,4.14,0,1.6,6.7
17,18,Minnesota,13,31,129,4.16,0,2.4,9.9
18,19,Middle Tennessee,13,16,68,4.25,0,1.2,5.2
19,20,Virginia Tech,14,14,61,4.36,0,1.0,4.4
20,21,Iowa State,12,15,66,4.40,0,1.3,5.5
21,22,Air Force,13,19,86,4.53,0,1.5,6.6
22,23,Ohio,14,18,83,4.61,0,1.3,5.9
23,24,Wyoming,14,21,97,4.62,0,1.5,6.9
24,25,Texas,12,19,93,4.89,0,1.6,7.8
25,26,Maryland,13,20,100,5.00,0,1.5,7.7
26,26,Boston College,13,31,155,5.00,0,2.4,11.9
27,28,Clemson,15,10,52,5.20,0,0.7,3.5
28,28,Fresno State,12,10,52,5.20,1,0.8,4.3
29,28,Texas A&M,13,20,104,5.20,0,1.5,8.0
30,28,Bowling Green,12,20,104,5.20,0,1.7,8.7
31,32,Southern Mississippi,13,16,86,5.38,1,1.2,6.6
32,33,Kentucky,13,23,125,5.43,0,1.8,9.6
33,34,Western Kentucky,14,9,49,5.44,0,0.6,3.5
34,34,Michigan State,12,16,87,5.44,0,1.3,7.3
35,36,Western Michigan,14,6,33,5.50,0,0.4,2.4
36,37,Central Michigan,13,19,105,5.53,1,1.5,8.1
37,38,Missouri,12,20,111,5.55,0,1.7,9.3
38,39,Arkansas,13,18,101,5.61,0,1.4,7.8
39,40,Charlotte,12,22,131,5.95,0,1.8,10.9
40,41,West Virginia,13,18,108,6.00,0,1.4,8.3
41,42,Indiana,13,32,195,6.09,1,2.5,15.0
42,43,Georgia,13,20,122,6.10,0,1.5,9.4
43,44,Rice,12,20,124,6.20,0,1.7,10.3
44,45,USC,13,8,50,6.25,0,0.6,3.8
45,46,UTEP,12,26,168,6.46,0,2.2,14.0
46,47,Michigan,13,21,137,6.52,0,1.6,10.5
47,48,Toledo,13,15,99,6.60,0,1.2,7.6
48,49,Colorado State,13,17,113,6.65,0,1.3,8.7
49,50,Arkansas State,13,21,140,6.67,1,1.6,10.8
50,51,Texas State,12,23,156,6.78,0,1.9,13.0
51,52,UTSA,13,36,247,6.86,0,2.8,19.0
52,53,Massachusetts,12,33,229,6.94,0,2.8,19.1
53,54,Penn State,14,21,146,6.95,0,1.5,10.4
54,55,Georgia Southern,12,8,56,7.00,0,0.7,4.7
55,56,Vanderbilt,13,20,141,7.05,0,1.5,10.8
56,57,Eastern Michigan,13,16,115,7.19,1,1.2,8.8
57,58,Wisconsin,14,23,168,7.30,1,1.6,12.0
58,59,Oklahoma,13,9,67,7.44,0,0.7,5.2
59,60,Troy,13,19,142,7.47,0,1.5,10.9
60,61,Utah,13,21,157,7.48,1,1.6,12.1
61,61,Akron,12,21,157,7.48,0,1.8,13.1
62,63,Stanford,13,19,143,7.53,0,1.5,11.0
63,64,Idaho,13,16,124,7.75,0,1.2,9.5
64,65,Virginia,12,15,118,7.87,0,1.3,9.8
65,66,Miami (Ohio),13,19,150,7.89,1,1.5,11.5
66,67,Miami (Florida),13,20,158,7.90,0,1.5,12.2
67,68,Oregon,12,16,127,7.94,0,1.3,10.6
68,68,Louisiana-Monroe,12,18,143,7.94,1,1.5,11.9
69,70,Army,13,4,32,8.00,0,0.3,2.5
70,71,Ball State,12,16,129,8.06,1,1.3,10.8
71,72,Syracuse,12,27,219,8.11,1,2.3,18.3
72,73,Pittsburgh,13,29,236,8.14,0,2.2,18.2
73,74,Tulsa,13,17,141,8.29,0,1.3,10.8
74,75,Texas Tech,12,10,84,8.40,0,0.8,7.0
75,76,New Mexico,13,24,204,8.50,1,1.8,15.7
76,77,Kent State,12,21,185,8.81,1,1.8,15.4
77,78,Washington State,13,12,106,8.83,1,0.9,8.2
78,79,Washington,14,13,116,8.92,0,0.9,8.3
79,80,Marshall,12,18,162,9.00,1,1.5,13.5
80,81,North Texas,13,28,253,9.04,2,2.2,19.5
81,82,Florida Atlantic,12,20,181,9.05,1,1.7,15.1
82,83,Wake Forest,13,30,274,9.13,0,2.3,21.1
83,84,San Diego State,14,19,175,9.21,1,1.4,12.5
84,85,Boise State,13,16,148,9.25,1,1.2,11.4
85,85,South Florida,13,20,185,9.25,0,1.5,14.2
86,87,SMU,12,19,177,9.32,0,1.6,14.8
87,88,Georgia Tech,13,14,131,9.36,0,1.1,10.1
88,89,Duke,12,16,150,9.38,1,1.3,12.5
89,90,Memphis,13,7,66,9.43,0,0.5,5.1
90,91,Northwestern,13,24,229,9.54,0,1.8,17.6
91,92,South Carolina,13,26,249,9.58,0,2.0,19.2
92,93,Louisville,13,19,183,9.63,0,1.5,14.1
93,94,Kansas,12,25,241,9.64,1,2.1,20.1
94,95,Nevada,12,13,127,9.77,0,1.1,10.6
95,96,Florida,13,29,284,9.79,1,2.2,21.8
96,97,Connecticut,12,16,157,9.81,0,1.3,13.1
97,98,Hawai'i,14,29,292,10.07,1,2.1,20.9
98,99,Rutgers,12,35,366,10.46,2,2.9,30.5
99,100,Florida International,12,14,147,10.50,0,1.2,12.3
100,101,UCF,13,18,191,10.61,1,1.4,14.7
101,102,Cincinnati,12,13,138,10.62,1,1.1,11.5
102,103,Alabama,15,20,213,10.65,0,1.3,14.2
103,104,Nebraska,13,21,224,10.67,0,1.6,17.2
104,105,Iowa,13,12,134,11.17,0,0.9,10.3
105,106,UCLA,12,23,258,11.22,1,1.9,21.5
106,107,Buffalo,12,21,236,11.24,1,1.8,19.7
107,108,East Carolina,12,17,192,11.29,1,1.4,16.0
108,109,Illinois,12,24,273,11.38,1,2.0,22.8
109,110,Arizona,12,21,241,11.48,0,1.8,20.1
110,111,UNLV,12,24,282,11.75,1,2.0,23.5
111,112,Mississippi,12,15,177,11.80,1,1.3,14.8
112,113,California,12,27,320,11.85,1,2.3,26.7
113,114,Georgia State,12,30,373,12.43,2,2.5,31.1
114,115,Appalachian State,13,12,150,12.50,0,0.9,11.5
115,116,Navy,14,5,63,12.60,0,0.4,4.5
116,117,Tennessee,13,12,152,12.67,1,0.9,11.7
117,118,Colorado,14,26,341,13.12,3,1.9,24.4
118,119,San Jose State,12,23,308,13.39,0,1.9,25.7
119,120,Mississippi State,13,9,133,14.78,1,0.7,10.2
120,121,North Carolina State,13,9,134,14.89,0,0.7,10.3
121,122,Louisiana Tech,14,12,180,15.00,1,0.9,12.9
122,123,Notre Dame,12,21,316,15.05,2,1.8,26.3
123,124,New Mexico State,12,30,471,15.70,4,2.5,39.3
124,125,Utah State,12,10,165,16.50,1,0.8,13.8
125,126,Old Dominion,13,8,133,16.63,0,0.6,10.2
126,127,Florida State,13,15,279,18.60,1,1.2,21.5
127,128,Louisiana-Lafayette,13,8,195,24.38,1,0.6,15.0
