,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,Florida State,13,57,55,96.49,44,77.19,11,19.30
1,2,Western Michigan,14,68,65,95.59,49,72.06,16,23.53
2,3,Washington,14,58,55,94.83,44,75.86,11,18.97
3,4,BYU,13,55,52,94.55,33,60.00,19,34.55
4,5,Colorado State,13,53,50,94.34,42,79.25,8,15.09
5,6,Vanderbilt,13,46,43,93.48,32,69.57,11,23.91
6,7,Middle Tennessee,13,59,55,93.22,45,76.27,10,16.95
7,8,Iowa State,12,41,38,92.68,24,58.54,14,34.15
8,9,Kansas State,13,62,57,91.94,43,69.35,14,22.58
9,10,Arizona State,12,47,43,91.49,33,70.21,10,21.28
10,11,UCF,13,35,32,91.43,23,65.71,9,25.71
11,12,Michigan,13,68,62,91.18,44,64.71,18,26.47
12,13,Wyoming,14,53,48,90.57,40,75.47,8,15.09
13,14,Texas Tech,12,63,57,90.48,46,73.02,11,17.46
14,14,UNLV,12,42,38,90.48,26,61.90,12,28.57
15,16,Toledo,13,51,46,90.20,36,70.59,10,19.61
16,17,Wake Forest,13,40,36,90.00,20,50.00,16,40.00
17,18,Navy,14,69,62,89.86,55,79.71,7,10.14
18,19,Hawai'i,14,49,44,89.80,33,67.35,11,22.45
19,20,Rice,12,39,35,89.74,28,71.79,7,17.95
20,21,Eastern Michigan,13,57,51,89.47,36,63.16,15,26.32
21,22,Tulsa,13,66,59,89.39,41,62.12,18,27.27
22,23,New Mexico,13,47,42,89.36,35,74.47,7,14.89
23,24,Alabama,15,65,58,89.23,40,61.54,18,27.69
24,25,Oklahoma State,13,69,61,88.41,43,62.32,18,26.09
25,26,Air Force,13,60,53,88.33,36,60.00,17,28.33
26,27,Virginia Tech,14,68,60,88.24,42,61.76,18,26.47
27,28,Oklahoma,13,59,52,88.14,41,69.49,11,18.64
28,28,Colorado,14,59,52,88.14,38,64.41,14,23.73
29,30,UTSA,13,50,44,88.00,34,68.00,10,20.00
30,30,San Diego State,14,50,44,88.00,30,60.00,14,28.00
31,32,Idaho,13,58,51,87.93,33,56.90,18,31.03
32,33,Iowa,13,41,36,87.80,27,65.85,9,21.95
33,34,Tennessee,13,49,43,87.76,36,73.47,7,14.29
34,35,Minnesota,13,56,49,87.50,38,67.86,11,19.64
35,35,Louisiana-Lafayette,13,48,42,87.50,27,56.25,15,31.25
36,37,Troy,13,55,48,87.27,36,65.45,12,21.82
37,38,Appalachian State,13,47,41,87.23,28,59.57,13,27.66
38,39,Georgia Southern,12,39,34,87.18,21,53.85,13,33.33
39,40,Ohio State,13,62,54,87.10,40,64.52,14,22.58
40,41,California,12,54,47,87.04,32,59.26,15,27.78
41,42,Oregon State,12,38,33,86.84,26,68.42,7,18.42
