,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,California,12,107,921,8.9,76.8
1,2,Oregon,12,97,878,8.1,73.2
2,3,Arizona,12,102,877,8.5,73.1
3,4,Washington State,13,98,948,7.5,72.9
4,5,SMU,12,92,866,7.7,72.2
5,6,Bowling Green,12,90,861,7.5,71.8
6,7,Toledo,13,85,901,6.5,69.3
7,8,Northern Illinois,12,83,825,6.9,68.8
8,9,West Virginia,13,95,891,7.3,68.5
9,10,Marshall,12,81,820,6.8,68.3
10,11,Clemson,15,118,1012,7.9,67.5
11,12,Massachusetts,12,83,806,6.9,67.2
12,13,Rice,12,91,800,7.6,66.7
13,13,Charlotte,12,89,800,7.4,66.7
14,15,Tulsa,13,99,861,7.6,66.2
15,15,Akron,12,80,794,6.7,66.2
16,17,Hawai'i,14,96,915,6.9,65.4
17,18,Texas State,12,93,783,7.8,65.3
18,19,Utah State,12,86,778,7.2,64.8
19,20,Purdue,12,85,767,7.1,63.9
20,21,UCLA,12,81,765,6.8,63.8
21,22,Ohio,14,91,886,6.5,63.3
22,23,Penn State,14,101,884,7.2,63.1
23,24,Troy,13,99,816,7.6,62.8
24,25,Louisiana-Monroe,12,87,751,7.3,62.6
25,26,North Texas,13,92,808,7.1,62.2
26,27,Texas Tech,12,78,741,6.5,61.8
27,28,North Carolina,13,94,802,7.2,61.7
28,29,Boise State,13,99,801,7.6,61.6
29,30,Miami (Florida),13,92,800,7.1,61.5
30,30,Texas,12,83,738,6.9,61.5
31,32,Kansas State,13,85,793,6.5,61.0
32,33,Louisiana Tech,14,89,852,6.4,60.9
33,34,Arizona State,12,82,723,6.8,60.3
34,35,Memphis,13,85,777,6.5,59.8
35,36,Virginia Tech,14,114,830,8.1,59.3
36,37,Florida State,13,86,768,6.6,59.1
37,38,Southern Mississippi,13,86,760,6.6,58.5
38,39,Stanford,13,87,757,6.7,58.2
39,40,Kansas,12,78,696,6.5,58.0
40,41,Mississippi,12,82,691,6.8,57.6
41,42,BYU,13,82,747,6.3,57.5
42,43,UCF,13,80,741,6.2,57.0
43,44,Middle Tennessee,13,79,739,6.1,56.8
44,44,Louisville,13,77,738,5.9,56.8
45,46,Maryland,13,81,737,6.2,56.7
46,47,Indiana,13,88,735,6.8,56.5
47,48,South Carolina,13,83,730,6.4,56.2
48,49,East Carolina,12,76,673,6.3,56.1
49,50,Vanderbilt,13,80,726,6.2,55.8
50,51,Western Kentucky,14,96,780,6.9,55.7
51,52,Wyoming,14,84,770,6.0,55.0
52,53,Arkansas State,13,89,713,6.8,54.8
53,54,Virginia,12,71,656,5.9,54.7
54,55,Nevada,12,72,654,6.0,54.5
55,56,New Mexico State,12,71,653,5.9,54.4
56,57,Oregon State,12,70,652,5.8,54.3
57,58,Eastern Michigan,13,73,704,5.6,54.2
58,59,Oklahoma,13,87,703,6.7,54.1
59,59,Pittsburgh,13,82,703,6.3,54.1
60,61,Idaho,13,81,695,6.2,53.5
61,62,Appalachian State,13,77,694,5.9,53.4
62,63,Louisiana-Lafayette,13,80,689,6.2,53.0
63,64,San Jose State,12,66,628,5.5,52.3
64,65,Fresno State,12,69,624,5.8,52.0
65,66,Georgia State,12,70,623,5.8,51.9
66,67,Tennessee,13,83,672,6.4,51.7
67,67,Colorado,14,81,724,5.8,51.7
68,69,Kentucky,13,84,668,6.5,51.4
69,70,Syracuse,12,64,614,5.3,51.2
70,71,Florida International,12,70,611,5.8,50.9
71,72,UTSA,13,76,656,5.8,50.5
72,72,Notre Dame,12,68,606,5.7,50.5
73,74,Washington,14,86,704,6.1,50.3
74,74,Georgia Southern,12,61,603,5.1,50.3
75,76,North Carolina State,13,78,651,6.0,50.1
