,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Alabama,15,39,6,2,2,0,0,0,0,0
1,2,Air Force,13,41,16,10,5,4,2,0,0,0
2,3,Iowa,13,42,11,8,5,2,0,0,0,0
3,3,LSU,12,42,9,3,0,0,0,0,0,0
4,5,San Diego State,14,43,7,2,2,1,1,0,0,0
5,6,Boston College,13,45,17,10,6,5,2,0,0,0
6,7,Michigan State,12,46,16,8,6,3,2,0,0,0
7,8,BYU,13,47,8,1,1,0,0,0,0,0
8,8,North Carolina State,13,47,14,7,3,2,2,0,0,0
9,10,Western Kentucky,14,48,9,4,2,1,1,1,0,0
10,10,Wisconsin,14,48,11,4,1,1,0,0,0,0
11,12,Connecticut,12,49,14,5,2,1,0,0,0,0
12,12,Eastern Michigan,13,49,12,6,5,2,1,0,0,0
13,12,Washington State,13,49,16,6,4,4,2,2,1,0
14,15,Appalachian State,13,50,10,4,3,2,1,1,1,0
15,15,Louisiana-Lafayette,13,50,10,4,2,1,0,0,0,0
16,17,Ohio,14,51,13,6,1,0,0,0,0,0
17,18,Auburn,13,52,13,5,2,2,1,1,1,0
18,18,Troy,13,52,11,4,3,2,1,1,0,0
19,18,UCLA,12,52,12,8,5,3,2,0,0,0
20,18,USC,13,52,14,8,5,4,3,3,0,0
21,18,Washington,14,52,9,6,4,4,3,2,0,0
22,23,Army,13,53,14,5,4,2,0,0,0,0
23,23,Kansas State,13,53,13,4,1,0,0,0,0,0
24,23,Pittsburgh,13,53,14,8,8,3,2,0,0,0
25,26,Houston,13,54,14,5,1,0,0,0,0,0
26,26,Louisville,13,54,9,4,2,1,1,1,0,0
27,26,Ohio State,13,54,18,7,2,2,2,0,0,0
28,29,Charlotte,12,55,10,4,1,1,1,0,0,0
29,29,Georgia,13,55,15,7,3,0,0,0,0,0
30,29,Minnesota,13,55,16,4,3,2,1,1,0,0
31,29,Nebraska,13,55,23,13,8,3,1,1,0,0
32,33,Ball State,12,56,22,8,7,5,2,1,0,0
33,34,Miami (Ohio),13,57,14,5,4,1,1,1,0,0
34,34,Michigan,13,57,16,9,5,2,2,2,1,0
35,34,Virginia Tech,14,57,20,8,6,3,1,0,0,0
36,34,West Virginia,13,57,14,4,3,2,0,0,0,0
37,38,Central Michigan,13,58,17,12,10,6,3,2,1,0
38,38,Cincinnati,12,58,11,5,3,2,1,0,0,0
39,38,Temple,14,58,13,9,7,5,3,1,0,0
40,41,Northwestern,13,59,18,7,3,2,0,0,0,0
41,42,Idaho,13,60,19,4,2,1,0,0,0,0
42,43,Arkansas State,13,61,18,10,6,3,3,0,0,0
43,43,Colorado,14,61,18,8,4,1,0,0,0,0
44,43,Mississippi State,13,61,21,12,7,5,4,2,1,0
45,46,Georgia State,12,64,12,3,3,0,0,0,0,0
46,46,Stanford,13,64,13,4,2,1,0,0,0,0
47,48,Georgia Tech,13,65,14,5,4,2,1,1,0,0
48,48,New Mexico,13,65,22,12,6,4,3,3,1,0
49,48,Tulane,12,65,21,9,6,3,2,0,0,0
50,48,Utah,13,65,17,7,1,1,0,0,0,0
51,52,Duke,12,66,20,11,9,6,2,2,2,0
