,Rank,Name,G,Int.,Yards,TD,Int./G
0,1,San Diego State,14,26,364,5,1.86
1,2,Troy,13,22,239,0,1.69
2,2,Wisconsin,14,22,252,1,1.57
3,4,Ohio State,13,21,443,7,1.62
4,4,BYU,13,21,372,3,1.62
5,6,Appalachian State,13,20,271,2,1.54
6,6,Clemson,15,20,309,2,1.33
7,8,Washington,14,19,222,2,1.36
8,9,SMU,12,18,416,4,1.50
9,9,Utah,13,18,150,2,1.38
10,11,Cincinnati,12,17,218,1,1.42
11,11,Idaho,13,17,130,1,1.31
12,11,Army,13,17,98,0,1.31
13,14,Charlotte,12,16,155,1,1.33
14,14,Florida,13,16,321,4,1.23
15,14,Kansas State,13,16,205,3,1.23
16,14,Memphis,13,16,200,3,1.23
17,14,Northwestern,13,16,163,0,1.23
18,14,Nebraska,13,16,122,2,1.23
19,14,Virginia Tech,14,16,64,0,1.14
20,14,Alabama,15,16,398,6,1.07
21,22,UCLA,12,15,205,1,1.25
22,22,Missouri,12,15,170,2,1.25
23,22,UCF,13,15,295,4,1.15
24,22,South Florida,13,15,233,2,1.15
25,22,Louisville,13,15,228,1,1.15
26,22,Air Force,13,15,145,1,1.15
27,22,Georgia,13,15,108,1,1.15
28,22,South Carolina,13,15,37,0,1.15
29,22,Florida State,13,15,37,0,1.15
30,22,Western Michigan,14,15,372,4,1.07
31,22,Wyoming,14,15,349,3,1.07
32,22,Colorado,14,15,203,1,1.07
33,22,Ohio,14,15,202,0,1.07
34,35,Northern Illinois,12,14,75,0,1.17
35,35,Mississippi State,13,14,300,3,1.08
36,35,Stanford,13,14,261,3,1.08
37,35,North Texas,13,14,221,2,1.08
38,35,Oklahoma State,13,14,193,0,1.08
39,35,West Virginia,13,14,134,1,1.08
40,35,USC,13,14,131,1,1.08
41,35,Miami (Ohio),13,14,98,1,1.08
42,35,Western Kentucky,14,14,252,1,1.00
43,44,New Mexico State,12,13,138,1,1.08
44,44,Central Michigan,13,13,178,4,1.00
45,44,Michigan,13,13,147,3,1.00
46,44,Indiana,13,13,142,2,1.00
47,44,Kentucky,13,13,129,1,1.00
48,49,Purdue,12,12,272,1,1.00
49,49,Tulane,12,12,216,1,1.00
50,49,Kent State,12,12,157,0,1.00
51,49,Baylor,13,12,310,2,0.92
52,49,Wake Forest,13,12,213,2,0.92
53,49,Washington State,13,12,160,0,0.92
54,49,Boston College,13,12,149,1,0.92
55,49,Texas A&M,13,12,19,0,0.92
56,49,Temple,14,12,130,0,0.86
57,58,California,12,11,173,1,0.92
58,58,Georgia State,12,11,91,2,0.92
59,58,Middle Tennessee,13,11,175,2,0.85
60,58,Eastern Michigan,13,11,155,1,0.85
61,58,Georgia Tech,13,11,137,1,0.85
62,58,Arkansas State,13,11,136,1,0.85
63,58,Tennessee,13,11,120,1,0.85
64,58,Auburn,13,11,83,0,0.85
65,58,Old Dominion,13,11,76,1,0.85
66,58,Hawai'i,14,11,78,1,0.79
67,68,San Jose State,12,10,149,0,0.83
68,68,Kansas,12,10,131,1,0.83
69,68,Texas,12,10,101,0,0.83
70,68,Syracuse,12,10,93,1,0.83
71,68,Florida Atlantic,12,10,84,1,0.83
72,68,Duke,12,10,50,1,0.83
73,68,Arkansas,13,10,229,4,0.77
74,68,Tulsa,13,10,184,3,0.77
75,68,Southern Mississippi,13,10,180,2,0.77
76,68,North Carolina State,13,10,130,2,0.77
77,68,Louisiana-Lafayette,13,10,120,1,0.77
78,68,South Alabama,13,10,89,1,0.77
79,68,Penn State,14,10,126,1,0.71
80,81,Arizona State,12,9,203,1,0.75
81,81,Oregon,12,9,154,0,0.75
82,81,Bowling Green,12,9,135,1,0.75
83,81,Iowa State,12,9,90,1,0.75
84,81,LSU,12,9,80,1,0.75
85,81,Virginia,12,9,70,0,0.75
86,81,Georgia Southern,12,9,39,0,0.75
87,81,Pittsburgh,13,9,182,3,0.69
88,81,Oklahoma,13,9,157,2,0.69
89,81,Minnesota,13,9,136,1,0.69
90,81,Iowa,13,9,56,1,0.69
91,81,Louisiana Tech,14,9,127,1,0.64
92,93,Mississippi,12,8,150,2,0.67
93,93,Michigan State,12,8,129,2,0.67
94,93,Akron,12,8,107,1,0.67
95,93,Marshall,12,8,107,0,0.67
96,93,Rutgers,12,8,97,1,0.67
97,93,Notre Dame,12,8,73,0,0.67
98,93,Arizona,12,8,32,0,0.67
99,93,New Mexico,13,8,86,2,0.62
100,93,Colorado State,13,8,85,1,0.62
101,93,TCU,13,8,80,1,0.62
102,93,Miami (Florida),13,8,58,0,0.62
103,104,Oregon State,12,7,181,1,0.58
104,104,Illinois,12,7,133,1,0.58
105,104,Utah State,12,7,63,0,0.58
106,104,Ball State,12,7,42,0,0.58
107,104,Connecticut,12,7,6,0,0.58
108,104,Houston,13,7,132,2,0.54
109,104,Boise State,13,7,114,1,0.54
110,104,UTSA,13,7,24,0,0.54
111,104,Navy,14,7,60,2,0.50
112,113,Florida International,12,6,106,1,0.50
113,113,UTEP,12,6,47,0,0.50
114,113,Louisiana-Monroe,12,6,24,0,0.50
115,113,Toledo,13,6,19,0,0.46
116,117,UNLV,12,5,102,1,0.42
117,117,Nevada,12,5,101,0,0.42
118,117,East Carolina,12,5,44,0,0.42
119,117,Rice,12,5,23,1,0.42
120,117,Texas Tech,12,5,15,0,0.42
121,117,Fresno State,12,5,0,0,0.42
122,117,Buffalo,12,5,0,0,0.42
123,117,Vanderbilt,13,5,63,0,0.38
124,117,Maryland,13,5,54,1,0.38
125,126,Massachusetts,12,4,84,0,0.33
126,127,Texas State,12,3,53,1,0.25
127,128,North Carolina,13,1,58,1,0.08
