,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Texas Tech,12,92,238,30,360,30.0
1,2,Tulsa,13,182,165,26,373,28.7
2,3,California,12,103,197,35,335,27.9
3,4,Clemson,15,133,235,35,403,26.9
4,5,Washington State,13,84,225,31,340,26.2
5,6,Louisiana Tech,14,119,210,29,358,25.6
6,7,Baylor,13,174,141,14,329,25.3
7,7,Oklahoma,13,136,176,17,329,25.3
8,9,Western Michigan,14,187,149,17,353,25.2
9,10,Texas,12,157,122,22,301,25.1
10,11,Louisville,13,152,150,23,325,25.0
11,12,Middle Tennessee,13,111,186,26,323,24.8
12,12,USC,13,135,164,23,322,24.8
13,12,Mississippi,12,99,177,22,298,24.8
14,15,Florida State,13,149,143,29,321,24.7
15,16,Western Kentucky,14,139,184,21,344,24.6
16,17,Ball State,12,141,139,14,294,24.5
17,18,Missouri,12,144,130,18,292,24.3
18,19,Toledo,13,122,168,25,315,24.2
19,19,West Virginia,13,135,152,27,314,24.2
20,19,Houston,13,121,178,15,314,24.2
21,22,Ohio State,13,176,116,20,312,24.0
22,23,East Carolina,12,92,177,18,287,23.9
23,24,Oklahoma State,13,116,174,18,308,23.7
24,25,Virginia Tech,14,134,172,24,330,23.6
25,25,Southern Mississippi,13,121,157,29,307,23.6
26,27,Northern Illinois,12,136,122,24,282,23.5
27,28,Colorado,14,149,149,30,328,23.4
28,29,Eastern Michigan,13,115,167,21,303,23.3
29,29,Memphis,13,102,174,27,303,23.3
30,29,Oregon,12,122,134,24,280,23.3
31,29,Bowling Green,12,125,127,27,279,23.3
32,33,Air Force,13,230,56,16,302,23.2
33,34,South Florida,13,164,121,15,300,23.1
34,34,Troy,13,119,154,27,300,23.1
35,34,Boise State,13,115,167,18,300,23.1
36,37,BYU,13,141,130,28,299,23.0
37,38,TCU,13,125,150,21,296,22.8
38,39,Washington,14,142,154,20,316,22.6
39,40,Colorado State,13,144,130,18,292,22.5
40,41,Appalachian State,13,156,114,21,291,22.4
41,42,Wyoming,14,146,142,24,312,22.3
42,42,Syracuse,12,79,163,26,268,22.3
43,44,Arkansas,13,116,150,22,288,22.2
44,44,New Mexico State,12,119,120,27,266,22.2
45,46,Mississippi State,13,142,124,21,287,22.1
46,47,Auburn,13,173,97,16,286,22.0
47,48,Utah,13,144,118,23,285,21.9
48,49,Army,13,232,38,14,284,21.8
49,49,North Carolina State,13,110,154,20,284,21.8
50,49,Michigan,13,143,120,20,283,21.8
51,49,North Carolina,13,96,168,19,283,21.8
