,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,Florida,13,66,4276,64.79,48,72.73,3,2
1,2,Oregon,12,78,5039,64.60,52,66.67,1,0
2,3,Florida Atlantic,12,61,3937,64.54,42,68.85,1,2
3,4,Virginia Tech,14,93,6001,64.53,73,78.49,0,2
4,5,Tennessee,13,83,5349,64.45,45,54.22,4,0
5,6,Georgia Southern,12,66,4252,64.42,45,68.18,2,2
6,7,Arizona State,12,79,5087,64.39,60,75.95,0,3
7,8,New Mexico,13,84,5381,64.06,69,82.14,1,2
8,8,Texas A&M,13,80,5125,64.06,57,71.25,2,3
9,10,Florida State,13,91,5823,63.99,57,62.64,1,0
10,11,Wake Forest,13,63,4030,63.97,32,50.79,2,1
11,12,Stanford,13,71,4539,63.93,44,61.97,2,0
12,13,UTEP,12,54,3446,63.81,34,62.96,0,2
13,14,North Carolina,13,82,5231,63.79,47,57.32,1,1
14,15,Auburn,13,83,5291,63.75,63,75.90,0,1
15,16,Memphis,13,94,5988,63.70,64,68.09,2,2
16,17,Michigan,13,95,6045,63.63,53,55.79,0,0
17,18,Nebraska,13,70,4452,63.60,32,45.71,0,0
18,19,Appalachian State,13,76,4831,63.57,48,63.16,1,0
19,20,Miami (Florida),13,88,5584,63.45,52,59.09,2,1
20,21,Kansas,12,53,3356,63.32,30,56.60,2,1
21,22,Wisconsin,14,81,5126,63.28,51,62.96,1,0
22,23,North Texas,13,60,3794,63.23,34,56.67,1,3
23,24,Oklahoma,13,100,6322,63.22,49,49.00,0,1
24,25,Boise State,13,79,4993,63.20,40,50.63,2,1
25,26,Georgia Tech,13,74,4676,63.19,55,74.32,0,0
26,27,USC,13,86,5432,63.16,43,50.00,3,0
27,28,Marshall,12,56,3535,63.13,29,51.79,5,4
28,29,Mississippi,12,79,4982,63.06,32,40.51,2,2
29,30,Oklahoma State,13,96,6050,63.02,41,42.71,2,0
30,31,Alabama,15,110,6930,63.00,52,47.27,1,0
31,32,Texas Tech,12,91,5730,62.97,48,52.75,3,4
32,33,Houston,13,84,5281,62.87,37,44.05,4,4
33,34,Connecticut,12,43,2700,62.79,29,67.44,1,2
34,35,San Diego State,14,94,5891,62.67,33,35.11,1,0
35,36,Baylor,13,81,5062,62.49,22,27.16,4,2
36,37,Texas,12,73,4557,62.42,27,36.99,2,1
37,38,UCLA,12,62,3865,62.34,20,32.26,4,0
38,39,New Mexico State,12,59,3675,62.29,27,45.76,1,1
39,40,Colorado,14,85,5290,62.24,42,49.41,4,1
40,41,Iowa,13,64,3982,62.22,42,65.63,1,0
41,42,Iowa State,12,67,4160,62.09,35,52.24,1,2
42,43,Kansas State,13,81,5027,62.06,35,43.21,4,2
43,44,Illinois,12,51,3164,62.04,20,39.22,2,0
44,45,Wyoming,14,88,5452,61.95,34,38.64,2,0
45,46,Colorado State,13,75,4635,61.80,41,54.67,2,7
46,47,Georgia,13,67,4140,61.79,24,35.82,1,0
47,48,Minnesota,13,77,4756,61.77,38,49.35,8,0
48,49,Northern Illinois,12,68,4200,61.76,20,29.41,4,0
49,50,Missouri,12,69,4261,61.75,44,63.77,3,1
50,51,Penn State,14,101,6236,61.74,46,45.54,5,0
51,52,Utah,13,77,4749,61.68,34,44.16,4,1
52,53,Pittsburgh,13,93,5727,61.58,26,27.96,1,0
53,54,North Carolina State,13,68,4180,61.47,16,23.53,5,0
54,55,Western Kentucky,14,110,6761,61.46,27,24.55,2,1
55,56,Vanderbilt,13,62,3810,61.45,15,24.19,8,0
