,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Alabama,15,476,959,2.01,5,31.73,63.93
1,2,Western Kentucky,14,456,1361,2.98,16,32.57,97.21
2,3,Wisconsin,14,421,1383,3.29,9,30.07,98.79
3,4,Houston,13,447,1302,2.91,16,34.38,100.15
4,5,Ohio,14,495,1462,2.95,12,35.36,104.43
5,6,San Diego State,14,480,1480,3.08,10,34.29,105.71
6,7,Boston College,13,422,1411,3.34,15,32.46,108.54
7,8,North Carolina State,13,424,1412,3.33,18,32.62,108.62
8,9,BYU,13,431,1467,3.40,14,33.15,112.85
9,10,Air Force,13,436,1484,3.40,20,33.54,114.15
10,11,Kansas State,13,400,1495,3.74,11,30.77,115.00
11,12,Louisville,13,483,1497,3.10,7,37.15,115.15
12,13,LSU,12,429,1407,3.28,7,35.75,117.25
13,14,Minnesota,13,453,1532,3.38,12,34.85,117.85
14,15,Michigan,13,481,1550,3.22,9,37.00,119.23
15,16,Pittsburgh,13,436,1555,3.57,28,33.54,119.62
16,17,Troy,13,462,1562,3.38,13,35.54,120.15
17,18,Army,13,406,1576,3.88,17,31.23,121.23
18,19,Ohio State,13,481,1610,3.35,8,37.00,123.85
19,20,Appalachian State,13,415,1637,3.94,15,31.92,125.92
20,21,Florida State,13,457,1664,3.64,19,35.15,128.00
21,22,Utah,13,428,1673,3.91,13,32.92,128.69
22,23,Louisiana-Lafayette,13,490,1679,3.43,19,37.69,129.15
23,24,Clemson,15,525,1944,3.70,20,35.00,129.60
24,25,Temple,14,510,1825,3.58,17,36.43,130.36
25,26,Miami (Florida),13,499,1711,3.43,10,38.38,131.62
26,27,Auburn,13,462,1726,3.74,8,35.54,132.77
27,28,Washington,14,514,1875,3.65,16,36.71,133.93
28,29,Washington State,13,428,1745,4.08,21,32.92,134.23
29,30,Northwestern,13,478,1809,3.78,20,36.77,139.15
30,31,USC,13,448,1815,4.05,16,34.46,139.62
31,32,Virginia Tech,14,524,1967,3.75,22,37.43,140.50
32,33,Wake Forest,13,485,1851,3.82,20,37.31,142.38
33,34,Arkansas State,13,522,1864,3.57,13,40.15,143.38
34,35,Charlotte,12,406,1721,4.24,24,33.83,143.42
35,36,Georgia,13,470,1868,3.97,24,36.15,143.69
36,37,Florida,13,488,1875,3.84,16,37.54,144.23
37,38,Miami (Ohio),13,468,1877,4.01,21,36.00,144.38
38,39,Stanford,13,457,1878,4.11,15,35.15,144.46
39,40,Idaho,13,445,1883,4.23,17,34.23,144.85
40,41,Connecticut,12,448,1753,3.91,19,37.33,146.08
41,42,Louisiana Tech,14,524,2047,3.91,27,37.43,146.21
42,43,Nebraska,13,433,1922,4.44,22,33.31,147.85
43,44,Colorado,14,512,2085,4.07,14,36.57,148.93
44,45,Iowa,13,492,1947,3.96,10,37.85,149.77
45,46,Southern Mississippi,13,427,1949,4.56,28,32.85,149.92
46,47,Ball State,12,405,1807,4.46,15,33.75,150.58
47,48,Penn State,14,551,2118,3.84,22,39.36,151.29
48,49,Western Michigan,14,455,2150,4.73,17,32.50,153.57
49,50,Old Dominion,13,503,2043,4.06,25,38.69,157.15
50,51,Michigan State,12,460,1904,4.14,21,38.33,158.67
51,52,Tulane,12,472,1911,4.05,20,39.33,159.25
52,53,Indiana,13,554,2085,3.76,20,42.62,160.38
53,54,UTSA,13,487,2112,4.34,21,37.46,162.46
54,55,Oklahoma,13,465,2114,4.55,15,35.77,162.62
55,56,Arizona State,12,399,1957,4.90,25,33.25,163.08
