,Rank,Name,G,Total Time,Time/G
0,1,Wisconsin,14,489:35,34:58.21
1,2,Arkansas,13,451:28,34:43.69
2,3,Army,13,449:49,34:36.08
3,4,Air Force,13,442:44,34:03.38
4,5,Western Michigan,14,476:36,34:02.57
5,6,New Mexico,13,440:54,33:54.92
6,7,Utah,13,439:28,33:48.31
7,8,Georgia,13,438:16,33:42.77
8,9,Appalachian State,13,436:46,33:35.85
9,10,Temple,14,469:35,33:32.50
10,11,Boston College,13,435:04,33:28.00
11,12,Southern Mississippi,13,434:56,33:27.38
12,13,Ohio State,13,431:15,33:10.38
13,14,Houston,13,429:50,33:03.85
14,15,Michigan,13,429:38,33:02.92
15,16,Florida State,13,428:00,32:55.38
16,17,Stanford,13,426:09,32:46.85
17,18,BYU,13,424:37,32:39.77
18,19,Georgia Southern,12,391:51,32:39.25
19,20,Kansas State,13,423:42,32:35.54
20,21,Washington State,13,421:35,32:25.77
21,22,Miami (Ohio),13,421:12,32:24.00
22,23,Tulane,12,388:42,32:23.50
23,24,Central Michigan,13,420:17,32:19.77
24,25,Oklahoma,13,419:30,32:16.15
25,26,Nebraska,13,418:07,32:09.77
26,27,Idaho,13,417:14,32:05.69
27,28,USC,13,414:45,31:54.23
28,29,North Carolina State,13,413:59,31:50.69
29,30,Vanderbilt,13,413:28,31:48.31
30,31,Michigan State,12,380:21,31:41.75
31,32,Wyoming,14,442:02,31:34.43
32,33,Florida International,12,378:49,31:34.08
33,34,UTSA,13,408:47,31:26.69
34,35,Duke,12,377:06,31:25.50
35,36,San Diego State,14,439:18,31:22.71
36,37,Virginia Tech,14,437:35,31:15.36
37,38,Florida,13,405:51,31:13.15
38,39,Navy,14,436:39,31:11.36
39,40,LSU,12,373:33,31:07.75
40,41,Minnesota,13,404:23,31:06.38
41,42,Washington,14,434:44,31:03.14
42,43,Ball State,12,372:36,31:03.00
43,44,Ohio,14,433:52,30:59.43
44,45,Troy,13,402:15,30:56.54
45,46,Alabama,15,463:59,30:55.93
46,47,Pittsburgh,13,401:33,30:53.31
47,48,Texas Tech,12,370:22,30:51.83
48,49,Colorado,14,431:53,30:50.93
49,50,Wake Forest,13,400:38,30:49.08
50,51,Eastern Michigan,13,400:18,30:47.54
51,52,San Jose State,12,369:27,30:47.25
52,53,Oregon State,12,369:24,30:47.00
53,54,SMU,12,367:33,30:37.75
54,55,Clemson,15,459:01,30:36.07
55,56,Rice,12,365:04,30:25.33
56,57,Georgia Tech,13,393:45,30:17.31
57,58,Arizona State,12,362:14,30:11.17
58,59,Toledo,13,392:20,30:10.77
59,60,UTEP,12,362:08,30:10.67
60,61,East Carolina,12,361:56,30:09.67
61,62,South Carolina,13,389:17,29:56.69
62,63,Iowa,13,388:30,29:53.08
63,64,Connecticut,12,358:29,29:52.42
64,65,Marshall,12,358:18,29:51.50
65,66,Kentucky,13,388:06,29:51.23
66,67,Tulsa,13,386:05,29:41.92
67,68,Louisiana-Lafayette,13,386:02,29:41.69
68,69,Old Dominion,13,385:43,29:40.23
69,70,Iowa State,12,355:53,29:39.42
70,71,Hawai'i,14,413:50,29:33.57
71,72,South Alabama,13,383:34,29:30.31
72,73,Louisiana-Monroe,12,353:19,29:26.58
73,74,Purdue,12,351:53,29:19.42
74,75,Colorado State,13,380:58,29:18.31
75,76,Nevada,12,351:27,29:17.25
76,77,Auburn,13,379:21,29:10.85
77,78,West Virginia,13,378:36,29:07.38
78,79,Arkansas State,13,377:25,29:01.92
79,80,Virginia,12,348:05,29:00.42
80,81,Charlotte,12,347:54,28:59.50
81,82,Kent State,12,347:38,28:58.17
82,83,Notre Dame,12,347:10,28:55.83
83,84,Mississippi State,13,375:06,28:51.23
84,85,Oklahoma State,13,375:00,28:50.77
85,86,Western Kentucky,14,403:44,28:50.29
86,87,Fresno State,12,345:44,28:48.67
87,88,Louisville,13,374:08,28:46.77
88,89,Syracuse,12,344:21,28:41.75
89,90,Bowling Green,12,344:00,28:40.00
90,91,Northwestern,13,372:21,28:38.54
91,92,UNLV,12,341:17,28:26.42
92,93,Louisiana Tech,14,397:18,28:22.71
93,94,California,12,339:38,28:18.17
94,95,Texas,12,339:12,28:16.00
95,96,Middle Tennessee,13,365:40,28:07.69
96,97,Indiana,13,365:36,28:07.38
97,98,TCU,13,365:22,28:06.31
98,99,Boise State,13,364:17,28:01.31
99,100,Miami (Florida),13,363:44,27:58.77
100,101,Kansas,12,333:37,27:48.08
101,102,Maryland,13,361:05,27:46.54
102,103,Northern Illinois,12,333:16,27:46.33
103,104,Penn State,14,388:17,27:44.07
104,105,Florida Atlantic,12,332:36,27:43.00
105,106,North Texas,13,357:33,27:30.23
106,107,UCF,13,356:49,27:26.85
107,108,Tennessee,13,356:13,27:24.08
108,109,Memphis,13,353:55,27:13.46
109,110,Rutgers,12,326:02,27:10.17
110,111,Baylor,13,351:11,27:00.85
111,112,Buffalo,12,323:42,26:58.50
112,113,Massachusetts,12,323:39,26:58.25
113,114,South Florida,13,348:35,26:48.85
114,115,Texas State,12,321:19,26:46.58
115,116,Utah State,12,321:00,26:45.00
116,117,UCLA,12,320:54,26:44.50
117,118,New Mexico State,12,318:57,26:34.75
118,119,Texas A&M,13,344:38,26:30.62
119,120,Cincinnati,12,317:57,26:29.75
120,121,Illinois,12,313:20,26:06.67
121,122,Akron,12,311:47,25:58.92
122,123,Mississippi,12,311:13,25:56.08
123,124,Arizona,12,310:05,25:50.42
124,125,Oregon,12,308:48,25:44.00
125,126,Georgia State,12,306:52,25:34.33
126,127,North Carolina,13,317:05,24:23.46
127,128,Missouri,12,291:38,24:18.17
