,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,San Diego State,14,35,984,28.11,3,2.5,70.3
1,2,North Carolina,13,33,890,26.97,2,2.5,68.5
2,3,Western Kentucky,14,48,1280,26.67,1,3.4,91.4
3,4,Pittsburgh,13,39,1037,26.59,3,3.0,79.8
4,5,Memphis,13,47,1249,26.57,3,3.6,96.1
5,6,Kansas State,13,38,991,26.08,1,2.9,76.2
6,7,Iowa,13,32,831,25.97,0,2.5,63.9
7,8,South Carolina,13,32,825,25.78,1,2.5,63.5
8,9,Air Force,13,20,508,25.40,1,1.5,39.1
9,10,Louisiana Tech,14,57,1436,25.19,3,4.1,102.6
10,11,Tennessee,13,42,1045,24.88,1,3.2,80.4
11,12,Duke,12,40,982,24.55,1,3.3,81.8
12,13,Ohio State,13,28,682,24.36,0,2.2,52.5
13,14,TCU,13,43,1025,23.84,0,3.3,78.8
14,15,Minnesota,13,39,928,23.79,1,3.0,71.4
15,16,Oregon,12,45,1065,23.67,1,3.8,88.8
16,17,Vanderbilt,13,36,850,23.61,0,2.8,65.4
17,18,Texas A&M,13,41,967,23.59,0,3.2,74.4
18,19,Virginia,12,37,865,23.38,0,3.1,72.1
19,20,Utah,13,27,631,23.37,1,2.1,48.5
20,21,Oklahoma,13,35,815,23.29,1,2.7,62.7
21,22,USC,13,40,929,23.23,2,3.1,71.5
22,23,North Carolina State,13,37,858,23.19,1,2.8,66.0
23,24,Navy,14,48,1111,23.15,0,3.4,79.4
24,25,Northwestern,13,29,671,23.14,1,2.2,51.6
25,26,Iowa State,12,44,1017,23.11,1,3.7,84.8
26,27,Notre Dame,12,38,877,23.08,2,3.2,73.1
27,28,Georgia State,12,32,737,23.03,1,2.7,61.4
28,29,Northern Illinois,12,45,1034,22.98,1,3.8,86.2
29,30,UTSA,13,37,847,22.89,0,2.8,65.2
30,31,Oregon State,12,37,845,22.84,1,3.1,70.4
31,32,Colorado,14,24,548,22.83,0,1.7,39.1
32,33,Boston College,13,30,683,22.77,1,2.3,52.5
33,34,New Mexico,13,38,864,22.74,1,2.9,66.5
34,35,Mississippi,12,37,839,22.68,0,3.1,69.9
35,36,Florida State,13,33,745,22.58,0,2.5,57.3
36,37,Troy,13,37,831,22.46,1,2.8,63.9
37,38,Florida Atlantic,12,62,1386,22.35,0,5.2,115.5
38,39,Florida,13,26,580,22.31,1,2.0,44.6
39,40,Tulane,12,32,712,22.25,1,2.7,59.3
40,41,Wyoming,14,33,734,22.24,0,2.4,52.4
41,42,Kentucky,13,39,863,22.13,0,3.0,66.4
42,43,Old Dominion,13,40,881,22.03,0,3.1,67.8
43,44,Hawai'i,14,64,1403,21.92,0,4.6,100.2
44,45,Temple,14,28,613,21.89,0,2.0,43.8
45,46,Arizona State,12,56,1213,21.66,1,4.7,101.1
46,47,Nebraska,13,32,687,21.47,0,2.5,52.8
47,48,Virginia Tech,14,44,943,21.43,0,3.1,67.4
48,49,Georgia Tech,13,27,578,21.41,1,2.1,44.5
49,50,Fresno State,12,41,877,21.39,0,3.4,73.1
50,51,Marshall,12,60,1279,21.32,1,5.0,106.6
51,52,Arkansas State,13,27,575,21.30,0,2.1,44.2
52,53,Clemson,15,34,723,21.26,0,2.3,48.2
53,54,BYU,13,33,700,21.21,0,2.5,53.8
54,55,Miami (Florida),13,21,445,21.19,0,1.6,34.2
55,56,Houston,13,37,783,21.16,1,2.8,60.2
56,56,West Virginia,13,32,677,21.16,0,2.5,52.1
57,58,UCLA,12,40,844,21.10,0,3.3,70.3
58,59,Louisiana-Monroe,12,43,907,21.09,0,3.6,75.6
59,60,Ohio,14,42,885,21.07,0,3.0,63.2
60,61,Washington,14,31,650,20.97,2,2.2,46.4
61,62,UCF,13,40,838,20.95,1,3.1,64.5
62,63,Ball State,12,42,878,20.90,0,3.5,73.2
63,64,Maryland,13,42,874,20.81,0,3.2,67.2
64,65,Western Michigan,14,43,894,20.79,1,3.1,63.9
65,66,Washington State,13,37,768,20.76,1,2.8,59.1
66,67,Michigan State,12,30,621,20.70,0,2.5,51.8
67,68,Mississippi State,13,42,868,20.67,0,3.2,66.8
68,69,Appalachian State,13,34,702,20.65,1,2.6,54.0
69,70,Louisville,13,40,825,20.63,0,3.1,63.5
70,70,Oklahoma State,13,27,557,20.63,0,2.1,42.8
71,72,Massachusetts,12,59,1213,20.56,0,4.9,101.1
72,73,Boise State,13,31,635,20.48,0,2.4,48.8
73,74,Purdue,12,41,836,20.39,0,3.4,69.7
74,74,Nevada,12,28,571,20.39,0,2.3,47.6
75,76,Colorado State,13,35,711,20.31,0,2.7,54.7
76,77,Tulsa,13,40,810,20.25,0,3.1,62.3
77,78,California,12,53,1072,20.23,0,4.4,89.3
78,79,Syracuse,12,64,1293,20.20,0,5.3,107.8
79,80,Georgia,13,29,585,20.17,1,2.2,45.0
80,81,Georgia Southern,12,51,1026,20.12,0,4.3,85.5
81,82,Eastern Michigan,13,49,979,19.98,0,3.8,75.3
82,83,Cincinnati,12,36,716,19.89,0,3.0,59.7
83,84,Florida International,12,45,893,19.84,0,3.8,74.4
84,85,South Alabama,13,34,674,19.82,1,2.6,51.8
85,86,Penn State,14,49,965,19.69,0,3.5,68.9
86,87,Charlotte,12,52,1023,19.67,0,4.3,85.3
87,88,Rice,12,33,648,19.64,0,2.8,54.0
88,89,Alabama,15,28,547,19.54,0,1.9,36.5
89,90,North Texas,13,48,937,19.52,0,3.7,72.1
90,91,San Jose State,12,44,855,19.43,0,3.7,71.3
91,92,Miami (Ohio),13,44,854,19.41,0,3.4,65.7
92,93,Indiana,13,52,1008,19.38,0,4.0,77.5
93,94,Baylor,13,35,670,19.14,0,2.7,51.5
94,95,LSU,12,24,459,19.13,0,2.0,38.3
95,96,Wisconsin,14,27,515,19.07,0,1.9,36.8
96,97,Utah State,12,36,686,19.06,0,3.0,57.2
97,98,Rutgers,12,41,781,19.05,1,3.4,65.1
98,99,South Florida,13,45,857,19.04,0,3.5,65.9
99,99,Auburn,13,23,438,19.04,0,1.8,33.7
100,101,Wake Forest,13,34,647,19.03,0,2.6,49.8
101,102,Central Michigan,13,59,1122,19.02,0,4.5,86.3
102,103,Connecticut,12,39,740,18.97,0,3.3,61.7
