,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,Texas A&M,13,14,355,25.36,4,1.1,27.3
1,2,Western Kentucky,14,15,269,17.93,3,1.1,19.2
2,3,Akron,12,17,298,17.53,3,1.4,24.8
3,4,Syracuse,12,18,313,17.39,0,1.5,26.1
4,5,Alabama,15,34,528,15.53,4,2.3,35.2
5,6,USC,13,27,414,15.33,2,2.1,31.8
6,7,Pittsburgh,13,17,253,14.88,1,1.3,19.5
7,8,Michigan,13,25,357,14.28,2,1.9,27.5
8,9,Washington State,13,21,283,13.48,1,1.6,21.8
9,10,Georgia Southern,12,16,207,12.94,0,1.3,17.3
10,11,Iowa,13,33,412,12.48,1,2.5,31.7
11,12,Boston College,13,26,321,12.35,0,2.0,24.7
12,13,Miami (Florida),13,21,243,11.57,1,1.6,18.7
13,14,Missouri,12,26,293,11.27,1,2.2,24.4
14,15,Western Michigan,14,20,225,11.25,1,1.4,16.1
15,16,Washington,14,26,292,11.23,2,1.9,20.9
16,17,Nevada,12,9,101,11.22,0,0.8,8.4
17,18,Tennessee,13,33,367,11.12,1,2.5,28.2
18,19,Air Force,13,9,99,11.00,1,0.7,7.6
19,20,Georgia Tech,13,12,131,10.92,0,0.9,10.1
20,21,Appalachian State,13,17,185,10.88,0,1.3,14.2
21,22,Oklahoma State,13,14,152,10.86,0,1.1,11.7
22,23,Kansas State,13,21,227,10.81,1,1.6,17.5
23,24,Auburn,13,16,171,10.69,0,1.2,13.2
24,25,Georgia,13,23,245,10.65,1,1.8,18.8
25,26,Temple,14,18,190,10.56,0,1.3,13.6
26,27,Louisiana Tech,14,17,178,10.47,0,1.2,12.7
27,28,Arizona State,12,23,236,10.26,1,1.9,19.7
28,29,Oklahoma,13,12,122,10.17,1,0.9,9.4
29,30,South Florida,13,24,238,9.92,1,1.8,18.3
30,31,Toledo,13,24,237,9.88,2,1.8,18.2
31,32,TCU,13,23,227,9.87,1,1.8,17.5
32,32,Florida International,12,15,148,9.87,0,1.3,12.3
33,34,Virginia,12,22,216,9.82,0,1.8,18.0
34,35,Texas State,12,21,205,9.76,0,1.8,17.1
35,36,Navy,14,15,146,9.73,0,1.1,10.4
36,37,Baylor,13,23,223,9.70,0,1.8,17.2
37,38,Colorado,14,32,310,9.69,1,2.3,22.1
38,39,Texas Tech,12,18,171,9.50,0,1.5,14.3
39,40,UTEP,12,23,217,9.43,1,1.9,18.1
40,41,Iowa State,12,24,226,9.42,0,2.0,18.8
41,42,Southern Mississippi,13,27,252,9.33,1,2.1,19.4
42,43,Old Dominion,13,22,204,9.27,0,1.7,15.7
43,44,Notre Dame,12,21,191,9.10,0,1.8,15.9
44,45,North Texas,13,18,163,9.06,1,1.4,12.5
45,46,Troy,13,22,199,9.05,1,1.7,15.3
46,47,San Diego State,14,30,271,9.03,0,2.1,19.4
47,48,Tulsa,13,25,224,8.96,0,1.9,17.2
48,49,Maryland,13,25,223,8.92,2,1.9,17.2
49,50,Idaho,13,15,133,8.87,2,1.2,10.2
50,51,North Carolina State,13,15,132,8.80,1,1.2,10.2
51,52,Marshall,12,17,148,8.71,0,1.4,12.3
52,53,Colorado State,13,21,179,8.52,1,1.6,13.8
53,54,BYU,13,24,204,8.50,0,1.8,15.7
54,55,Arkansas,13,17,143,8.41,0,1.3,11.0
55,56,Duke,12,21,175,8.33,0,1.8,14.6
56,56,Memphis,13,21,175,8.33,0,1.6,13.5
57,58,Kentucky,13,16,131,8.19,1,1.2,10.1
58,59,Louisiana-Monroe,12,12,98,8.17,0,1.0,8.2
59,60,Louisville,13,26,211,8.12,1,2.0,16.2
60,61,Virginia Tech,14,43,343,7.98,1,3.1,24.5
61,62,Clemson,15,35,278,7.94,0,2.3,18.5
62,63,North Carolina,13,17,134,7.88,0,1.3,10.3
63,63,Hawai'i,14,8,63,7.88,0,0.6,4.5
64,65,Massachusetts,12,13,102,7.85,0,1.1,8.5
65,66,LSU,12,24,186,7.75,1,2.0,15.5
