,Rank,Name,G,Att.,Made,Pct.,Att/G,Made/G
0,1,Hawai'i,14,13,13,100.0,0.9,0.9
1,2,Mississippi,12,23,22,95.7,1.9,1.8
2,3,Georgia Southern,12,20,19,95.0,1.7,1.6
3,4,Iowa State,12,17,16,94.1,1.4,1.3
4,5,UNLV,12,15,14,93.3,1.3,1.2
5,6,Texas Tech,12,14,13,92.9,1.2,1.1
6,7,New Mexico,13,13,12,92.3,1.0,0.9
7,8,Arizona State,12,25,23,92.0,2.1,1.9
8,9,Minnesota,13,24,22,91.7,1.8,1.7
9,9,Penn State,14,24,22,91.7,1.7,1.6
10,11,San Diego State,14,23,21,91.3,1.6,1.5
11,12,Akron,12,11,10,90.9,0.9,0.8
12,13,Idaho,13,29,26,89.7,2.2,2.0
13,14,San Jose State,12,18,16,88.9,1.5,1.3
14,15,Fresno State,12,17,15,88.2,1.4,1.3
15,15,Georgia Tech,13,17,15,88.2,1.3,1.2
16,17,Air Force,13,25,22,88.0,1.9,1.7
17,18,Auburn,13,32,28,87.5,2.5,2.2
18,19,Temple,14,29,25,86.2,2.1,1.8
19,20,Old Dominion,13,14,12,85.7,1.1,0.9
20,21,California,12,26,22,84.6,2.2,1.8
21,22,Kentucky,13,19,16,84.2,1.5,1.2
22,22,Middle Tennessee,13,19,16,84.2,1.5,1.2
23,24,Utah,13,25,21,84.0,1.9,1.6
24,24,Florida,13,25,21,84.0,1.9,1.6
25,26,Southern Mississippi,13,18,15,83.3,1.4,1.2
26,27,Ohio,14,35,29,82.9,2.5,2.1
27,28,Stanford,13,27,22,81.5,2.1,1.7
28,28,Louisiana Tech,14,27,22,81.5,1.9,1.6
29,30,Tulsa,13,26,21,80.8,2.0,1.6
30,30,Miami (Florida),13,26,21,80.8,2.0,1.6
31,30,Memphis,13,26,21,80.8,2.0,1.6
32,33,Houston,13,20,16,80.0,1.5,1.2
33,33,Washington,14,20,16,80.0,1.4,1.1
34,33,Nebraska,13,15,12,80.0,1.2,0.9
35,33,Navy,14,10,8,80.0,0.7,0.6
36,37,Eastern Michigan,13,24,19,79.2,1.8,1.5
37,37,Louisiana-Lafayette,13,24,19,79.2,1.8,1.5
38,37,Michigan,13,24,19,79.2,1.8,1.5
39,37,Western Michigan,14,24,19,79.2,1.7,1.4
40,41,Ball State,12,19,15,78.9,1.6,1.3
41,41,Michigan State,12,19,15,78.9,1.6,1.3
42,41,New Mexico State,12,19,15,78.9,1.6,1.3
43,41,Vanderbilt,13,19,15,78.9,1.5,1.2
44,41,Kansas State,13,19,15,78.9,1.5,1.2
45,46,Troy,13,23,18,78.3,1.8,1.4
46,47,Wake Forest,13,27,21,77.8,2.1,1.6
47,48,UCF,13,22,17,77.3,1.7,1.3
48,48,Ohio State,13,22,17,77.3,1.7,1.3
49,50,Oklahoma State,13,26,20,76.9,2.0,1.5
50,50,BYU,13,26,20,76.9,2.0,1.5
51,50,South Florida,13,13,10,76.9,1.0,0.8
52,53,Notre Dame,12,17,13,76.5,1.4,1.1
53,53,Arkansas,13,17,13,76.5,1.3,1.0
54,53,South Carolina,13,17,13,76.5,1.3,1.0
55,56,Louisville,13,25,19,76.0,1.9,1.5
56,57,Alabama,15,29,22,75.9,1.9,1.5
57,58,SMU,12,24,18,75.0,2.0,1.5
58,58,Florida International,12,16,12,75.0,1.3,1.0
59,58,Boston College,13,16,12,75.0,1.2,0.9
60,58,Bowling Green,12,12,9,75.0,1.0,0.8
61,58,Oregon,12,12,9,75.0,1.0,0.8
62,63,Wisconsin,14,27,20,74.1,1.9,1.4
63,64,Clemson,15,19,14,73.7,1.3,0.9
64,65,LSU,12,15,11,73.3,1.3,0.9
65,65,Colorado State,13,15,11,73.3,1.2,0.8
66,67,Connecticut,12,18,13,72.2,1.5,1.1
67,68,East Carolina,12,25,18,72.0,2.1,1.5
68,68,TCU,13,25,18,72.0,1.9,1.4
69,68,USC,13,25,18,72.0,1.9,1.4
70,71,Florida State,13,28,20,71.4,2.2,1.5
71,71,Virginia Tech,14,28,20,71.4,2.0,1.4
72,71,North Carolina,13,21,15,71.4,1.6,1.2
73,71,Appalachian State,13,21,15,71.4,1.6,1.2
74,71,Purdue,12,14,10,71.4,1.2,0.8
75,71,Rutgers,12,14,10,71.4,1.2,0.8
76,71,Florida Atlantic,12,14,10,71.4,1.2,0.8
77,71,Iowa,13,14,10,71.4,1.1,0.8
78,71,UTEP,12,7,5,71.4,0.6,0.4
79,80,Texas,12,24,17,70.8,2.0,1.4
