,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Alabama,15,959,2968,983,3927,3.99,261.8
1,1,Michigan,13,1550,1853,809,3403,4.21,261.8
2,3,Temple,14,1825,2130,852,3955,4.64,282.5
3,4,Army,13,1576,2213,744,3789,5.09,291.5
4,5,Florida,13,1875,1931,816,3806,4.66,292.8
5,6,Ohio State,13,1610,2239,882,3849,4.36,296.1
6,7,Wisconsin,14,1383,2836,857,4219,4.92,301.4
7,8,Clemson,15,1944,2728,1008,4672,4.63,311.5
8,9,Boston College,13,1411,2673,803,4084,5.09,314.2
9,10,LSU,12,1407,2366,793,3773,4.76,314.4
10,11,San Diego State,14,1480,2936,925,4416,4.77,315.4
11,12,Washington,14,1875,2561,963,4436,4.61,316.9
12,13,Houston,13,1302,2853,866,4155,4.80,319.6
13,14,Louisville,13,1497,2692,894,4189,4.69,322.2
14,15,Southern Mississippi,13,1949,2274,739,4223,5.71,324.8
15,16,Georgia,13,1868,2389,809,4257,5.26,327.5
16,17,Appalachian State,13,1637,2649,859,4286,4.99,329.7
17,18,Virginia Tech,14,1967,2803,955,4770,4.99,340.7
18,19,Colorado,14,2085,2710,984,4795,4.87,342.5
19,20,Miami (Florida),13,1711,2779,945,4490,4.75,345.4
20,21,Minnesota,13,1532,3002,940,4534,4.82,348.8
21,22,Florida State,13,1664,2874,861,4538,5.27,349.1
22,23,Iowa,13,1947,2618,893,4565,5.11,351.2
23,24,North Carolina State,13,1412,3174,894,4586,5.13,352.8
24,25,Miami (Ohio),13,1877,2715,876,4592,5.24,353.2
25,26,Western Michigan,14,2150,2801,850,4951,5.82,353.6
26,27,Ohio,14,1462,3581,984,5043,5.13,360.2
27,28,Auburn,13,1726,2979,928,4705,5.07,361.9
28,29,Arkansas State,13,1864,2853,946,4717,4.99,362.8
29,30,Nebraska,13,1922,2806,855,4728,5.53,363.7
30,31,Tulane,12,1911,2463,816,4374,5.36,364.5
31,32,Michigan State,12,1904,2474,792,4378,5.53,364.8
32,32,Air Force,13,1484,3259,819,4743,5.79,364.8
33,34,BYU,13,1467,3278,860,4745,5.52,365.0
34,35,Troy,13,1562,3203,944,4765,5.05,366.5
35,36,USC,13,1815,2958,887,4773,5.38,367.2
