,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Fresno State,12,68,28,18,10,4,2,0,0,0
1,2,Michigan,13,73,27,16,7,3,2,2,1,1
2,3,Florida,13,76,30,17,8,3,1,0,0,0
3,3,Southern Mississippi,13,76,34,22,13,7,5,4,1,0
4,5,Utah State,12,79,30,16,7,2,2,0,0,0
5,6,Nevada,12,80,24,12,6,3,0,0,0,0
6,6,Rutgers,12,80,35,19,8,3,1,0,0,0
7,8,San Jose State,12,81,36,18,11,5,2,1,0,0
8,9,Army,13,82,32,14,6,2,1,0,0,0
9,10,Buffalo,12,83,36,17,8,2,2,1,0,0
10,11,Notre Dame,12,88,31,12,8,7,6,2,0,0
11,11,Temple,14,88,27,14,7,3,0,0,0,0
12,13,Kent State,12,89,35,17,7,1,0,0,0,0
13,13,Ohio State,13,89,30,15,2,2,1,0,0,0
14,15,LSU,12,90,35,16,10,6,2,2,1,1
15,15,Louisiana-Monroe,12,90,35,21,13,6,5,2,0,0
16,15,North Carolina,13,90,34,16,9,5,2,1,1,0
17,18,Georgia,13,91,32,15,6,4,3,1,0,0
18,18,Georgia State,12,91,28,9,0,0,0,0,0,0
19,20,Boston College,13,92,38,22,10,7,3,1,0,0
20,21,East Carolina,12,94,41,25,15,5,3,1,1,0
21,21,Michigan State,12,94,36,17,10,3,0,0,0,0
22,21,Tulane,12,94,39,22,11,4,0,0,0,0
23,24,South Alabama,13,96,31,15,7,4,3,3,1,0
24,24,UTEP,12,96,41,13,7,2,1,1,0,0
25,26,Illinois,12,97,32,11,3,0,0,0,0,0
26,26,Iowa,13,97,34,16,10,7,3,2,1,0
27,28,North Texas,13,98,37,21,12,8,4,3,1,0
28,28,Washington,14,98,33,10,3,2,1,0,0,0
29,30,Clemson,15,99,39,15,10,4,1,0,0,0
30,30,Duke,12,99,54,29,15,9,3,2,1,0
31,30,Miami (Florida),13,99,35,12,8,4,1,1,0,0
32,33,Colorado State,13,100,45,21,8,4,2,1,0,0
33,34,Oregon State,12,101,38,16,8,4,2,0,0,0
34,35,Miami (Ohio),13,102,33,13,6,3,2,2,0,0
35,35,Nebraska,13,102,28,13,6,5,4,4,2,1
36,35,Purdue,12,102,43,15,7,1,0,0,0,0
37,38,Boise State,13,103,37,17,5,3,1,0,0,0
38,38,Kansas,12,103,34,18,9,4,2,2,1,0
39,38,Mississippi,12,103,39,18,8,3,2,0,0,0
40,38,UCF,13,103,39,16,8,6,3,2,0,0
41,38,Virginia Tech,14,103,44,22,7,5,4,4,1,0
42,43,Appalachian State,13,104,27,13,9,8,3,0,0,0
43,44,Georgia Southern,12,105,47,21,6,3,2,0,0,0
44,44,USC,13,105,36,20,14,7,4,3,0,0
45,46,Arkansas,13,106,39,21,13,5,3,1,1,1
46,46,Cincinnati,12,106,47,13,5,2,0,0,0,0
47,46,New Mexico,13,106,41,24,17,7,3,1,0,0
48,46,UCLA,12,106,26,12,3,0,0,0,0,0
49,50,Colorado,14,107,37,18,11,2,0,0,0,0
50,50,Indiana,13,107,41,22,12,5,3,2,1,0
51,50,Kentucky,13,107,37,17,11,6,2,2,0,0
52,50,San Diego State,14,107,44,25,9,2,1,1,0,0
53,50,TCU,13,107,45,26,11,7,6,3,2,0
54,55,Alabama,15,108,47,19,9,4,2,1,0,0
55,55,Baylor,13,108,49,25,14,6,4,2,2,0
56,55,California,12,108,47,25,5,3,2,0,0,0
57,55,Iowa State,12,108,37,21,9,5,3,2,0,0
58,55,Maryland,13,108,40,17,5,3,2,2,0,0
59,55,Minnesota,13,108,41,18,6,6,3,2,2,0
60,61,Rice,12,109,51,34,24,14,11,10,6,1
61,61,Toledo,13,109,34,16,9,6,4,4,3,1
62,63,Louisville,13,110,40,18,7,5,3,2,0,0
63,63,Wake Forest,13,110,37,23,13,7,2,1,0,0
64,63,Western Michigan,14,110,39,17,9,4,2,1,0,0
65,66,Air Force,13,111,60,33,21,7,3,3,0,0
66,66,SMU,12,111,39,18,9,5,3,2,0,0
67,66,South Carolina,13,111,32,10,2,2,1,1,0,0
68,66,Stanford,13,111,41,15,8,2,2,2,0,0
69,70,Florida State,13,112,47,23,9,3,1,1,1,0
70,70,Houston,13,112,42,14,5,5,5,0,0,0
71,72,Akron,12,113,37,24,8,2,0,0,0,0
72,72,Auburn,13,113,42,16,5,3,1,0,0,0
73,72,Florida Atlantic,12,113,48,25,13,8,6,3,1,0
74,72,Oklahoma State,13,113,41,24,13,9,5,1,1,0
75,76,Old Dominion,13,114,47,18,10,4,1,0,0,0
76,76,Wisconsin,14,114,37,18,9,3,3,2,0,0
77,78,Georgia Tech,13,115,38,12,4,2,2,1,0,0
78,79,Missouri,12,116,48,19,9,5,2,0,0,0
79,80,Florida International,12,117,46,15,8,2,1,0,0,0
80,81,Arkansas State,13,118,42,19,10,6,4,1,0,0
81,81,New Mexico State,12,118,45,19,14,6,4,3,0,0
82,81,Texas State,12,118,41,17,8,4,2,2,0,0
83,81,Virginia,12,118,50,20,10,5,3,3,1,0
84,85,Central Michigan,13,119,38,13,5,3,1,1,1,0
85,85,UNLV,12,119,47,22,10,3,2,1,1,0
86,85,UTSA,13,119,43,26,10,6,3,2,0,0
87,88,Penn State,14,120,35,13,5,4,3,0,0,0
88,88,Tennessee,13,120,47,24,10,4,1,1,0,0
89,90,Bowling Green,12,121,46,23,14,9,6,2,0,0
90,90,Northern Illinois,12,121,47,22,5,3,1,1,0,0
91,92,Texas,12,122,47,22,8,4,1,1,0,0
92,93,Kansas State,13,123,44,23,14,7,5,4,4,1
93,93,Utah,13,123,48,25,14,8,4,3,0,0
94,95,Marshall,12,124,49,22,9,4,1,1,0,0
95,95,North Carolina State,13,124,40,18,8,4,3,2,1,0
96,97,Arizona,12,125,37,23,12,6,3,1,0,0
97,97,BYU,13,125,41,20,11,7,4,4,0,0
98,97,Connecticut,12,125,43,22,10,3,0,0,0,0
99,97,Hawai'i,14,125,50,24,5,3,1,0,0,0
100,97,Massachusetts,12,125,38,15,10,4,1,1,1,0
101,97,Troy,13,125,45,22,9,3,2,0,0,0
102,97,Tulsa,13,125,41,22,12,7,5,3,1,0
103,104,Eastern Michigan,13,126,42,27,14,8,5,2,1,0
104,104,Oklahoma,13,126,45,25,17,11,7,2,0,0
105,104,Oregon,12,126,37,15,7,3,2,0,0,0
106,104,Texas A&M,13,126,44,18,9,4,3,1,0,0
107,104,West Virginia,13,126,49,22,12,5,4,2,0,0
108,109,Memphis,13,127,39,17,7,3,1,0,0,0
109,110,Northwestern,13,130,39,20,7,5,3,1,1,0
110,110,Vanderbilt,13,130,35,13,7,6,5,4,3,1
111,112,Syracuse,12,132,49,19,13,12,7,3,0,0
112,113,Navy,14,134,52,23,14,7,4,3,0,0
113,114,Middle Tennessee,13,135,43,16,8,3,1,1,0,0
114,115,Louisiana-Lafayette,13,136,44,21,9,4,1,0,0,0
115,115,Ohio,14,136,47,17,9,5,4,4,1,1
116,117,Wyoming,14,138,57,25,12,4,2,1,0,0
117,118,South Florida,13,140,46,24,15,5,2,2,0,0
118,119,Washington State,13,143,41,20,14,6,3,1,0,0
119,120,Ball State,12,144,53,28,12,5,4,3,0,0
120,120,Charlotte,12,144,51,23,14,5,3,2,0,0
121,122,Idaho,13,148,50,26,14,9,6,2,0,0
122,123,Arizona State,12,150,55,30,22,15,11,5,1,0
123,123,Louisiana Tech,14,150,58,25,9,3,2,0,0,0
124,125,Mississippi State,13,152,59,21,10,5,1,0,0,0
125,126,Texas Tech,12,154,50,27,13,9,2,2,1,0
126,127,Western Kentucky,14,155,51,24,16,9,4,2,0,0
127,128,Pittsburgh,13,160,60,30,16,6,4,4,3,1
