,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,Alabama,15,21,16,19,1,0,195,13.0
1,2,Michigan,13,22,10,17,1,1,183,14.1
2,3,Ohio State,13,22,16,21,0,0,201,15.5
3,4,Wisconsin,14,24,17,23,0,0,218,15.6
4,5,LSU,12,16,25,12,3,0,189,15.8
5,6,Florida,13,27,10,26,0,0,218,16.8
6,7,Auburn,13,23,21,21,0,0,222,17.1
7,8,Washington,14,30,12,28,1,1,248,17.7
8,9,Appalachian State,13,28,12,28,0,0,232,17.8
9,10,Clemson,15,34,12,30,0,0,270,18.0
10,11,Temple,14,33,10,28,1,0,258,18.4
11,12,Miami (Florida),13,28,15,28,0,0,241,18.5
12,13,Iowa,13,30,12,29,0,0,245,18.8
13,14,BYU,13,33,8,30,1,0,254,19.5
14,15,Army,13,33,10,30,0,0,258,19.8
15,15,Western Michigan,14,35,11,34,0,0,277,19.8
16,17,San Diego State,14,37,8,35,1,0,283,20.2
17,18,Stanford,13,33,12,29,1,0,265,20.4
18,19,Arkansas State,13,31,21,28,0,1,279,21.5
19,20,Colorado,14,36,17,35,0,1,304,21.7
20,21,Minnesota,13,35,15,28,1,1,287,22.1
21,21,Troy,13,36,12,35,0,0,287,22.1
22,23,Wake Forest,13,37,10,34,0,1,288,22.2
23,23,Northwestern,13,34,18,27,1,1,289,22.2
24,25,Kansas State,13,37,9,35,1,2,290,22.3
25,26,Ohio,14,38,17,36,1,0,317,22.6
26,27,North Carolina State,13,34,20,30,1,0,296,22.8
27,27,Virginia Tech,14,41,11,38,1,0,319,22.8
28,29,Boise State,13,35,18,31,3,1,303,23.3
29,30,Houston,13,37,15,34,1,1,305,23.5
30,31,Louisville,13,38,13,34,2,2,309,23.8
31,31,Miami (Ohio),13,39,13,36,0,0,309,23.8
32,33,Utah,13,39,14,35,0,0,311,23.9
33,33,Nebraska,13,40,12,31,1,1,311,23.9
34,35,West Virginia,13,37,18,32,2,0,312,24.0
35,35,Vanderbilt,13,37,19,33,0,0,312,24.0
36,35,Georgia,13,41,9,39,0,0,312,24.0
37,38,USC,13,41,10,39,0,0,315,24.2
38,39,Georgia Tech,13,40,12,38,1,1,318,24.5
39,39,Texas A&M,13,38,19,32,1,0,319,24.5
40,41,UCF,13,40,14,36,1,0,320,24.6
41,41,Western Kentucky,14,43,15,41,0,0,344,24.6
42,43,North Carolina,13,40,13,39,0,3,324,24.9
43,44,Florida State,13,40,15,32,3,1,325,25.0
44,44,Boston College,13,44,6,43,0,0,325,25.0
45,46,Louisiana-Lafayette,13,39,20,33,1,0,329,25.3
46,47,Penn State,14,42,20,40,1,1,356,25.4
47,48,Toledo,13,41,16,40,0,0,334,25.7
48,49,Air Force,13,45,9,40,2,0,341,26.2
49,50,Washington State,13,45,10,41,1,0,343,26.4
50,51,Georgia Southern,12,39,15,37,1,0,318,26.5
51,51,South Carolina,13,44,12,40,2,0,344,26.5
52,51,Oklahoma State,13,46,10,37,1,0,345,26.5
53,54,Georgia State,12,37,19,36,1,1,319,26.6
