,Rank,Name,G,Int.,Passes Broken Up,Passes Defended,Passes Defended/G
0,1,Western Kentucky,14,14,76,90,6.43
1,2,Colorado,14,15,74,89,6.36
2,3,San Diego State,14,26,61,87,6.21
3,4,UCF,13,15,69,84,6.46
4,5,Clemson,15,20,62,82,5.47
5,6,Auburn,13,11,69,80,6.15
6,6,Wisconsin,14,22,58,80,5.71
7,8,Middle Tennessee,13,11,68,79,6.08
8,9,Indiana,13,13,64,77,5.92
9,10,UCLA,12,15,61,76,6.33
10,10,Troy,13,22,54,76,5.85
11,12,Virginia Tech,14,16,59,75,5.36
12,13,USC,13,14,60,74,5.69
13,14,Ohio State,13,21,50,71,5.46
14,14,Utah,13,18,53,71,5.46
15,14,Alabama,15,16,55,71,4.73
16,17,Memphis,13,16,54,70,5.38
17,17,Northwestern,13,16,54,70,5.38
18,17,Texas A&M,13,12,58,70,5.38
19,20,Missouri,12,15,54,69,5.75
20,21,Charlotte,12,16,52,68,5.67
21,21,Ohio,14,15,53,68,4.86
22,23,Michigan,13,13,53,66,5.08
23,24,UNLV,12,5,60,65,5.42
24,24,Stanford,13,14,51,65,5.00
25,24,Miami (Ohio),13,14,51,65,5.00
26,24,West Virginia,13,14,51,65,5.00
27,24,Tulsa,13,10,55,65,5.00
28,29,LSU,12,9,55,64,5.33
29,29,Oklahoma,13,9,55,64,4.92
30,29,Vanderbilt,13,5,59,64,4.92
31,32,BYU,13,21,42,63,4.85
32,32,Iowa,13,9,54,63,4.85
33,34,Baylor,13,12,50,62,4.77
34,35,Nebraska,13,16,45,61,4.69
35,35,Air Force,13,15,46,61,4.69
36,35,Boston College,13,12,49,61,4.69
37,35,North Carolina State,13,10,51,61,4.69
38,35,Washington,14,19,42,61,4.36
39,40,Kansas,12,10,50,60,5.00
40,40,Iowa State,12,9,51,60,5.00
41,40,Kansas State,13,16,44,60,4.62
42,40,Eastern Michigan,13,11,49,60,4.62
43,40,TCU,13,8,52,60,4.62
44,40,Boise State,13,7,53,60,4.62
45,46,Northern Illinois,12,14,45,59,4.92
46,46,Arkansas State,13,11,48,59,4.54
