,Rank,Name,G,Sacks,Sack Yards,Sacks/G
0,1,Alabama,15,54.0,433,3.60
1,2,Florida State,13,51.0,318,3.92
2,3,Clemson,15,49.0,322,3.27
3,4,Boston College,13,47.0,367,3.62
4,5,Michigan,13,46.0,296,3.54
5,6,Ohio,14,44.0,304,3.14
6,6,Louisiana Tech,14,44.0,268,3.14
7,8,Pittsburgh,13,43.0,299,3.31
8,8,TCU,13,43.0,281,3.31
9,8,Arkansas State,13,43.0,265,3.31
10,8,Utah,13,43.0,254,3.31
11,12,Texas,12,41.0,301,3.42
12,12,Wake Forest,13,41.0,301,3.15
13,14,Temple,14,40.0,277,2.86
14,14,Penn State,14,40.0,270,2.86
15,14,Washington,14,40.0,238,2.86
16,17,Houston,13,39.0,278,3.00
17,17,Texas A&M,13,39.0,240,3.00
18,19,San Diego State,14,38.0,246,2.71
19,19,Maryland,13,38.0,244,2.92
20,19,UCF,13,38.0,243,2.92
21,22,North Carolina State,13,37.0,258,2.85
22,22,Minnesota,13,37.0,250,2.85
23,22,Miami (Florida),13,37.0,236,2.85
24,22,Stanford,13,37.0,224,2.85
25,26,Colorado,14,36.0,292,2.57
26,26,LSU,12,36.0,244,3.00
27,28,Southern Mississippi,13,34.0,242,2.62
28,28,Old Dominion,13,34.0,242,2.62
29,28,Wisconsin,14,34.0,218,2.43
30,28,Western Kentucky,14,34.0,211,2.43
31,32,Indiana,13,33.0,220,2.54
32,33,Tulsa,13,32.0,221,2.46
33,33,Oklahoma State,13,32.0,206,2.46
34,33,Baylor,13,32.0,201,2.46
35,33,Virginia Tech,14,32.0,200,2.29
36,33,Ball State,12,32.0,182,2.67
37,38,Florida,13,31.0,208,2.39
38,38,South Florida,13,31.0,195,2.39
39,40,Louisville,13,30.0,250,2.31
40,40,Wyoming,14,30.0,235,2.14
41,40,Tennessee,13,30.0,209,2.31
42,40,Kansas State,13,30.0,208,2.31
43,40,Air Force,13,30.0,202,2.31
44,40,Appalachian State,13,30.0,199,2.31
45,46,SMU,12,29.0,227,2.42
46,46,Georgia,13,29.0,198,2.23
47,46,Colorado State,13,29.0,193,2.23
48,46,Troy,13,29.0,191,2.23
49,46,BYU,13,29.0,185,2.23
50,46,Tulane,12,29.0,179,2.42
51,46,Boise State,13,29.0,168,2.23
52,46,Duke,12,29.0,163,2.42
53,54,Ohio State,13,28.0,202,2.15
54,54,Iowa,13,28.0,184,2.15
55,54,Kansas,12,28.0,183,2.33
56,54,Arizona State,12,28.0,183,2.33
57,54,Western Michigan,14,28.0,176,2.00
58,54,Illinois,12,28.0,151,2.33
59,60,Northwestern,13,27.0,189,2.08
60,60,New Mexico,13,27.0,169,2.08
61,60,UTSA,13,27.0,166,2.08
62,60,Missouri,12,27.0,165,2.25
63,60,Marshall,12,27.0,154,2.25
64,65,USC,13,26.0,186,2.00
65,65,North Texas,13,26.0,184,2.00
66,65,Nebraska,13,26.0,173,2.00
67,65,Army,13,26.0,171,2.00
68,65,South Alabama,13,26.0,167,2.00
69,65,Middle Tennessee,13,26.0,146,2.00
70,71,Louisiana-Lafayette,13,25.0,204,1.92
71,71,Arkansas,13,25.0,186,1.92
72,71,Massachusetts,12,25.0,181,2.08
73,71,Oregon,12,25.0,164,2.08
74,71,North Carolina,13,25.0,164,1.92
75,71,Auburn,13,25.0,161,1.92
76,71,Mississippi State,13,25.0,154,1.92
77,71,Oklahoma,13,25.0,153,1.92
78,71,UCLA,12,25.0,129,2.08
79,71,Virginia,12,25.0,128,2.08
80,81,Miami (Ohio),13,24.0,174,1.85
81,81,Hawai'i,14,24.0,173,1.71
82,81,Idaho,13,24.0,158,1.85
83,84,Bowling Green,12,23.0,168,1.92
84,84,West Virginia,13,23.0,154,1.77
85,84,San Jose State,12,23.0,147,1.92
86,84,Memphis,13,23.0,132,1.77
87,84,Florida Atlantic,12,23.0,127,1.92
88,89,Northern Illinois,12,22.0,159,1.83
89,89,Arizona,12,22.0,145,1.83
90,89,Utah State,12,22.0,103,1.83
91,92,Purdue,12,21.0,187,1.75
92,92,Kentucky,13,21.0,171,1.62
93,92,South Carolina,13,21.0,170,1.62
94,92,Toledo,13,21.0,138,1.62
95,92,Kent State,12,21.0,127,1.75
96,92,Rice,12,21.0,122,1.75
97,92,Eastern Michigan,13,21.0,119,1.62
98,92,Rutgers,12,21.0,110,1.75
99,100,Mississippi,12,20.0,140,1.67
100,100,Navy,14,20.0,134,1.43
101,100,Central Michigan,13,20.0,129,1.54
102,103,Washington State,13,19.0,126,1.46
103,103,UNLV,12,19.0,124,1.58
104,103,Cincinnati,12,19.0,120,1.58
105,103,Iowa State,12,19.0,100,1.58
106,107,Georgia State,12,18.0,111,1.50
107,107,California,12,18.0,108,1.50
108,107,Georgia Tech,13,18.0,92,1.39
109,107,Oregon State,12,18.0,90,1.50
110,111,Buffalo,12,17.0,159,1.42
111,111,Louisiana-Monroe,12,17.0,147,1.42
112,111,Connecticut,12,17.0,102,1.42
113,111,Florida International,12,17.0,79,1.42
114,115,Syracuse,12,16.0,112,1.33
115,115,Akron,12,16.0,105,1.33
116,117,Vanderbilt,13,15.0,78,1.15
117,118,UTEP,12,14.0,94,1.17
118,118,Texas Tech,12,14.0,94,1.17
119,118,Fresno State,12,14.0,94,1.17
120,118,Notre Dame,12,14.0,88,1.17
121,118,Charlotte,12,14.0,78,1.17
122,123,Nevada,12,13.0,80,1.08
123,124,Georgia Southern,12,11.0,92,0.92
124,124,New Mexico State,12,11.0,76,0.92
125,124,Michigan State,12,11.0,71,0.92
126,127,Texas State,12,9.0,48,0.75
127,128,East Carolina,12,8.0,47,0.67
