,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,Navy,14,39,341,2.8,24.4
1,2,Connecticut,12,43,339,3.6,28.3
2,3,Northwestern,13,47,389,3.6,29.9
3,4,Wisconsin,14,48,455,3.4,32.5
4,5,Ball State,12,48,426,4.0,35.5
5,6,Auburn,13,61,475,4.7,36.5
6,7,San Jose State,12,52,439,4.3,36.6
7,8,Purdue,12,52,447,4.3,37.3
8,9,Boise State,13,56,491,4.3,37.8
9,10,Wake Forest,13,61,501,4.7,38.5
10,11,Georgia Tech,13,57,502,4.4,38.6
11,12,Nevada,12,52,482,4.3,40.2
12,13,Duke,12,62,485,5.2,40.4
13,14,LSU,12,58,492,4.8,41.0
14,15,Iowa,13,65,537,5.0,41.3
15,16,Georgia,13,74,547,5.7,42.1
16,17,Army,13,62,548,4.8,42.2
17,18,Houston,13,58,554,4.5,42.6
18,19,Rutgers,12,63,516,5.3,43.0
19,19,Buffalo,12,63,516,5.3,43.0
20,21,Temple,14,75,604,5.4,43.1
21,22,Mississippi,12,59,520,4.9,43.3
22,23,East Carolina,12,60,521,5.0,43.4
23,24,Wyoming,14,66,615,4.7,43.9
24,25,Old Dominion,13,66,572,5.1,44.0
25,25,Alabama,15,86,660,5.7,44.0
26,27,Vanderbilt,13,67,575,5.2,44.2
27,28,Penn State,14,68,622,4.9,44.4
28,29,Washington,14,73,628,5.2,44.9
29,29,Kent State,12,63,539,5.3,44.9
30,31,Cincinnati,12,55,544,4.6,45.3
31,32,Louisiana-Monroe,12,50,545,4.2,45.4
32,33,Michigan,13,63,593,4.8,45.6
33,34,UTEP,12,67,550,5.6,45.8
34,35,Western Michigan,14,69,647,4.9,46.2
35,36,Kentucky,13,66,605,5.1,46.5
36,37,South Carolina,13,65,606,5.0,46.6
37,38,Virginia Tech,14,71,656,5.1,46.9
38,39,Colorado,14,76,661,5.4,47.2
39,39,Rice,12,69,566,5.8,47.2
40,41,Mississippi State,13,68,617,5.2,47.5
41,42,Florida International,12,64,574,5.3,47.8
42,43,Florida Atlantic,12,63,577,5.3,48.1
43,44,Louisiana Tech,14,71,675,5.1,48.2
44,45,Georgia State,12,73,581,6.1,48.4
45,46,Central Michigan,13,62,630,4.8,48.5
46,47,Oklahoma State,13,69,643,5.3,49.5
47,48,Pittsburgh,13,74,647,5.7,49.8
48,49,New Mexico State,12,76,600,6.3,50.0
49,50,Ohio State,13,82,658,6.3,50.6
50,51,UNLV,12,67,614,5.6,51.2
51,52,Arizona State,12,66,624,5.5,52.0
52,52,SMU,12,69,624,5.8,52.0
53,54,Oklahoma,13,66,679,5.1,52.2
54,55,Arkansas,13,80,680,6.2,52.3
55,56,Air Force,13,67,681,5.2,52.4
56,57,Tulsa,13,78,684,6.0,52.6
57,58,Texas A&M,13,81,685,6.2,52.7
58,59,Indiana,13,79,686,6.1,52.8
59,60,Notre Dame,12,78,638,6.5,53.2
60,61,Illinois,12,75,639,6.3,53.3
61,62,Nebraska,13,75,695,5.8,53.5
62,63,Ohio,14,79,752,5.6,53.7
63,64,Colorado State,13,79,704,6.1,54.2
64,65,Stanford,13,85,707,6.5,54.4
65,66,Kansas,12,71,654,5.9,54.5
66,67,Kansas State,13,88,710,6.8,54.6
67,68,Tulane,12,77,661,6.4,55.1
68,69,Miami (Ohio),13,88,720,6.8,55.4
69,70,Idaho,13,73,725,5.6,55.8
70,70,Fresno State,12,76,669,6.3,55.8
71,72,UCF,13,91,729,7.0,56.1
72,73,Middle Tennessee,13,78,730,6.0,56.2
73,73,Louisiana-Lafayette,13,94,730,7.2,56.2
74,75,Tennessee,13,80,735,6.2,56.5
75,76,New Mexico,13,82,737,6.3,56.7
76,77,Iowa State,12,76,681,6.3,56.8
77,78,Eastern Michigan,13,76,741,5.8,57.0
78,79,Missouri,12,80,685,6.7,57.1
79,80,Minnesota,13,88,743,6.8,57.2
80,81,Texas State,12,82,687,6.8,57.3
81,82,Boston College,13,90,746,6.9,57.4
82,83,Appalachian State,13,79,750,6.1,57.7
83,84,Virginia,12,76,695,6.3,57.9
84,85,Bowling Green,12,70,696,5.8,58.0
85,85,Clemson,15,95,870,6.3,58.0
86,85,Utah State,12,85,696,7.1,58.0
87,88,Florida,13,88,758,6.8,58.3
88,89,South Florida,13,83,763,6.4,58.7
89,90,Memphis,13,82,771,6.3,59.3
90,91,UCLA,12,79,716,6.6,59.7
91,92,UTSA,13,92,778,7.1,59.8
92,93,BYU,13,83,782,6.4,60.2
93,94,Michigan State,12,77,724,6.4,60.3
94,95,Utah,13,90,785,6.9,60.4
95,95,San Diego State,14,98,845,7.0,60.4
96,97,Syracuse,12,96,729,8.0,60.8
97,98,Maryland,13,88,794,6.8,61.1
98,99,Toledo,13,91,796,7.0,61.2
99,100,TCU,13,88,797,6.8,61.3
100,100,North Carolina,13,99,797,7.6,61.3
101,102,Troy,13,88,803,6.8,61.8
102,103,Texas Tech,12,94,744,7.8,62.0
103,104,North Carolina State,13,78,810,6.0,62.3
104,105,West Virginia,13,85,823,6.5,63.3
105,106,Arizona,12,76,768,6.3,64.0
106,107,Texas,12,85,769,7.1,64.1
107,108,Arkansas State,13,107,835,8.2,64.2
108,109,Southern Mississippi,13,97,839,7.5,64.5
109,110,Georgia Southern,12,91,778,7.6,64.8
110,111,Massachusetts,12,93,794,7.8,66.2
111,112,South Alabama,13,99,862,7.6,66.3
112,113,Western Kentucky,14,93,931,6.6,66.5
113,114,USC,13,99,873,7.6,67.2
114,115,Akron,12,91,807,7.6,67.3
115,116,Miami (Florida),13,95,876,7.3,67.4
116,117,Charlotte,12,88,818,7.3,68.2
117,118,North Texas,13,97,890,7.5,68.5
118,119,Washington State,13,103,896,7.9,68.9
119,120,Northern Illinois,12,84,834,7.0,69.5
120,121,Louisville,13,101,919,7.8,70.7
